,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2565982889860923,0.2565982889860923,0.006116319267648338,0.006116319267648338
0,sett_cutoff,,,,,,,,,0.20897207568068243,0.20897207568068243,0.005289413628325592,0.005289413628325592
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11252195567787013,0.3834664188336977,0.0035673389140298897,0.008241843066044143
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08327943430514442,0.5488497989719192,0.004102523148334941,0.008739747071465328
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0277372942595755,0.7077360880847072,0.00286362611218301,0.010289180785350816
2,sett_exclude_features,,,,,,,,,0.014346174169735266,0.014346174169735266,0.0014124163737587192,0.0014124163737587192
36,sett_model,sett_preprocess_income,,,,,,,,0.013389726237034234,0.03019846299975444,0.00260452906341783,0.003412484290428651
4,sett_model,,,,,,,,,0.013366255873618385,0.013366255873618385,0.0011890566613706824,0.0011890566613706824
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010842649793569402,0.2808071946532801,0.0017469742852285978,0.006935804647937343
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009529760924531745,0.22471972253127093,0.001414314310723773,0.006260443672202052
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.00672471778336205,0.05147705098058203,0.001703240607121855,0.005878606070896058
42,sett_preprocess_income,sett_scale,,,,,,,,0.006619632992029818,0.014074234075464272,0.0015525115947002282,0.002179353033825186
8,sett_stratify_split,,,,,,,,,0.0062178859260567385,0.0062178859260567385,0.0010243800860413972,0.0010243800860413972
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005311552792405406,0.41562651654918525,0.0012330682955301695,0.009487951970899302
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004413872295389126,0.7530365493021799,0.0011351564320370522,0.011693872758106086
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004280865005607199,0.2275991148560249,0.0010368603022193924,0.006249265895894191
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004115835427126015,0.2485912554012043,0.0008855099783662801,0.0062133247299748055
7,sett_scale,,,,,,,,,0.004012120194332634,0.004012120194332634,0.0005446595557707638,0.0005446595557707638
37,sett_model,sett_scale,,,,,,,,0.003922117011103093,0.021300493079054107,0.000924625017204809,0.0014187808568741137
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003812196855484581,0.2499173349160384,0.0008418609968547696,0.007781330347075289
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0037402457909292844,0.5776693604185769,0.001040455698442244,0.008917913583382174
6,sett_preprocess_income,,,,,,,,,0.00344248088910182,0.00344248088910182,0.0010540386246634336,0.0010540386246634336
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0033242210856661235,0.24593942537390717,0.0010933836981151179,0.005049647907839576
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0028872509199935927,0.238409918724039,0.0007342649263813428,0.005774432244053473
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0027583763539404107,0.023322436449732413,0.0005388749360405341,0.0019705086628942054
25,sett_exclude_features,sett_model,,,,,,,,0.002639639255894357,0.030352069299248007,0.0007128973474808392,0.0023232081217312885
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.002574255619263494,0.21498881218904775,0.0008165008125091592,0.0046506544578618116
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0025449056338272998,0.05163599849886653,0.0011839225530873,0.005092195192698704
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0024700689510152177,0.22844648696243552,0.0009006247358453158,0.004841492774530028
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0023670659141791566,0.2810279781399252,0.0008309417163980562,0.007579161382403033
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.002364451647664063,0.03584443708457116,0.0007265295954272916,0.0023259017239849735
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0021055409648084796,0.21122085477570363,0.0006437984580043438,0.005516170267698038
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.002013849298909081,0.262624258479334,0.0005921102933005867,0.005808901732895811
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0019068164396551651,0.019695471498492254,0.0006769884601428641,0.001864720142156007
