,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25427857565981093,0.25427857565981093,0.005317719706693829,0.005317719706693829
0,sett_cutoff,,,,,,,,,0.21028442491291005,0.21028442491291005,0.007057927992043917,0.007057927992043917
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10825534201377175,0.3759681272821075,0.005875205095237859,0.010309362474437308
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08535283382242767,0.5499158343951487,0.0038983890974869525,0.01033508581945055
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.029180363593506016,0.7057712987017714,0.0030401496790192282,0.01563095226116236
36,sett_model,sett_preprocess_income,,,,,,,,0.014630230401127696,0.03140061999096969,0.0025372425091212615,0.0034560874937350477
4,sett_model,,,,,,,,,0.01387246119410782,0.01387246119410782,0.0012330807048338253,0.0012330807048338253
2,sett_exclude_features,,,,,,,,,0.013434209608524778,0.013434209608524778,0.001596521974936207,0.001596521974936207
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01259838331025049,0.28074942016416926,0.001307721099363548,0.004749372150972243
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009057282195986774,0.22467992721283384,0.0012618286523802833,0.007729180833251312
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.007273646921384883,0.05077120848062855,0.001897526592382187,0.007243434902902105
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006938127744552864,0.41304962573110604,0.0010149065356017228,0.009576667777958993
42,sett_preprocess_income,sett_scale,,,,,,,,0.005461888411971478,0.011624754998472235,0.0014111444671935686,0.002558017550469983
8,sett_stratify_split,,,,,,,,,0.005338220103937037,0.005338220103937037,0.0008590563066162511,0.0008590563066162511
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004985549090820197,0.228704183612255,0.0010425962334351896,0.0066700032911170895
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004881990012959466,0.7567992884746177,0.0007999490895732822,0.01487212022015515
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0043562055101115695,0.2519404890966805,0.0005753525784746334,0.006827181803260697
25,sett_exclude_features,sett_model,,,,,,,,0.0036725262000874143,0.03097919700272001,0.0005696674689962447,0.0024334783898424975
