,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24933087703448764,0.24933087703448764,0.0063870958524861274,0.0063870958524861274
0,sett_cutoff,,,,,,,,,0.21554696845545576,0.21554696845545576,0.0050599687368697195,0.0050599687368697195
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10410976875780317,0.3684076758582976,0.0034962233191880112,0.007321755684294201
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08323823006296657,0.54811607555291,0.0030520824483941857,0.009789630904552616
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.029316471710549682,0.7019093326653989,0.0033442689060555354,0.010964085607223282
4,sett_model,,,,,,,,,0.01563354540905834,0.01563354540905834,0.0014038705103397485,0.0014038705103397485
2,sett_exclude_features,,,,,,,,,0.01496703006600682,0.01496703006600682,0.0009134476942842112,0.0009134476942842112
36,sett_model,sett_preprocess_income,,,,,,,,0.01448061620747796,0.03326321780845068,0.002734214563575426,0.004217993408555727
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013190840789620954,0.27815526323316697,0.001857510649797152,0.006094576266958522
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008547752443730166,0.23013649297882627,0.0010327181681464234,0.00523034178378663
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.007923534808709581,0.05586171909640398,0.001558196529525951,0.0067086902301005434
42,sett_preprocess_income,sett_scale,,,,,,,,0.006722765156455323,0.013455840353998078,0.001127057765917918,0.0021524629179676524
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0067127645070267795,0.40772838955439134,0.0008293159156031413,0.005836038535252688
8,sett_stratify_split,,,,,,,,,0.006041772079640335,0.006041772079640335,0.0008491877526956817,0.0008491877526956817
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005399986578129184,0.23591398509959177,0.0009083437090338903,0.00546688636058355
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005260710006832805,0.7564185255618259,0.0007023444733516275,0.00893637988417662
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004780503119724846,0.2619744024011681,0.0008312762664131915,0.0063136882867499645
37,sett_model,sett_scale,,,,,,,,0.004368182317160018,0.023585746731846744,0.000658242185981001,0.002043558119264173
25,sett_exclude_features,sett_model,,,,,,,,0.0037835629903876624,0.034384138465452824,0.000745410027209882,0.0020441871151420684
7,sett_scale,,,,,,,,,0.003584019005628384,0.003584019005628384,0.0005086484191135587,0.0005086484191135587
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0035310496161162852,0.25678998683490284,0.0006915053720180144,0.00572199885247868
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0034190275748728436,0.25535451674108534,0.0006547769679170595,0.006384765141116923
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0032844602913702147,0.582087727825365,0.0009310184267256212,0.00882962530313748
6,sett_preprocess_income,,,,,,,,,0.0031490561919143706,0.0031490561919143706,0.0010944779106910043,0.0010944779106910043
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.002915320391885893,0.29399393939010027,0.0006783767214450881,0.008070441097750734
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0027554275958242393,0.023764229741471396,0.0006549085988699527,0.0013862778686064077
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.002688846003506588,0.04083106580562023,0.0007692858244361014,0.00326872026673176
