,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24907365331845063,0.24907365331845063,0.006949900608843121,0.006949900608843121
0,sett_cutoff,,,,,,,,,0.20720078968405256,0.20720078968405256,0.005772819425423322,0.005772819425423322
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.1033694771597232,0.36624154207153886,0.006133400125778434,0.0114353770345214
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07911123236691636,0.5353856753694195,0.005063370380697794,0.010836187208001754
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02606624718028941,0.6829308227142159,0.0037126919995858184,0.014885558319253481
4,sett_model,,,,,,,,,0.015571791471985015,0.015571791471985015,0.0015835705615076952,0.0015835705615076952
36,sett_model,sett_preprocess_income,,,,,,,,0.014743821152868075,0.03535181737805509,0.0022584287551081633,0.003334340613458528
2,sett_exclude_features,,,,,,,,,0.013798411593364993,0.013798411593364993,0.0013426425587855038,0.0013426425587855038
30,sett_exclude_subgroups,sett_model,,,,,,,,0.012175622294943414,0.276821067085379,0.0018459991300372929,0.00697322166959631
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009599731315280918,0.22312092866811561,0.0009400423365687971,0.006050618052201898
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.007990299307484093,0.05954148520828366,0.0018629751735210205,0.005845065565555768
42,sett_preprocess_income,sett_scale,,,,,,,,0.007560473905357701,0.016796075253344603,0.0012676075967716668,0.0023364644336602005
8,sett_stratify_split,,,,,,,,,0.0063204076687821305,0.0063204076687821305,0.0007587422736733469,0.0007587422736733469
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005776479918050212,0.40320264421077934,0.0011447557647218131,0.010905641128418764
6,sett_preprocess_income,,,,,,,,,0.005036204753202004,0.005036204753202004,0.0013535635831731347,0.0013535635831731347
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004449254258976887,0.7345097359726673,0.0008820543056715308,0.01334862373587686
37,sett_model,sett_scale,,,,,,,,0.004439498022601878,0.02421068608937179,0.0010052589052968932,0.0021267546414696268
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004350257421922002,0.25058080413874567,0.0010891086671199392,0.00646581566972029
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0043110114114186865,0.22531021268883622,0.0007486032717793397,0.005702128916328687
7,sett_scale,,,,,,,,,0.004199396594784896,0.004199396594784896,0.0007679706505297348,0.0007679706505297348
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004184001463361786,0.25014015158208036,0.0007835113873662958,0.006152711926415205
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0039069653365715615,0.5689513885746602,0.0011133833940630154,0.010401799414503208
