,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2526928520539483,0.2526928520539483,0.006178086144817253,0.006178086144817253
0,sett_cutoff,,,,,,,,,0.20551498075026337,0.20551498075026337,0.0042750777631548964,0.0042750777631548964
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.1132839939483481,0.3793052429705622,0.005358616819068018,0.008806627330095362
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08147675723643688,0.5396845900406485,0.004156479886439423,0.008171683499984948
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027494687977147898,0.698633134654009,0.0025233015064553867,0.011558050221266644
4,sett_model,,,,,,,,,0.01527448461909653,0.01527448461909653,0.0015889749149831853,0.0015889749149831853
36,sett_model,sett_preprocess_income,,,,,,,,0.014890050553523645,0.0346802019322403,0.0029601624928223577,0.004711510590363458
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01444745311202235,0.2824147897850672,0.002037409790200888,0.006052526057335652
2,sett_exclude_features,,,,,,,,,0.013328396968265821,0.013328396968265821,0.0015609061976900505,0.0015609061976900505
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008915459215427243,0.21943302990172858,0.0006718718506470037,0.004102131091687317
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006466626094873363,0.4188381689894436,0.0011618169985644115,0.009787585326660594
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.005760286683886673,0.05202829925724815,0.0015287173689279405,0.006688248870415181
42,sett_preprocess_income,sett_scale,,,,,,,,0.005639024320790914,0.012951975250231016,0.0012961005761969611,0.0020945575484862203
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005347099201942834,0.7542983082013348,0.0010021054482314325,0.01222031668865484
8,sett_stratify_split,,,,,,,,,0.005002589936038011,0.005002589936038011,0.0007509662287481382,0.0007509662287481382
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004975324925547904,0.2486883788822024,0.0007134130760123032,0.0047956660710406895
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004841465719598726,0.2236848434381279,0.0009934553399819565,0.00444990387121729
6,sett_preprocess_income,,,,,,,,,0.004515666759620126,0.004515666759620126,0.0009515313650000555,0.0009515313650000555
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004400459694412646,0.5752163511727209,0.0007209679705767961,0.007777321086566802
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004154188863665459,0.24734772116750864,0.000987950561331243,0.006793590159940527
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.003496637797796214,0.0401234537403656,0.0008960619973911814,0.003867530800710982
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0034238148112257566,0.05640628015719894,0.0006039369663814002,0.006052074005853048
25,sett_exclude_features,sett_model,,,,,,,,0.0033443621928892072,0.03194724378025156,0.0005393538047085682,0.0030601242032263073
37,sett_model,sett_scale,,,,,,,,0.0031515021505102887,0.021223270939426796,0.0008474556083157926,0.002285668033169273
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0031420762965269178,0.2432997480779967,0.00047669327730725315,0.00409846685359757
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.00312899615026342,0.2841336000213302,0.0008141399121221293,0.008045938802366733
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.003019913717637299,0.22936631238401878,0.0009141672705395858,0.004800734132842952
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0029934108906916456,0.26020192970426004,0.0010510994453692083,0.005496429290926044
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0029311794366386566,0.20868580806849293,0.0007942094128126764,0.004171112434029022
7,sett_scale,,,,,,,,,0.0027972841698199746,0.0027972841698199746,0.0006093255019212909,0.0006093255019212909
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0026501066268367094,0.6090980260297106,0.000866013543547349,0.008616126746639932
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002554779191876652,0.02088576609618048,0.0005731563971186622,0.0015304040905231144
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0024058267356161078,0.8045518442090449,0.0011251176528263695,0.012701978390337076
35,sett_model,sett_preprocess_age,,,,,,,,0.0023853097560094533,0.018600669444043802,0.0006164945702119161,0.0019568941467581055
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.002114013833452867,0.23353301419857736,0.0007363316812557974,0.005213669597891571
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0017696354038311325,0.55055228900959,0.0008865737483285927,0.007415733331843037
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0016810428758119373,0.2632793356619557,0.0003443270043937136,0.005948426876364228
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0016385663001949012,0.8490373393598691,0.00047033017560412725,0.009366308311885408
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0016295042525778561,0.0194735679804638,0.0004811258823322583,0.002184819286098477
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0016287662804438398,0.2571189025042121,0.000631595955022343,0.005927764073929558
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.001627028593175663,0.22906578934110922,0.000398111883458654,0.004359452156884949
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0016070528723464439,0.7855285225213672,0.0005120962122859447,0.010370424506220223
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0015889859147986375,0.2116196334246821,0.0006836594917014061,0.004579144406680046
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0015815786718960392,0.4309732836442511,0.0006093347023172526,0.010512707636088919
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0015099538266377037,0.5949833847137905,0.0006169281736844721,0.007243476031791775
12,sett_cutoff,sett_model,,,,,,,,0.001409363706540902,0.22219882907590077,0.0004071810389763613,0.004507043352556419
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.001365520452960559,0.29135786283880183,0.0007035054291522768,0.006535854763003706
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0013549355212236472,0.6349531563035846,0.0005278720986186402,0.007179237329702139
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.001353387337370552,0.015622659374574188,0.00034176056726974385,0.0014931222756394118
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.001319629844022373,0.30613354783292496,0.00031008925755347095,0.006590458413687018
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.001296969906008617,0.3851404746690677,0.0006040650389788886,0.008424434202761044
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.001269844523247313,0.22772441845885003,0.0005626966824761649,0.0045941452483987885
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0012681227096373758,0.3897119475830892,0.0005370283251523673,0.008179056576095122
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.001258468654699045,0.8158052889112097,0.0003771325040911026,0.009380435302735371
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0012558499899904345,0.45013421880073284,0.000470011855779132,0.010416016257467266
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.0012335922942934832,0.2585925399443278,0.00034948741918908134,0.005083807076830072
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0011995623908335512,0.7747584461711245,0.00031936529136825304,0.012247790535340114
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.0011568246011018208,0.8402113863123858,0.0005117998264269413,0.01451101060151014
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011565394751919737,0.31242625552674913,0.0005114787355695345,0.006674592566317734
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0011563405423649156,0.237840768791658,0.0004566197327204274,0.004363575531058826
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0011457326679566236,0.7156582070865752,0.0005040011585639327,0.010728022610200637
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0011373298233973786,0.609536539795897,0.00048362184117517845,0.006958016183342115
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0011177415067389394,0.635486506971675,0.0006019222583363278,0.010362351829180591
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0011154585614326534,0.585064476129612,0.0003601789064991465,0.007467235330743934
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.001085839546839715,0.7217394893530928,0.00036662557000196054,0.010846381145342626
19,sett_encode_categorical,sett_model,,,,,,,,0.0010849175414723705,0.016599050042159832,0.0004877664474715024,0.0017646121913616015
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0010835270739414935,0.7436075483151078,0.0006105171132255238,0.009391178566428501
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010598738306952873,0.26553959258783966,0.0003586488981963018,0.005895989440851804
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.001056599588689601,0.8347837062923098,0.0003490388094206511,0.01403625163700803
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0010455783977429112,0.25679731378216725,0.0003415805855047617,0.0071868815722140565
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0010165673746717885,0.5554324573668585,0.000358557526344412,0.007785317230884007
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0010131472117114759,0.27157445164032074,0.0003391640284913827,0.004389751958845341
243,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,,0.000990047464911715,0.32811143398426323,0.0004664877626918267,0.008635268304439506
220,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0009837942278384895,0.42948624486091347,0.00022018784459083355,0.009970507586020734
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0009690097333456989,0.46688695848385464,0.00037754043709653756,0.009260148053178516
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0009503629797851291,0.4306219464229498,0.00030183336088045507,0.00912368873147135
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0009492906046699436,0.8974753772531968,0.000282257688109388,0.009639566458995491
5,sett_preprocess_age,,,,,,,,,0.0009408750689378164,0.0009408750689378164,0.0003376614358100284,0.0003376614358100284
74,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,,0.000934860800130876,0.03478975999502182,0.0004004217746383263,0.0034166664683787217
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.000931995180650033,0.6236888808037165,0.00028054595918736055,0.008704805655614403
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0009001115043068084,0.658283452439529,0.00026010506219963927,0.007746754718334111
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0008924054606565418,0.22769289607062626,0.00023659411147437212,0.004304519651198708
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0008771679441615422,0.583272157685506,0.000264473634306131,0.008171956804164852
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0008719230490370759,0.5859171665752038,0.00034473955406358727,0.008073994834071983
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.000867407122432934,0.24689247219076665,0.0003577389873220132,0.00470200810834186
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0008650395475790925,0.3156351951085341,0.00040131389312048364,0.006201901278922334
292,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,0.0008532827072415445,0.7699475341259595,0.0003422895096746,0.012701795179825988
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0008426445580290722,0.2900363014330092,0.00023983887650109529,0.005115095935596724
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0008238396908477294,0.5684482944767336,0.0003492314867659136,0.006879617574415263
363,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0008224164617058802,0.47696871722267403,0.00037868911294726404,0.012512905828158023
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.000821384765533439,0.2072772405847346,0.0002622549207212311,0.004236813142737031
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0008132508000730707,0.2585086927900594,0.0003085802892719816,0.005962196513227037
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0007853218239298602,0.2895835023670351,0.0003384789445251271,0.005873617253525109
109,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,,0.0007836668751252478,0.286837964355904,0.00027847959442744654,0.006250816188030715
