,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2514174001568914,0.2514174001568914,0.00816270874100718,0.00816270874100718
0,sett_cutoff,,,,,,,,,0.20879055220404902,0.20879055220404902,0.003983683150982865,0.003983683150982865
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10955964485177158,0.37412899233202696,0.0037943761027899718,0.009913325132479715
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08138308729844129,0.5415910396593817,0.0029915802661256577,0.010818876393280073
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.029249382286789825,0.6984645272555536,0.0019836882403511755,0.013835881540889904
4,sett_model,,,,,,,,,0.014412013121921521,0.014412013121921521,0.002058548742712426,0.002058548742712426
36,sett_model,sett_preprocess_income,,,,,,,,0.013594816474992165,0.03292580986330858,0.0029739644772521358,0.00463531086573387
2,sett_exclude_features,,,,,,,,,0.013151947323363965,0.013151947323363965,0.000973967388553015,0.000973967388553015
30,sett_exclude_subgroups,sett_model,,,,,,,,0.012761824339357183,0.2785912376181701,0.0015044194948980298,0.00721564033849188
16,sett_cutoff,sett_stratify_split,,,,,,,,0.010066509011137743,0.2251783006215303,0.0013274378593488656,0.004507671255458966
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007214464537371828,0.41151924045370225,0.0014433979558902848,0.007962560267827865
8,sett_stratify_split,,,,,,,,,0.006321239406343546,0.006321239406343546,0.0010915255156536863,0.0010915255156536863
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.006224215126074996,0.05159156702434825,0.0019371200020535818,0.00753024791709824
42,sett_preprocess_income,sett_scale,,,,,,,,0.005829563044437575,0.014222739173902703,0.0017465325567340537,0.002879235246750928
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005534811399921237,0.7504340420340859,0.0011411918816513396,0.011294946771612585
6,sett_preprocess_income,,,,,,,,,0.0049189802663948895,0.0049189802663948895,0.0009956994352921657,0.0009956994352921657
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004912513134246394,0.22685501266165936,0.0011165733505837127,0.004427390546810133
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004909276379160575,0.2501323923510336,0.0009688463976243428,0.004715482769332611
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0036380645864193574,0.24968065743372989,0.0006415547731639249,0.004677140107719341
7,sett_scale,,,,,,,,,0.0034741958630702388,0.0034741958630702388,0.0008822567754078895,0.0008822567754078895
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0031810348125079755,0.5729000559984359,0.0008210608676323956,0.009663453888258424
37,sett_model,sett_scale,,,,,,,,0.0031377831274568666,0.021023992112448625,0.0007736333262991533,0.00279883114171491
25,sett_exclude_features,sett_model,,,,,,,,0.003001946123024743,0.03056590656831023,0.0007982884960754215,0.002857610047481953
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0028518225075478817,0.24682017731680678,0.0007726742535060992,0.0053455048533069885
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002799831768169848,0.02227301849787736,0.0005401990378947087,0.0014902628763458132
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0026979554644655764,0.28134073589327957,0.0007295219092492712,0.007270077623832096
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0025704058748931627,0.22972427320778038,0.0005817907695020419,0.004277753926277729
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0024847150366196524,0.03674650576368705,0.0008998889563785791,0.0033623339769417826
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0024241709779333036,0.21149354970638284,0.0006995180359508967,0.004132908339649963
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0023163089631871563,0.05317230952306711,0.0007867658617123692,0.00601202862797581
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002244852454747497,0.6026952726556144,0.0011279127045795356,0.010239213475161884
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0022145996527232334,0.7947795105807733,0.0009146603420310929,0.010955177352396168
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.002211149682561484,0.2571027457025231,0.0006763967335278693,0.00797352081802531
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002068702925687423,0.2584050833489738,0.0008648625995409668,0.00810551343006106
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.00206250187940088,0.23231911050523588,0.0007319124889754985,0.004445067924222986
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0019075624894557483,0.42569006343659144,0.0006194266383785289,0.008618669178127439
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0017762972501826702,0.019847224839941526,0.0006379227595679501,0.0016097142143442612
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0017649941078750554,0.7850786141345154,0.0005343627818317106,0.010376133137691264
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0017543139388417187,0.23660245279371256,0.000484931258128044,0.004479467846585028
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0017186275345442879,0.28913299382580304,0.0006391916636418018,0.007786627142653616
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0016099248133981175,0.44051180024770364,0.0005307749745282567,0.008717150338888995
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001536876269325429,0.8429211037116311,0.00040811372795273134,0.010386842117312625
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0015294402847374597,0.581908519046409,0.0006227844166935457,0.009701433138320746
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0014417241435823553,0.300615461428827,0.0007789106238069887,0.00858075221058888
35,sett_model,sett_preprocess_age,,,,,,,,0.0014402407421561913,0.016676785012254274,0.0005211453628052621,0.0019443461380082312
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.001431112268424417,0.015407590739964942,0.0005469116302257242,0.001271687373726977
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0013932188391321755,0.2620110260373746,0.000354508669494995,0.005237326696471649
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001379663083132702,0.630644586760647,0.0005661153871890986,0.009649626262162555
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0013764692075924308,0.5512530407356904,0.0006961707943806998,0.01061102311785072
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0013465860616773944,0.38125588326735704,0.0006257223271892397,0.009485642025378207
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0013427707709035234,0.27126276270994654,0.0007829639166797109,0.008581500752345168
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0013353646927088466,0.22932707201276314,0.00039952733536283917,0.004399712896898072
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0012978486766339267,0.21500738114707785,0.00043831303021977787,0.0042155648991441565
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0012940122258498828,0.5946487574440413,0.000359268704316656,0.009248232274765456
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.001276466719860737,0.566861562715971,0.0007102524695662104,0.011251229748022763
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0012727870897428018,0.8130434974694044,0.0003783863129822072,0.01048436754028292
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0012658049565766232,0.3841587777308686,0.0006915875492197311,0.009668838251723464
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0012590713560587468,0.725169157381754,0.000637741774399614,0.013286415874375877
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0012512074178709274,0.7678586590574088,0.0004443798437806339,0.011464831575964653
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0012183484563067846,0.5597471860734407,0.0005952331712321798,0.01074776974601422
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0011838924475954652,0.6328764188393814,0.00040073465391584614,0.013513935841542658
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011837083807901346,0.3130835846606772,0.0005061639515420346,0.007630776480648818
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001167276186695283,0.7458596965260371,0.0005272585911050567,0.011850656397166003
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0011435376349653397,0.28158127065274186,0.0004528846821032113,0.007175209697295047
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.0011320145570215758,0.25983379093064074,0.0004396650879291847,0.004522291698305885
19,sett_encode_categorical,sett_model,,,,,,,,0.0011320004264825652,0.015822840072804607,0.0003055025921954624,0.0019951747222823786
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010673548071154,0.2673321144817153,0.0003522726633213436,0.00521253535543898
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0010671039178766432,0.2761578581559728,0.00030745167437218687,0.004748202762653314
363,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0010618268502706261,0.4710972516691075,0.0004991497191830537,0.011884353913890474
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0010482577776096003,0.6074163657099229,0.0003049216244426658,0.009521263641877198
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0010020237256222785,0.2308450658551992,0.0004069471084301393,0.004213238581724832
243,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0009905285171021533,0.3255442950949781,0.0004121840442477668,0.011575195148899008
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.000977938749178885,0.580840626975682,0.0003587039706507803,0.009781771840803928
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.0009767947103366916,0.8346314297165731,0.00043745726426717,0.014021709126621274
12,sett_cutoff,sett_model,,,,,,,,0.0009541440652673477,0.22415670939123788,0.0003648983280406749,0.0042279040777370765
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0009522340968213451,0.03632480096632053,0.00043688931199017164,0.004957602806982105
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009287282688812101,0.3112553417349167,0.0003588999025024483,0.008666016165817338
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0009169254294585909,0.2616922997671854,0.0004914209247307381,0.004335828056282779
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0009158307063821839,0.7352057323318344,0.0002654918094370167,0.012999744494414456
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0009150468501337228,0.713837991327597,0.0002906755252929063,0.013131724838001384
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009111669868476215,0.2923402473935408,0.00019492559464315582,0.0055420919004328766
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0009066357484923775,0.24962484288770104,0.00021343883490664698,0.0045400115880730955
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0008951089441986863,0.42501633808848116,0.0003489809331750578,0.007986539763668164
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0008945081373997162,0.8211161664828277,0.00019095648842078197,0.012455798290166777
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0008878356141807569,0.8881666639381947,0.0001949410308552698,0.012278733788746367
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0008814975757931421,0.45880993934511916,0.0002951039373105458,0.008447435473603946
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0008515160014936939,0.38465162904830497,0.0002477897185146821,0.009963670642799398
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008460430776900318,0.651901146811906,0.00018793708545568729,0.010833205265140597
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0008393708041263487,0.24205699495097943,0.000313841543873685,0.004312245923607824
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.00083268166972847,0.5483887710910207,0.00039000867326450834,0.010482575727966407
220,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0008308900267677926,0.41983626050720985,0.0003166537651006216,0.008377172632549378
5,sett_preprocess_age,,,,,,,,,0.0008245311481765616,0.0008245311481765616,0.00035276526181969093,0.00035276526181969093
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0008218255773750937,0.2546766970079905,0.0003421830707326517,0.006255695727713286
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0008038661089223764,0.61508338612466,0.0002656933686926064,0.011065762987213512
