,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24970778697851392,0.24970778697851392,0.0084079471632308,0.0084079471632308
0,sett_cutoff,,,,,,,,,0.20718357012898436,0.20718357012898436,0.005720526812427294,0.005720526812427294
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10904103405975893,0.3745625803723611,0.004509551432532158,0.010377746283071027
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07786957564361244,0.5347609327511107,0.005134030602887359,0.012103293252679814
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027559506540279513,0.6921311345049095,0.0036755227245709337,0.01481960768422654
2,sett_exclude_features,,,,,,,,,0.0158137593340882,0.0158137593340882,0.002175224229336458,0.002175224229336458
4,sett_model,,,,,,,,,0.014874567566095188,0.014874567566095188,0.00139760930049293,0.00139760930049293
36,sett_model,sett_preprocess_income,,,,,,,,0.014506587551930811,0.03371498801558688,0.00221660535096762,0.0035957007843022215
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013386963225208378,0.2779693177698175,0.002387483592460617,0.008662027235904002
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009193334168075957,0.22180747745449814,0.0013441465899271096,0.007151109513558481
42,sett_preprocess_income,sett_scale,,,,,,,,0.006891956271160281,0.014789607158238665,0.0015532545314324202,0.0029643366277775046
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.006796601161411279,0.05494755864213812,0.0017606429531697053,0.006670300881626969
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006482521910516396,0.4128488301276034,0.0011406143175948758,0.011260239223282679
8,sett_stratify_split,,,,,,,,,0.005430573157437791,0.005430573157437791,0.0007910188030116111,0.0007910188030116111
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004955901819672029,0.22795323128274458,0.0010587802411264906,0.005988391053288968
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0049101715086703,0.7447922281296808,0.001207218519416328,0.015205396706640718
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004560037308686836,0.25230678033544873,0.0007963280977734067,0.005861484372858571
6,sett_preprocess_income,,,,,,,,,0.004333832897560877,0.004333832897560877,0.001139615005280677,0.001139615005280677
37,sett_model,sett_scale,,,,,,,,0.003980195204462178,0.022418580760074875,0.0010140114265868331,0.002188738306249697
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003669098084675513,0.247532201799951,0.0007377480598771928,0.005936121168619721
7,sett_scale,,,,,,,,,0.0035638179895175074,0.0035638179895175074,0.0007114263442515363,0.0007114263442515363
25,sett_exclude_features,sett_model,,,,,,,,0.003542197053422359,0.03423052395360575,0.000950836434638005,0.0021520934285246093
