,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25152785001414035,0.25152785001414035,0.0041971184875272596,0.0041971184875272596
0,sett_cutoff,,,,,,,,,0.21707402933137881,0.21707402933137881,0.005617137195023739,0.005617137195023739
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11162629860802747,0.3780306484787428,0.0029008352470956443,0.004600540607562776
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07940263785143344,0.5480045171969525,0.003061477975587514,0.0063812654089628554
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02719543883498498,0.7070078558821994,0.002422513512947786,0.007789901812361715
2,sett_exclude_features,,,,,,,,,0.014876499856574923,0.014876499856574923,0.0015721960871703385,0.0015721960871703385
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013558886081022372,0.27841740242365015,0.0012844990647128296,0.004685157455145078
4,sett_model,,,,,,,,,0.01333066632848742,0.01333066632848742,0.0010201460772565312,0.0010201460772565312
36,sett_model,sett_preprocess_income,,,,,,,,0.012414706980513538,0.029029595798611463,0.001994107006926648,0.0021249363150623183
16,sett_cutoff,sett_stratify_split,,,,,,,,0.010256372498585808,0.23374406338770815,0.0010791678984638199,0.004964059659235353
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.00701185657826651,0.41603758296602716,0.0016374450604861503,0.005354758610522058
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.006913328083505345,0.04734875587668652,0.0013432265520295322,0.0035890992460853306
8,sett_stratify_split,,,,,,,,,0.006413661557743506,0.006413661557743506,0.0010545756831043698,0.0010545756831043698
10,sett_cutoff,sett_exclude_features,,,,,,,,0.00530510138565939,0.23725563057361312,0.0010040405430743935,0.006383329189747516
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005026773469974887,0.7585059398074341,0.000657159493973737,0.009386057199200588
42,sett_preprocess_income,sett_scale,,,,,,,,0.004754788762305727,0.011121805837342146,0.0008420515606054504,0.0015366665041990414
25,sett_exclude_features,sett_model,,,,,,,,0.004105525499508109,0.03231269168457045,0.0007308202362701424,0.0018888417595398534
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.003983184094625656,0.26003402488948274,0.0007504665542204234,0.007104060510254295
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0035845970421766,0.26007856907250737,0.0008522182292393897,0.005968714445322354
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003583292478062362,0.2520183255275344,0.0009047971822512235,0.006384900976412095
37,sett_model,sett_scale,,,,,,,,0.0035682486468380722,0.019981709560751407,0.0005673931380449882,0.0013148249991104806
6,sett_preprocess_income,,,,,,,,,0.0032842224896105056,0.0032842224896105056,0.0004762678199145224,0.0004762678199145224
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0031221734801014462,0.5793752614798122,0.0007590823256707674,0.007246748432442345
7,sett_scale,,,,,,,,,0.0030827945854259155,0.0030827945854259155,0.0005431247213017168,0.0005431247213017168
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0030530455362360216,0.23789380865612395,0.0006929730926706416,0.006126849708527043
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0029180003953155446,0.2898643615786068,0.0007910215441964684,0.0073845082368410395
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.002881512481316324,0.03898692831739656,0.0007794264389273215,0.0025259087529732405
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.00256830740038829,0.02385846881470672,0.0005962833560090116,0.002081067818872195
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.00242098189702707,0.052809564023243535,0.0007679896412209179,0.0034287148838050467
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.002376960971521977,0.020537683317707407,0.0008121658626621876,0.0018966306229126807
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0021183324576564055,0.21947249594864515,0.0006032688193339804,0.005920711863393253
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.001872647505834562,0.7990720917619828,0.0004095742296525205,0.01160713260473284
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.00185978195083973,0.24574898551181867,0.0004987485750050357,0.006538463188188707
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0018391543755901089,0.6046460562310196,0.0007576208895517284,0.007256898262915024
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0018108206819976002,0.8480926819354755,0.0004577879387400799,0.008717181759204353
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0017897061745030048,0.7934293650146456,0.0005206581665830883,0.007751425199775511
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0016401280639322048,0.24200915153658048,0.0007655771703148324,0.007285959057603957
35,sett_model,sett_preprocess_age,,,,,,,,0.0016209558517776544,0.015601355702685211,0.000522902285988087,0.0011471617950183804
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0015845581380961812,0.27309458126264735,0.00042948474643375475,0.006909458507219833
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015449365204776495,0.6334483327691613,0.00047364829348314335,0.0056421597984452265
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0015220347773119871,0.01704826815630705,0.00046881857149337104,0.0019073046020743438
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0015109745736415102,0.6017733000465288,0.0005384433751020148,0.005922438563262587
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0013715599191361485,0.7203719668282469,0.0005286835695031171,0.008903256818314508
12,sett_cutoff,sett_model,,,,,,,,0.001359018393248419,0.23176371405311466,0.0005064019945070057,0.00642547240556229
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0013550498791723815,0.8230608230710317,0.00045734455568257145,0.006220096045910041
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0013516411267200485,0.7777569980413355,0.0004388732520188685,0.010437878542615355
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0013466336485887767,0.4278423442410103,0.0006139880078707309,0.006220762325589215
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0013378442714569736,0.7525449292595197,0.000660712069727193,0.00815071330034443
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0013324496906380987,0.7335566045749703,0.000304513583323382,0.007348570839615726
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.001246396946568066,0.3860620838879786,0.0006519996061845379,0.00526713763668385
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.001229027617098166,0.4410579646289615,0.000426985921037069,0.0070212459822143365
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0012087729653087625,0.25581941756487503,0.00040943516412342263,0.004163813740158829
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0011799785643774976,0.38362294078617,0.0005460769718747836,0.004917349549956651
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0011289441406024919,0.5545139283549342,0.00042575508440757397,0.0062855152878143776
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.001124118137342726,0.2874013367585656,0.0005404054287657719,0.004699432412179241
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0011238550015353092,0.25593592750528615,0.00041110820612335556,0.004208045740314984
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0011225387093644176,0.6153853315506516,0.0004159040587418178,0.005324579473630451
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0011190173604300674,0.6302598090823214,0.0005039434447162574,0.008086241427100998
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011178226595512273,0.3216522396588123,0.00026237279657142235,0.006823493199412529
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0011148425005618923,0.2503982121006237,0.00036551959451177566,0.005776219131774698
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.001092665177161867,0.5882773099018259,0.0003114208402833889,0.007475577279188474
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0010799727119015423,0.23631589044152973,0.00025099195175889896,0.006975851753842665
363,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0010784903733193911,0.4676407585874175,0.0007740546736137954,0.00859550040241061
19,sett_encode_categorical,sett_model,,,,,,,,0.0010737370592472334,0.014684537547344546,0.00035216747859225314,0.0010920796042892462
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.001053785130211658,0.2731754727912041,0.0003506596850196498,0.005633959358123745
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0010461388091475119,0.8280368405195841,0.00017899008790925222,0.014185109930498867
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.0010206506256182878,0.833868304026318,0.000427835126693898,0.01335391074216002
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.001001849463314311,0.2604101333414911,0.0003939852372020081,0.00602134132631047
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0009964204740070873,0.2863378262781507,0.0003395748455459828,0.006671527481184426
