,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.250226324992739,0.250226324992739,0.00563247999112313,0.00563247999112313
0,sett_cutoff,,,,,,,,,0.20730270495761932,0.20730270495761932,0.007130031826697352,0.007130031826697352
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10744770444505372,0.37216472692614855,0.004388107861710442,0.007573701141154889
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07923224060065559,0.536761270551014,0.0045073035996749085,0.010026067756371233
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0273459083574995,0.6898009839086643,0.0038874858497595544,0.012013946089466859
2,sett_exclude_features,,,,,,,,,0.014490697488355835,0.014490697488355835,0.0009809154957447857,0.0009809154957447857
4,sett_model,,,,,,,,,0.014067004780974711,0.014067004780974711,0.0012303426422479293,0.0012303426422479293
36,sett_model,sett_preprocess_income,,,,,,,,0.012878257092686092,0.0301113430528355,0.0024250516611141345,0.0031698547509293874
30,sett_exclude_subgroups,sett_model,,,,,,,,0.012281503905845193,0.27657483367955893,0.001892516285871342,0.005447447973490377
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009068589199925932,0.2218709514092445,0.0016953720166077227,0.008168110894023136
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.007143636929034268,0.05089926070079065,0.0017620759215264967,0.0062941470986071215
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007001036252952456,0.40847256138591687,0.0014336437648664138,0.008074130253522514
42,sett_preprocess_income,sett_scale,,,,,,,,0.005786286556380313,0.01292834022018466,0.0014515785095799382,0.002503709088240354
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00575797809842119,0.7410025242996421,0.0010071424573448381,0.012642755151847476
8,sett_stratify_split,,,,,,,,,0.005499657251699238,0.005499657251699238,0.001026096524890362,0.001026096524890362
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004236808676824617,0.2480896179742714,0.0006947438325924993,0.008270948036773572
7,sett_scale,,,,,,,,,0.003975972484629649,0.003975972484629649,0.0006458226648013057,0.0006458226648013057
37,sett_model,sett_scale,,,,,,,,0.0038820216779109126,0.021924998943515274,0.0008293202482318042,0.0019934063400162613
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0037554030667412853,0.22554880551271644,0.0009901087235479954,0.007497278467250288
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0036942386601541088,0.24436097583100042,0.0012450032233788687,0.007647076856892551
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0036202096722040616,0.5680086983937975,0.0008768768025898186,0.009672383004651708
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003575314746789066,0.24662397242853115,0.0007795749408609857,0.008612943641894593
6,sett_preprocess_income,,,,,,,,,0.0031660811791746975,0.0031660811791746975,0.0009808439785297988,0.0009808439785297988
25,sett_exclude_features,sett_model,,,,,,,,0.0029582895199959285,0.03151599178932647,0.00047285712016677825,0.0017833365678409617
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002931605717400451,0.022921960457455523,0.0006238381543845187,0.0015832610993245573
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.00292434204337775,0.22836230064037358,0.001023261584161813,0.008034971103034201
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002756269964888309,0.5980986836244089,0.0006894884214202243,0.008649985844715184
