,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24824835306942467,0.24824835306942467,0.004994547904766681,0.004994547904766681
0,sett_cutoff,,,,,,,,,0.20968637741299406,0.20968637741299406,0.0060539536722375034,0.0060539536722375034
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10525927880087413,0.36895650220373194,0.004898390864361271,0.007974180983174395
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08411335168563594,0.5420480821680547,0.003718178771030231,0.00708591383293731
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02716287356906885,0.6945715009131024,0.0023974893550997908,0.00867042606733121
4,sett_model,,,,,,,,,0.01628625963000823,0.01628625963000823,0.001514077299609892,0.001514077299609892
2,sett_exclude_features,,,,,,,,,0.015448870333433118,0.015448870333433118,0.0017229232513108156,0.0017229232513108156
36,sett_model,sett_preprocess_income,,,,,,,,0.015143881911307406,0.03526013626043423,0.0021619522986477792,0.0038019595743563547
30,sett_exclude_subgroups,sett_model,,,,,,,,0.012788620905582235,0.2773232336050151,0.0024181938845485207,0.006115073984248947
16,sett_cutoff,sett_stratify_split,,,,,,,,0.00873558472647672,0.22354376062471012,0.0015343087650899739,0.00592766117616046
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.008620107857321037,0.0585708468487543,0.0014463958437462377,0.006045897943154518
42,sett_preprocess_income,sett_scale,,,,,,,,0.006739398947470961,0.01428152030452854,0.0019303457184788387,0.0036439657507044325
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005877026255981488,0.4079455411184384,0.0011919618189762983,0.008216192883956315
8,sett_stratify_split,,,,,,,,,0.005121798485239345,0.005121798485239345,0.0009566492334284741,0.0009566492334284741
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004652396041671584,0.22978764378809877,0.0009581505221996233,0.007089986254887918
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004401537014338352,0.7472882086566399,0.0010850251788783996,0.007492178890065058
37,sett_model,sett_scale,,,,,,,,0.004239077145589078,0.024237463413536296,0.0007711011943637856,0.0015005128240867876
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004181920280731456,0.2560009043598306,0.0009358660515396413,0.0071133097712988026
25,sett_exclude_features,sett_model,,,,,,,,0.004037132123134549,0.0357722620865759,0.0008443988926269324,0.0025672548328336572
6,sett_preprocess_income,,,,,,,,,0.003829994719118591,0.003829994719118591,0.0012657088435641753,0.0012657088435641753
7,sett_scale,,,,,,,,,0.003712126637938988,0.003712126637938988,0.0008681629294475179,0.0008681629294475179
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0034362629959037785,0.5762671742374065,0.0012706337665050942,0.007616579750811154
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0033716849560267675,0.24984505859090156,0.0006220269878239906,0.007212702646806167
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0031140117885507658,0.2512790280223569,0.0011591509168979205,0.006797761494388187
