,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25043794724501917,0.25043794724501917,0.004019794274218285,0.004019794274218285
0,sett_cutoff,,,,,,,,,0.21214572412467952,0.21214572412467952,0.005849559861558734,0.005849559861558734
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10337600504791039,0.36736124942316295,0.004369408550316514,0.005467109736083685
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.078978672602854,0.5415623439725527,0.004255340428595087,0.009071647581355684
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027301872236233114,0.6902915718643474,0.0029926848669419373,0.011544331651451386
36,sett_model,sett_preprocess_income,,,,,,,,0.015704182307014376,0.03561260045069239,0.0024903345575405544,0.003062379006318834
4,sett_model,,,,,,,,,0.015538666496997235,0.015538666496997235,0.0013375327084451049,0.0013375327084451049
2,sett_exclude_features,,,,,,,,,0.013547297130233357,0.013547297130233357,0.001444855298889789,0.001444855298889789
30,sett_exclude_subgroups,sett_model,,,,,,,,0.012208421839536805,0.27818503558155316,0.001673388049617993,0.004161669503998597
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009355431957625329,0.22795730611518394,0.0013994627273747843,0.005829170451650613
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.008128696332923326,0.05873192515551967,0.0017257094860745276,0.006159559753894783
42,sett_preprocess_income,sett_scale,,,,,,,,0.0070359192712865035,0.015172917452000084,0.0014993890603423872,0.0029107901962772036
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006974072386078875,0.4058919644320218,0.0014201485780189556,0.007839926367900736
8,sett_stratify_split,,,,,,,,,0.006456150032879082,0.006456150032879082,0.001347816488805543,0.001347816488805543
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005084078902298955,0.2562283827593024,0.0007526148323449187,0.007049748579770061
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004714495214992962,0.742969284586616,0.0008609083215078834,0.013362959320610336
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004504053477417948,0.23019707473233084,0.0007882412043773207,0.0064942413570376325
6,sett_preprocess_income,,,,,,,,,0.004369751646680778,0.004369751646680778,0.001030714615364157,0.001030714615364157
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004288295398756876,0.254949500661493,0.0008898645189683612,0.005183950740999108
37,sett_model,sett_scale,,,,,,,,0.004187462566584652,0.02349337559761469,0.0008160295984635488,0.002199538017308027
25,sett_exclude_features,sett_model,,,,,,,,0.003809554286245948,0.032895517913476544,0.0009160311925236614,0.002948310198432184
7,sett_scale,,,,,,,,,0.003767246534032804,0.003767246534032804,0.0008682501179903024,0.0008682501179903024
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003729881484380685,0.25241009388833074,0.0008611040517416739,0.005971925336806732
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0035230471308636286,0.05758241784105328,0.0014786559477085656,0.0057425152531336
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0031760017015554035,0.2357075750818772,0.0009940427375082362,0.005887366041487886
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0030957883037823417,0.2916100961247531,0.0008871113809381083,0.008506329027870492
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0029200141721873497,0.03973898541730158,0.0010659496088431225,0.003813038521198051
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0027494152546882217,0.5736578559052044,0.0009266075590466681,0.009442337636009783
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0026715556811148424,0.02267500284422728,0.0005757274436399256,0.001693365090848192
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0025361515263601473,0.21499363330224155,0.0004915555557497578,0.0057717704383701916
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002086899346526977,0.2568945982382269,0.0006271062234331802,0.004159181043408251
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0020068573893998872,0.23896747495736423,0.0006553245919739682,0.006090156430723253
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0020027772882541526,0.791854774478877,0.0007133721807475278,0.013542329857133809
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0019830875528133673,0.37689090681220194,0.0008728735744877261,0.005389644668602452
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0019495624445940813,0.2359101976361255,0.0004695712946058596,0.00635676322455152
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0019484770671984496,0.6062802545128021,0.0004769327728035819,0.007767722231019558
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0019455338562826795,0.4213274505227173,0.0008795223349011629,0.009028931877966486
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0018493384452341632,0.778235727634098,0.0006553403123764523,0.012495393712407883
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0018390885453945381,0.5511619558570898,0.0006834456628720502,0.0076651978515882195
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0017738924493088113,0.8409062330419046,0.0007640958836155811,0.012698749405846966
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0017430140468606128,0.2894383327106056,0.0006872251426765615,0.004435186091099005
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.001735042725201166,0.3746061523224109,0.0006260231748508052,0.005708906579165771
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0017223777316028419,0.6347703073040272,0.0006890342268297757,0.008120416094180787
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00162230100708555,0.5958174912457775,0.00047777431171362815,0.00922217317005002
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0016162735848837114,0.26953217082590275,0.000584650141326299,0.007726760712425303
12,sett_cutoff,sett_model,,,,,,,,0.0015990083414294505,0.22928339896310623,0.0008272140850773867,0.0056648323969377724
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0015555739815743487,0.2557607677606263,0.0005268577015489605,0.003911738647172978
35,sett_model,sett_preprocess_age,,,,,,,,0.0014565227723984248,0.01802042136853164,0.00039517493294553884,0.0014552709799301729
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.001441698460103284,0.016014227689472624,0.00041604611668998693,0.0016676084005753458
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0013616671436818097,0.6402911047201705,0.0004680615173078384,0.009035474218345106
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0013507314777158569,0.7165320137900455,0.0004140963692184089,0.011384840163915243
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0013133373803213616,0.4370440205893512,0.0006928587812045932,0.010390600929138398
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0013038723459347524,0.2178193481172951,0.00040938770906514323,0.005126023519213977
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0012669586675682198,0.2470804117091926,0.0004986267825709829,0.0055425285791283465
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0012533019363600347,0.5593052569989498,0.00037060134879495345,0.009286754687189884
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0012482773962106397,0.7062193249303265,0.00046982781535224376,0.009599925470249968
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0012423246983567647,0.26446327631378397,0.00044141910592373655,0.006315511625137476
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0012207323660200049,0.03950991996651307,0.0005824093137736206,0.003667531707008693
19,sett_encode_categorical,sett_model,,,,,,,,0.0012174945588889537,0.017067918707088046,0.00032589758075114283,0.0014984150655301242
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0011872268674209111,0.2345360295669781,0.0003721743081169098,0.005502002923478582
363,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0011799818403499742,0.47208760381644016,0.0007170532777760829,0.015040222194525778
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011789786325187438,0.323004596028151,0.00033579085531081743,0.006547280938295409
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.0011514245172411074,0.26626240312698046,0.00041716039255208776,0.007253093038027251
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0011405593199300206,0.28230379290406593,0.0003398461145928243,0.005993329467246864
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0011161755539979233,0.7375937146261078,0.0003828193123257964,0.0100339010079034
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0011039244942343473,0.8049116273667356,0.0002671722890462344,0.010960003491745807
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.0010964608355777967,0.8367577241768108,0.00046322319196982363,0.015413434418497272
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.001089918843017954,0.01900696761993209,0.0004908041060755548,0.0014015020613241621
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0010818319500909427,0.3014277008318663,0.0003875639897624423,0.004981316717458218
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.001071935399621745,0.5818923596195017,0.000472703194092344,0.008823570440603033
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0010647392309340118,0.6206628785782902,0.0007349769799555252,0.008670983237137827
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.001041938562500368,0.760881917303709,0.0004777190113720495,0.012307423655079659
227,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0010394820796925553,0.3932790588172693,0.0006227175960714885,0.007358411625111912
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.001035134537324853,0.8208050153445925,0.0005521082640986457,0.014657853260150396
5,sett_preprocess_age,,,,,,,,,0.0010252320991359812,0.0010252320991359812,0.00032703571282063096,0.00032703571282063096
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0009830765311508714,0.6574922334101632,0.0003273753207735283,0.009087815574309023
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0009747024095120877,0.5665912461072389,0.00044172844332711185,0.007299575966109346
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0009564868777072352,0.45551840251230497,0.0003724746271358377,0.00954301234226242
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009555869317066527,0.31230646688996033,0.000483121696504888,0.004779401389963929
300,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.000944998442347692,0.3104178819680201,0.00031813819530462423,0.010825658371474188
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0009389796869842019,0.2811037837703265,0.0003374817507409817,0.003950330657831514
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0009366029123187544,0.2701899409374393,0.0005037937581830105,0.005517203479614619
17,sett_encode_categorical,sett_exclude_features,,,,,,,,0.0009156512816385686,0.014774706063073781,0.0003239201719207443,0.0015549341221428499
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009156460936087182,0.6083270866646161,0.0002274527908979037,0.00900648632029932
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.000911901991046355,0.5868985674358896,0.0005075804400163076,0.009294787392551428
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009063930346099194,0.27501508872687175,0.0003474307495064474,0.004662369864707409
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0009045438168895569,0.5711360251691897,0.00041473211666466075,0.008410161500607001
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0009016257306549962,0.2343320505679063,0.00023216355222985808,0.006419061834174494
