,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2510271972233087,0.2510271972233087,0.006709011611016971,0.006709011611016971
0,sett_cutoff,,,,,,,,,0.20743818661358393,0.20743818661358393,0.004169962518376559,0.004169962518376559
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10994752980120355,0.37470685470454534,0.005937875391537128,0.011390512357888618
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08376385761930516,0.5422292414561978,0.003598704274224769,0.007297816498995177
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.028761075935025048,0.6998661231466374,0.003203084885306221,0.014065755954415492
36,sett_model,sett_preprocess_income,,,,,,,,0.014872461757229848,0.03365309310220957,0.0024898573622399956,0.004079305649229591
4,sett_model,,,,,,,,,0.014705825911336304,0.014705825911336304,0.0021086160994311398,0.0021086160994311398
2,sett_exclude_features,,,,,,,,,0.01373212768003312,0.01373212768003312,0.001470016104661891,0.001470016104661891
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01217329534623552,0.2779063184808805,0.0011331387091133805,0.005686518366555278
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009565212995805095,0.22301141972834856,0.0012872993334797128,0.004073050123511418
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.007876843851764966,0.05564600828961514,0.001359706088393047,0.0061507546252934624
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006460868638095169,0.41132734479756417,0.001138983219189867,0.009605140437664453
42,sett_preprocess_income,sett_scale,,,,,,,,0.0062895201366302625,0.013831363461158114,0.0010637666792817782,0.0016289481357902478
8,sett_stratify_split,,,,,,,,,0.006008020118959548,0.006008020118959548,0.0009268167558197193,0.0009268167558197193
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005196148274177843,0.2263664625677949,0.0009990563893891198,0.005063475661500854
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004893598941434402,0.2505499643406459,0.0005774216868775913,0.00612955174395803
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004824592434669768,0.750351876356637,0.0007342803546890276,0.011428442270664243
37,sett_model,sett_scale,,,,,,,,0.004359513308125903,0.022532377110346648,0.0012863539788022704,0.0030570083230509705
6,sett_preprocess_income,,,,,,,,,0.004074805433643413,0.004074805433643413,0.0007522900650854693,0.0007522900650854693
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003754840822713044,0.2489543415358625,0.0006850740989141845,0.004398832710225966
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0036640488491486347,0.24764087073567348,0.001065493213858379,0.006147009623643085
7,sett_scale,,,,,,,,,0.0034670378908844405,0.0034670378908844405,0.0006901952828223626,0.0006901952828223626
25,sett_exclude_features,sett_model,,,,,,,,0.003280500197351844,0.03171845378872127,0.0007489813526625193,0.00263584411056032
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0032598050305898633,0.022999952829582535,0.0005534085142317375,0.0018269487933558653
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0028434950181482686,0.5732554344546463,0.0008307164811804172,0.005883709681013796
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.002747290263333665,0.28413444276372957,0.0006673680534371458,0.0074526905503589525
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0027122878532618347,0.22899917457587277,0.0006840360417101531,0.005229965021598896
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0026621867042783175,0.05545208285724982,0.0007813883246837548,0.004956219417797121
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0023249998598168587,0.2099541039408186,0.00047476271904668547,0.004162912344547844
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002285485483795504,0.6040451737133585,0.0010142531522673785,0.005970268988538816
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0022601169572603226,0.03713400862311098,0.0005332158832384065,0.0029310053752877605
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0022029789517445716,0.7962194853460701,0.0006203978261016826,0.010752906141267239
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0021241751733769676,0.019931108287053502,0.0006236686775574217,0.0016749340398254668
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.001861886689765449,0.25635612180395856,0.0008106077206786185,0.006647937599518154
