,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25182466806460413,0.25182466806460413,0.006917671112085466,0.006917671112085466
0,sett_cutoff,,,,,,,,,0.20524418573696004,0.20524418573696004,0.004795598529034935,0.004795598529034935
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10840993031333972,0.3736075694406685,0.004420620462093589,0.008800044939687177
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08254685299797927,0.5396157067995435,0.004439046293295648,0.011169032875501955
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.026791029382964966,0.6923268801991602,0.003199498311946891,0.01273366572760621
4,sett_model,,,,,,,,,0.013929653460248695,0.013929653460248695,0.0016073091255854736,0.0016073091255854736
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013779700002384139,0.27953402152723694,0.0024328832716382443,0.005369730928310915
2,sett_exclude_features,,,,,,,,,0.013372971062724611,0.013372971062724611,0.0015913319788452215,0.0015913319788452215
36,sett_model,sett_preprocess_income,,,,,,,,0.012366383259435735,0.030456223425157386,0.002714897654232451,0.0039298716550640106
16,sett_cutoff,sett_stratify_split,,,,,,,,0.010472612234862434,0.22208078990553276,0.0019124707090104297,0.0061475098724073935
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.007149149575040988,0.051641416577027546,0.0012865591237587045,0.006478382140911917
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006554507637027439,0.41123416389831075,0.0015457801995902604,0.007719464069783346
8,sett_stratify_split,,,,,,,,,0.0063639919337102595,0.0063639919337102595,0.0009901815502508303,0.0009901815502508303
42,sett_preprocess_income,sett_scale,,,,,,,,0.006231297084817334,0.014316247693297634,0.0010399617129122239,0.0017878896803549338
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00575616552695308,0.7466286941813843,0.001358124062661089,0.008672879799162193
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004786012578272326,0.24662830084505605,0.0009219082225469877,0.006404880491925628
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004337539411075431,0.5734581016815326,0.0009916763720662824,0.009080431804617858
