,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2518548342320972,0.2518548342320972,0.006876663516678155,0.006876663516678155
0,sett_cutoff,,,,,,,,,0.20881548803631453,0.20881548803631453,0.005084467043786918,0.005084467043786918
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10647975124813289,0.3732254719440329,0.006048617136137061,0.009684493796932283
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08221958411570836,0.5428899063841202,0.005227652110239829,0.010016900269441062
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.026326661295218916,0.6953590297841188,0.0026839614378416396,0.01212304713691399
4,sett_model,,,,,,,,,0.015834199090912035,0.015834199090912035,0.0017335189856759765,0.0017335189856759765
36,sett_model,sett_preprocess_income,,,,,,,,0.015393507145089184,0.034920210823876946,0.002959742035263919,0.003981812170141651
2,sett_exclude_features,,,,,,,,,0.014890886463802775,0.014890886463802775,0.0009051438957285235,0.0009051438957285235
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01302279453846569,0.28071182786147486,0.001345303531870462,0.007978707491058931
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008213949124189622,0.22299881347328482,0.00110405431587969,0.004890307924035139
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.007431678239231755,0.056224293072769646,0.0011843681176236618,0.006057807012051109
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006381920554469995,0.4118079278104907,0.0012687479784386333,0.01039557174977483
42,sett_preprocess_income,sett_scale,,,,,,,,0.006116279585926735,0.013611833983275225,0.0013930809461435445,0.002505225213018628
8,sett_stratify_split,,,,,,,,,0.005969376312780647,0.005969376312780647,0.0011734919881717255,0.0011734919881717255
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004936653469590158,0.7485852213931938,0.0008733053182666976,0.011777189883174203
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004771824392844072,0.2284781988929614,0.0008321884608705168,0.00556333847837276
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004194901365291227,0.2535488926731521,0.0007924918256307507,0.005566346478035053
37,sett_model,sett_scale,,,,,,,,0.003953074614261441,0.023590323514646235,0.0007741048214559575,0.0026292972863645645
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0038141292663586104,0.5772590809212337,0.0009870997800772606,0.01016780975809742
7,sett_scale,,,,,,,,,0.0038030498094727607,0.0038030498094727607,0.0007364956425926364,0.0007364956425926364
6,sett_preprocess_income,,,,,,,,,0.00369250458787573,0.00369250458787573,0.0008872159538011847,0.0008872159538011847
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003356191952820238,0.25046903668654397,0.0009131729109073675,0.0053920413766198
25,sett_exclude_features,sett_model,,,,,,,,0.0033435416826101566,0.03406862723732497,0.0007516134749906454,0.002131244566153084
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003163142384610729,0.2483737288373128,0.000922158247811406,0.005467851500692457
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0027310881957743876,0.23206410550629702,0.000804675166327925,0.005807707928586781
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.002672312036563828,0.21180327152143708,0.0008174819283432498,0.005274866985215124
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0026703628474375254,0.2864245152025513,0.0005375312615053333,0.005999060430282147
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002549062122770409,0.02340932489935383,0.0005417998268454629,0.0016658750809588699
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0025088628337715507,0.057490386427922646,0.001094902376199603,0.004465755990122742
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.002450457074830546,0.039899188508853795,0.0006585146981559895,0.0025813181893515162
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002098346791644859,0.6068095175720003,0.000737246059118358,0.010599216857125476
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0019293202679742172,0.7925207957615685,0.00047968967728883655,0.011591908231438013
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001865561233461647,0.841174553637664,0.0009599367281742069,0.01115843488551031
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0018268846238612166,0.02041027567553972,0.0005980199442604592,0.0012271547780656374
