,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24712744613630414,0.24712744613630414,0.005867050853153314,0.005867050853153314
0,sett_cutoff,,,,,,,,,0.21328521230648897,0.21328521230648897,0.007307332284442656,0.007307332284442656
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10381045165166888,0.3637894379186105,0.005637095149520066,0.00866689378627559
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0822405051712744,0.5426531636140675,0.002909870016820102,0.007602146818172643
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.028636776949274807,0.6925916781613972,0.0026285974026457838,0.009522213996150004
4,sett_model,,,,,,,,,0.01527350442177791,0.01527350442177791,0.0016734920535492889,0.0016734920535492889
36,sett_model,sett_preprocess_income,,,,,,,,0.01514754900457592,0.03482392613653036,0.001982719967758954,0.0027120504130841807
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014579073510760326,0.27698002406884237,0.0015181850111527207,0.004966672142879837
2,sett_exclude_features,,,,,,,,,0.012851540130637492,0.012851540130637492,0.0012142588791541177,0.0012142588791541177
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009332123383937933,0.2292814063368058,0.0008223847235382564,0.0075262993172221845
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.008268038857261333,0.05756219388796596,0.0014954616566441974,0.004846976133418595
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.00719011926529726,0.4045521888232886,0.001376480838490087,0.008085860546648067
42,sett_preprocess_income,sett_scale,,,,,,,,0.006677705114662902,0.014537225853448037,0.001312446244700835,0.002211987710954028
8,sett_stratify_split,,,,,,,,,0.0066640706463788855,0.0066640706463788855,0.0008286645635308086,0.0008286645635308086
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00556474549040651,0.7487198541862702,0.0010664199387196446,0.009887241952848555
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004639745815748461,0.23077649825287494,0.0006856437817955444,0.007044206139404608
6,sett_preprocess_income,,,,,,,,,0.004402872710176538,0.004402872710176538,0.0009490011282573022,0.0009490011282573022
37,sett_model,sett_scale,,,,,,,,0.00433587575090276,0.023066028201289265,0.0007505529059408768,0.0022233468100201397
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004280380511622607,0.2557851448637748,0.0011180595462114771,0.008423159452556929
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004115417806393266,0.25536114754698086,0.0009323734827101324,0.008390613812931389
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0037855911475091295,0.5780260406647715,0.0008167488633852895,0.0073863181528353705
25,sett_exclude_features,sett_model,,,,,,,,0.003720053706842585,0.031845098259257985,0.0006949534516038637,0.0023610219413232295
7,sett_scale,,,,,,,,,0.003456648028608597,0.003456648028608597,0.0005207810159455306,0.0005207810159455306
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0032029722608070956,0.2524965286349028,0.0007772339111616709,0.007135612113807235
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0028189825350276986,0.039154212068430706,0.0007351136342007137,0.0028411282371062683
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.002745211231405485,0.05554619687867442,0.000895776334964071,0.0030615348568861075
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0026418574695406313,0.2891484601293546,0.0006671237999088528,0.009099338008407029
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0025208640909039244,0.0220364748679203,0.0005004504296263943,0.0015805366147853437
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002516982424588991,0.6101177008801136,0.0012471595512594969,0.007878125576218534
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0024655553446429872,0.2360470981701456,0.0008116462543178167,0.008505025986435169
