,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2533067988672424,0.2533067988672424,0.00253640371571627,0.00253640371571627
0,sett_cutoff,,,,,,,,,0.2117811434498457,0.2117811434498457,0.002844413725964787,0.002844413725964787
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.1095406922787579,0.37739387660250323,0.0027303373240784574,0.004199503045324698
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08364978799166133,0.5487377303087493,0.0016889144656176596,0.0040447717099716925
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027890600838257548,0.7054565717576542,0.0012657711590891149,0.005820004598219564
36,sett_model,sett_preprocess_income,,,,,,,,0.018220020739447066,0.03845340226110735,0.0014109006558055276,0.0022825077613622983
4,sett_model,,,,,,,,,0.01568482121012245,0.01568482121012245,0.0009340246703366664,0.0009340246703366664
2,sett_exclude_features,,,,,,,,,0.014546385456502955,0.014546385456502955,0.0007212939914593687,0.0007212939914593687
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013280941150715436,0.2822725612280802,0.0011439682210553556,0.003181569777242242
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.010105519026567623,0.06595059659878423,0.0007391468912243684,0.0036324848940762237
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009680479934627385,0.2282969747811255,0.0006379953258728455,0.002976547052511321
42,sett_preprocess_income,sett_scale,,,,,,,,0.008263123112848977,0.017044575776257887,0.0007137455827751764,0.0015112119686850026
8,sett_stratify_split,,,,,,,,,0.006835351396652453,0.006835351396652453,0.0006026270792688077,0.0006026270792688077
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006686136380922409,0.41714301481482585,0.0006302672827060892,0.004186265897438973
37,sett_model,sett_scale,,,,,,,,0.004895659846389202,0.02481337340838273,0.0005288261044095047,0.0014064766126333239
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00484778689285862,0.25822667410751277,0.0007161353525193742,0.003639153894474058
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0047986309874446485,0.25718673999751895,0.000537100234607287,0.0035284711892996598
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004741162875386455,0.2310686917817351,0.0004578393824110527,0.0033462834828272537
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.004600180539719728,0.06371533140495451,0.00100621491452523,0.0023653900126154
