,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25418083865719526,0.25418083865719526,0.004203893952769334,0.004203893952769334
0,sett_cutoff,,,,,,,,,0.20889275369761656,0.20889275369761656,0.003113404634034999,0.003113404634034999
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.1103559973789201,0.37909417318013483,0.0026661432767505888,0.0057405923285213335
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08318354476713384,0.5462571371219456,0.0027002630416862556,0.005166016777025377
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.028453451953896,0.7046413478162633,0.0016593576999564877,0.00767531440856349
36,sett_model,sett_preprocess_income,,,,,,,,0.017196443310359688,0.03760729239072488,0.00158688506321388,0.0025901719521695165
4,sett_model,,,,,,,,,0.016098106903458108,0.016098106903458108,0.0009539060030470419,0.0009539060030470419
2,sett_exclude_features,,,,,,,,,0.014557337144019526,0.014557337144019526,0.0006541649334897492,0.0006541649334897492
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013981807067585294,0.28426075262823863,0.0010343761262237249,0.003988406135582065
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.009962206225500283,0.06500649710663657,0.001172348488278088,0.004494213399852362
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009781408981677403,0.2249599200687103,0.0005752113272816596,0.003348550400021826
42,sett_preprocess_income,sett_scale,,,,,,,,0.008104743296783888,0.016436290837826655,0.000837940846170316,0.0017827465394645657
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007035210147730892,0.42027183873645313,0.0008626236909873287,0.005149993201227607
8,sett_stratify_split,,,,,,,,,0.006285757389416334,0.006285757389416334,0.00040328628098227525,0.00040328628098227525
37,sett_model,sett_scale,,,,,,,,0.005313449829491841,0.025430362097085636,0.0005492626080316248,0.0014088244896049648
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005060823447729567,0.25506568831845955,0.00046613515592762954,0.0033708886352925584
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005017424217482138,0.22846751505911822,0.0003989573091171694,0.0034252673644725863
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004723225309078786,0.2539506369493622,0.0008280998872409123,0.004160880732349087
6,sett_preprocess_income,,,,,,,,,0.00431274217690708,0.00431274217690708,0.0006943120907360078,0.0006943120907360078
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0042012091156607995,0.7599471236429561,0.0006483075643182927,0.006166662395023823
