,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2502027216499388,0.2502027216499388,0.004281113602219733,0.004281113602219733
0,sett_cutoff,,,,,,,,,0.20918131358209235,0.20918131358209235,0.002356405188683602,0.002356405188683602
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10849157088529979,0.3729989134514625,0.0031828760235762684,0.006120864071593625
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08321416881353177,0.542598204045563,0.002178840533371569,0.005364609115776025
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027678708543699065,0.6970866884312615,0.0012620090293826989,0.0071645464498702564
36,sett_model,sett_preprocess_income,,,,,,,,0.017151226695816826,0.03741752934207779,0.0012496010322416598,0.002451992777091805
4,sett_model,,,,,,,,,0.015926429408885095,0.015926429408885095,0.0010906912432915854,0.0010906912432915854
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014537588268040542,0.2806667393268645,0.0014523409048962654,0.0042599476483719725
2,sett_exclude_features,,,,,,,,,0.014304620916223972,0.014304620916223972,0.0010253271849665496,0.0010253271849665496
16,sett_cutoff,sett_stratify_split,,,,,,,,0.01018879907212797,0.22626135889274418,0.0008033815076015076,0.002336485342745526
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.00928016299805768,0.06425007352922676,0.0008842322061783911,0.0037924616774564403
42,sett_preprocess_income,sett_scale,,,,,,,,0.008249951593202829,0.017084482119287266,0.0009889248000323455,0.0018353163491575458
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007517028928309195,0.41461051063758136,0.0007974966360504789,0.005691549768288784
8,sett_stratify_split,,,,,,,,,0.006891246238523849,0.006891246238523849,0.0007782912524921537,0.0007782912524921537
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005889250879723778,0.7545520719824075,0.000776602511852428,0.006652803546593748
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005111245285920019,0.25341756273646154,0.0005747015344258103,0.0033693120934881133
37,sett_model,sett_scale,,,,,,,,0.004807772307179901,0.02522885900477356,0.00047248383959312587,0.0014735959483455276
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004560476009507269,0.2542679289813097,0.0008251015392444529,0.003843869740983046
7,sett_scale,,,,,,,,,0.004494657288708564,0.004494657288708564,0.0005847882081032788,0.0005847882081032788
6,sett_preprocess_income,,,,,,,,,0.004339873237375872,0.004339873237375872,0.0005862764804866415,0.0005862764804866415
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004013584040475802,0.22749951853879213,0.0004864597254363771,0.002808214005974723
25,sett_exclude_features,sett_model,,,,,,,,0.0036305505808839657,0.033861600905993036,0.00037412432207349476,0.001428844860644273
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0036241029711916372,0.25132341729632746,0.0004621076487429535,0.0028334522211937965
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.00360347127740305,0.577915511921872,0.0009143974717159523,0.0052298090277552375
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0035305207768962905,0.06094002057607386,0.0006476529370724182,0.003340620535664207
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0034118011155755057,0.04154531495638607,0.0004930432134079044,0.002060237971144436
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0033426926657199683,0.2921642359503058,0.000576605755260173,0.0052606544103926825
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.003265996580137028,0.21254285969664977,0.0004488280230740595,0.0022370970535604173
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0032159029357668695,0.23276485591757978,0.0004609477884880432,0.0028837402129650073
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.00311975047569184,0.024315617630439663,0.00032580469429781625,0.0010552019775670008
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.002297305567898726,0.2569946845065461,0.00045852287073099723,0.004207607693807644
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0020567989599918385,0.020701293113591684,0.00041969119191679005,0.0013123708488090803
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0020545069316796343,0.23350403939871378,0.00038392298952365467,0.0029849088203198195
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002018702451858508,0.2565612973391732,0.0005199304089921911,0.004133307251406268
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0019878160755853556,0.294254290566237,0.00040390728176281095,0.004394677104674389
19,sett_encode_categorical,sett_model,,,,,,,,0.0019242036407460172,0.01794618258405149,0.00032847900624571684,0.0010917069407784476
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0019062937428842312,0.237661275604696,0.0003831627939227002,0.0029314799353772976
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0018587911256519097,0.21537997794512012,0.00031881773959316627,0.0022997344526202697
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0018218755800876955,0.016967216160641615,0.00046570805321820275,0.0014633685837687708
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0017759046591432452,0.43203399915745844,0.0003570163678072356,0.005698708941450986
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0016631576989220487,0.38156551118445703,0.0004283308778199957,0.005847400605161664
35,sett_model,sett_preprocess_age,,,,,,,,0.0016093176903998895,0.01837646676361493,0.0003055360295903546,0.0011192801146540756
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0015799454954909644,0.38299423359617973,0.0004862079488614531,0.005545833144375515
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.001486392767090333,0.26757405361018627,0.00026577449456275314,0.004314752089052382
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0014389237753117162,0.28457783251686386,0.0003364763443938781,0.004478731470281829
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0014377447372292775,0.588967282222455,0.00026123231971211206,0.004915110080805782
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0013597851974444682,0.2330030968657057,0.00025494803152189383,0.0026646119166374
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0013396496470244748,0.6108196583846278,0.0005188385577456781,0.00577293953828169
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0012950577526197014,0.8441444330119499,0.0002768792108274271,0.005828642144476938
12,sett_cutoff,sett_model,,,,,,,,0.0012498189219803339,0.22635756191295778,0.00023114349438338512,0.0026992409712637716
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0012497825888424662,0.8026941748306149,0.0002164958789367753,0.007015898454980326
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.0012475328505010667,0.26487903651549083,0.00030723433746269053,0.003916267648798141
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0011053668098614466,0.7865448216033522,0.00022721915265541155,0.006407639234401677
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.0010771505957728905,0.5474893169954145,0.0003030507074070288,0.005017704446592224
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0010747782509374455,0.27267799003992077,0.00029403926574514275,0.004885337866281943
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0010291274063492298,0.23193259490368426,0.00027017388235673343,0.0031452928047663556
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0009941502230079247,0.04095718957635538,0.00020647309787299366,0.0025583750342889544
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0009909528661711346,0.3051674945780868,0.0003090717527706594,0.004545635617091831
363,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0009904402703195135,0.4861441764709786,0.00033173875197693535,0.00718112582058828
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0009756761882822453,0.6364420102108879,0.00032574745833343244,0.005930430407755335
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0009610502373375374,0.6478287044986654,0.0004976344248810034,0.007273329814021687
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0009477486657691228,0.4472262797869519,0.0001668976519773238,0.006050685406268373
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.000944146168660995,0.5991083211415176,0.00036472101540418447,0.00569998024954024
243,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0009331856950892896,0.33829312435474657,0.0002662002905287254,0.005896862243994823
74,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,,0.0009254312304161308,0.03739525312526014,0.00025947123060201464,0.0016024653285066643
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0009183724349969592,0.8831496531942684,0.00013198895970648053,0.00487972031497777
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0009123223195654996,0.810765022195702,0.00017173306587362484,0.006013026836154217
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0008919747818530769,0.5609655443400787,0.00029507844815342994,0.005717889955250247
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0008621468268427814,0.3224567080403007,0.0001680981001849781,0.0045490593830429474
5,sett_preprocess_age,,,,,,,,,0.0008407196643299462,0.0008407196643299462,0.0002473711415051672,0.0002473711415051672
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.000837355541157947,0.24486053262919047,0.00017281577215247175,0.0025565360521178893
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0008350033512709285,0.27473919671836283,0.0002370144533024226,0.003281965530238187
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0008263978354635399,0.26297754617954616,0.00016284023096054616,0.00386095890390715
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0008151927135709321,0.25292907207811355,0.00021947568804251216,0.002806662254620809
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0008102884364706833,0.8283675624369505,0.00021479207821357144,0.007509093246181284
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0007996081623816058,0.6547024013132542,0.00014750182228376782,0.004988266607920947
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.0007761850627741157,0.8484917368319247,0.00028693510489756073,0.00823823473616722
230,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0007629334542938982,0.07073942401421754,0.00022797220925254664,0.004078779556087788
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0007557445048229367,0.7721736595868456,0.00018923938582955687,0.006579868363485321
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0007544837615134825,0.7234339833446126,0.00020871582570796364,0.007158948780898466
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0007413537141252617,0.21076338696054758,0.00016311547513824917,0.0023120649630381895
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0007105009902410304,0.6227881152539805,0.00024243782096377892,0.005332881220020596
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0007031107703795284,0.4634399847191008,0.0001561795840398912,0.005791144386207891
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0006969113433344634,0.2797750584228246,0.00016565314085070415,0.0032526324898670025
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0006926582736821972,0.7417694883872354,0.00019121745256229003,0.006151495871385587
