,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25244601474863604,0.25244601474863604,0.0038550485650350255,0.0038550485650350255
0,sett_cutoff,,,,,,,,,0.21189475629067978,0.21189475629067978,0.0032978762372914945,0.0032978762372914945
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10822997350521932,0.3752437324612692,0.004091627060160815,0.005301333450646728
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08293305277244757,0.5472738238117634,0.0023363781243246795,0.004766383163622369
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027999488656036534,0.7026080863839494,0.0015010770468653289,0.0059596347926358095
36,sett_model,sett_preprocess_income,,,,,,,,0.017114387234340445,0.03662431039212795,0.0019389292707282016,0.002770318834901044
4,sett_model,,,,,,,,,0.015676274873684427,0.015676274873684427,0.001145763031314574,0.001145763031314574
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01491760572762512,0.28303989534994556,0.0006532403073987666,0.0033619319657048835
2,sett_exclude_features,,,,,,,,,0.014567744207413833,0.014567744207413833,0.0008022313611749116,0.0008022313611749116
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009832013125178438,0.22825699357321955,0.0006444328491044987,0.003415339223628627
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.009364161053739552,0.06206930294934097,0.0013968321532014723,0.0056013907020488465
42,sett_preprocess_income,sett_scale,,,,,,,,0.00730999615685984,0.01511061669115089,0.0012079676412134327,0.0020027405423719653
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007251666017048337,0.4167155854469884,0.0007265901473079577,0.005719938945076749
8,sett_stratify_split,,,,,,,,,0.006530224157361338,0.006530224157361338,0.0005608489231385208,0.0005608489231385208
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005041471783734614,0.25674019134589726,0.00042879839428653906,0.0037815329579094356
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004965775766858146,0.2563176530236005,0.0008066231463674647,0.003867453239916723
