,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2493269804649259,0.2493269804649259,0.0036644842504969127,0.0036644842504969127
0,sett_cutoff,,,,,,,,,0.21103158084050921,0.21103158084050921,0.0026007102134283115,0.0026007102134283115
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10774342366068668,0.3714906303094705,0.004140951377290363,0.007674954326547416
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07903253760665524,0.5393910989120902,0.0021929636273231405,0.005038113160541302
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0258709741634182,0.6923266444082704,0.0021745141665554793,0.010411230810855055
36,sett_model,sett_preprocess_income,,,,,,,,0.017280493911130568,0.03761820694533161,0.0016614288841843672,0.0027196115715972242
4,sett_model,,,,,,,,,0.01609109968665166,0.01609109968665166,0.0008999642904686623,0.0008999642904686623
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014570724382663543,0.27998880453424113,0.0008485723438723467,0.0032889825134214527
2,sett_exclude_features,,,,,,,,,0.014420226183857895,0.014420226183857895,0.0009874952714552482,0.0009874952714552482
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.00987686421806959,0.06432930751634966,0.0013832853514470424,0.005124341190188718
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009763989441519384,0.22689508309615558,0.0007525780858844111,0.0027493462465887995
42,sett_preprocess_income,sett_scale,,,,,,,,0.007810371659489753,0.01611318512001109,0.0008572790019753325,0.001632005429976503
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007100074674087518,0.41330103901656323,0.00040454052676562813,0.006844363163919618
8,sett_stratify_split,,,,,,,,,0.0060995128141270085,0.0060995128141270085,0.00047202517324000605,0.00047202517324000605
37,sett_model,sett_scale,,,,,,,,0.004967664580486746,0.025114964380110353,0.0005893835475549344,0.0014025159393714088
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00493084036976208,0.25708682421896156,0.0005437811045607319,0.0037375017813752027
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0049009214882172174,0.23035272851258431,0.0005185193385002773,0.003338272972460787
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004786701821588539,0.7486218614324299,0.0005872384525528628,0.009365967917663254
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004714365528496884,0.25645468915848335,0.0007290862202365963,0.0036808760770805087
6,sett_preprocess_income,,,,,,,,,0.004246613347549389,0.004246613347549389,0.0007769094175236268,0.0007769094175236268
7,sett_scale,,,,,,,,,0.004056200112971948,0.004056200112971948,0.00038421899664969927,0.00038421899664969927
25,sett_exclude_features,sett_model,,,,,,,,0.00404850996369005,0.03455983583419961,0.0007070551412909714,0.0018154764886302841
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003930777070487867,0.25316793138567606,0.00038373707612899047,0.0033093467714632833
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0036073011568988995,0.043317382606341936,0.0005824058977718035,0.0023703731330073983
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0035103302886702074,0.06165902311091846,0.0008635548356172248,0.0036014855659175114
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.003396982509796609,0.2363297173430526,0.0005039541073218615,0.002968723705442036
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.003338023509485627,0.29539546841681397,0.0004167729868722964,0.004854300097661546
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0031036204394427613,0.5748201891071217,0.0007466353540822838,0.004657707942791647
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003020923546957488,0.023540662544942394,0.0003568776246468564,0.0009152429270649288
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.002798615395585937,0.2140619961477694,0.0004376971472178386,0.002539844247403801
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.002359142391783923,0.25574232296968175,0.0005192612994037107,0.003081413614497345
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.002174411224999767,0.2935462228444835,0.0003728103874057434,0.002874982802911395
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.002074333834935189,0.23637794402428935,0.0003341638015804742,0.003279738313575978
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0020617497293686903,0.020728589260775976,0.000719217707395179,0.001420540448268092
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0020154324015818218,0.017673376302004756,0.0003890607315065139,0.0011650399451163175
19,sett_encode_categorical,sett_model,,,,,,,,0.0019281247975100183,0.01825102439583595,0.0004524955365062541,0.0009117638924360896
35,sett_model,sett_preprocess_age,,,,,,,,0.0018970954970965685,0.019225912900313266,0.0002356887119932329,0.001029772162329771
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.001852062953891801,0.2554256567663671,0.0006821146117587955,0.0027451332011375687
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.001730177725278875,0.2398181594726535,0.0003295222299232987,0.0034187845679267597
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0017013316282554563,0.27299496222571057,0.0002847915050292525,0.0043650369529133325
12,sett_cutoff,sett_model,,,,,,,,0.001663645686273414,0.22878632621343428,0.00023351228425495254,0.0026727596973472744
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0016518681560908032,0.6083916474415676,0.00039816363998534254,0.004247201705829373
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.001626695593024063,0.37964967745109657,0.00036799201129863557,0.006792287635090182
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.001617308704917252,0.430435673033162,0.0003035478810375775,0.005835956360244418
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0016060780328148111,0.04248565820744693,0.00055985569008613,0.003208918107331711
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.001447975553284287,0.2351928418714888,0.00019881900549925663,0.0026276147548907614
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0014370290855296951,0.2839886908994659,0.00043296732989955286,0.003448556633139796
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.001426890157872238,0.21670508434593083,0.0003903329345343843,0.0027837142117631344
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0013572347858906738,0.2710086057165034,0.0004896023506032676,0.0020269380146868384
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0013270210217104414,0.7966564074905835,0.0003924549044672235,0.00785900280832138
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0012808130449976632,0.5850669091521619,0.0002353052811274401,0.004811020290768617
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0012707599932767792,0.3046387347400897,0.00035859358136669766,0.003378953219784204
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0012469208098570212,0.26728868071945755,0.0002577882208597961,0.004433210835011228
5,sett_preprocess_age,,,,,,,,,0.0012377177165650392,0.0012377177165650392,0.00017086964344491164,0.00017086964344491164
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0012181414265675528,0.8360540389936594,0.00035801304077725133,0.007835030628992733
243,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0012156505519299026,0.338456274265712,0.0004377543092107983,0.005363736768804261
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.001167360621777472,0.6478124775088334,0.0003678550120576075,0.00579358565292032
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0011284042861373143,0.5480450696575411,0.0004819726391448495,0.004050554045132834
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.001093273971270286,0.5663420720484276,0.000506167019564997,0.003351791093756136
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0010851961307496005,0.8268004330195133,0.0003919547864595655,0.009018785007105396
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.0010620423803077191,0.26842899148836713,0.00023995827547438112,0.0036424962506272636
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.001049907419993781,0.24635560956568858,0.00021590700823555112,0.002793520326667745
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0010406816903945812,0.23565815572728588,0.0002173725144971734,0.0034175179326121226
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0010115954061600992,0.21328089396323435,0.0001815916632633354,0.0026603625491060856
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001009209639626743,0.6323952805900266,0.0002774585180276593,0.004251681390407417
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.000981889449347949,0.7792779302204456,0.00013642068209459435,0.00949400058769576
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0009761181961360787,0.8802852888466712,0.00014303291052545684,0.008482105481103864
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0009429362703024095,0.5948993250999217,0.0001345177777908837,0.004815700435434362
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0009287926590587278,0.806188851394806,0.00013310015485213804,0.010125681340138087
17,sett_encode_categorical,sett_exclude_features,,,,,,,,0.000920466369509649,0.015572492465041816,0.00020686375599992187,0.0009237556830480188
230,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0008993102970888298,0.07331920494596979,0.0003101338778601275,0.0048739863479764865
74,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,,0.0008788090265985295,0.038519035939492074,0.00018660899864924698,0.00179059527986894
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0008756997572900788,0.3805267560975705,0.0004464422424329333,0.006786674371581131
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008679893187822194,0.653997800255874,0.00018243357151668485,0.005099768315507321
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0008677163647504171,0.25572962185748627,0.0002227414023737416,0.0031097350293827165
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.000860351255243989,0.6232358475189169,0.0002758671878717368,0.005121079989751586
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.00085402537697923,0.8445130918645138,0.00034020252759278365,0.0070155450468294646
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.000810272134181167,0.4452090211319219,0.0003151414399718444,0.006190914615696676
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0008098135577227037,0.7064580559233815,0.0003800950390176824,0.009157137473209401
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0008038343983437354,0.3245163019689136,0.00021305947796772105,0.0048332012246299575
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0007867761835331782,0.5468427307905595,0.00033158880473861327,0.004275198764412987
300,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0007684702778615928,0.3168586855473941,0.00023661127162777888,0.00646572740839857
363,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0007653097433177967,0.48417945397316436,0.00031219859777195316,0.006655967588258466
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0007649672272087343,0.5905223879055657,0.00027252278352331077,0.0037855958199538883
250,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,,,,,,0.0007538778488485969,0.07091486864563964,0.0003916228463843665,0.006195422741430365
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0007406397937499805,0.6077988732471844,0.00016761530275307776,0.005270564396646566
220,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0007295789469184202,0.4239363871278107,0.0001659789904670273,0.00727032113916527
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.000724343856370727,0.7684437906515418,0.00013887998062914444,0.009922832789473887
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.0007194296859475038,0.5435438764758088,0.0002490853246383174,0.004989242781099169
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0006769839216425693,0.46031521262723163,0.00017144620327405545,0.0059351590501069
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0006735930456359849,0.5563242835341902,0.00011401685417184975,0.0049343793422031955
109,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,,0.0006621046193557675,0.2840253576122052,0.00018560605871020583,0.0034917808526069042
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0006583063100593199,0.5842088228108281,0.00019616806449984794,0.005068239344009268
38,sett_model,sett_stratify_split,,,,,,,,0.0006558736766141259,0.022846486177392794,0.00015678110382705838,0.0011401456623138617
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0006496039448883198,0.28265215208296796,0.00014228236147880195,0.0036314864392156918
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0006428500039268965,0.717245431599959,0.00011160385450278221,0.010359407053984387
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0006197784579784467,0.35182853716742013,9.041613985516945e-05,0.0062405666161351415
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0006188990963035629,0.301799411351711,0.00014495554715737962,0.004304234542212815
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0006133853646276561,0.2849567022673553,0.0002878519697405255,0.005820549717120687
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0006083622462273554,0.2756062340623336,0.00018538443702543236,0.004024749935443211
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0006068972079792478,0.7344159883293825,0.00017517389056128445,0.009175447812896876
82,sett_encode_categorical,sett_exclude_subgroups,sett_scale,,,,,,,0.0006020422866986738,0.2569903825124841,0.00020367889086544844,0.003038790157686548
360,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0006009974485483498,0.46053897472971017,0.00017876089935550587,0.007239615013118488
486,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,,,0.0005871015052054299,0.882956089448947,0.00026405587927496416,0.008493224961801172
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0005844900957665762,0.22940565940433924,0.00034320323995325154,0.0030093181650397913
469,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,0.0005738688997855829,0.8654098222339621,0.0001434893494068037,0.0071851912913086765
294,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,0.0005680495501635788,0.7156409330018993,0.0002914645486028217,0.009538787874676569
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0005650968819720726,0.4253215611584763,0.00013338285373125415,0.006712503649264089
431,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,,,,0.0005611096642036931,0.6672350795760369,0.00022323388152617357,0.007012369173275941
423,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0005590367640634693,0.7484709829205884,0.00013479547540552262,0.009685685319437086
261,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,sett_preprocess_income,,,,,0.0005529422216239343,0.3092678967858783,0.0003279301901424271,0.004674338655673671
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.000551112549997828,0.28948428829118156,8.584319476503845e-05,0.004798542520526999
202,sett_encode_categorical,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0005481799431693904,0.29879588279897623,0.00012738010367777114,0.0032136812755363645
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0005478376112561239,0.3136899987255335,0.00018051134634789864,0.0033319944924775045
292,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,0.0005371533424815861,0.769182224797326,0.00024209830526465565,0.007587512572902359
459,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.00052225679430537,0.4804553924484497,8.560619457465177e-05,0.006800585349553373
240,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0005167796734960571,0.31125109072735285,0.00014214610640332943,0.003950221397650578
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0005160160349236167,0.5663508438695175,0.00019303331762741033,0.003977918946436177
297,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,0.000514483514624495,0.7283841516197441,0.0003079309758762096,0.0073312095257910695
489,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.0005109445049315245,0.8895552175871473,0.0002006952089555632,0.007683133169223522
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0005050773432092951,0.2639386231321837,0.00010882954369735984,0.00335591550313524
384,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,0.0005031852882947254,0.799528264180429,0.00013674722064764062,0.009428987994035253
271,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0004991674842015322,0.6209882601221375,0.0001908771683038842,0.004225277284964846
382,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,0.0004975956561686994,0.8181182579587314,0.00016354948807698687,0.007780004119618502
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0004972340037898342,0.2876375143495895,0.00011122489923731645,0.0032033178845806776
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.000495629513139471,0.7261681792236143,0.00012146893780453163,0.010552148069923379
141,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,,,,,,0.0004928434464685518,0.2639930400867501,0.00013431164127042125,0.0036127298788252984
362,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.00048776537516829956,0.43836973778144717,0.0001126010792421793,0.0072249729161718065
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0004820357032151038,0.5727002570189151,0.00011872370634912861,0.004339039622776492
227,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.00046817738773576923,0.3984193875831644,0.00022616695182989661,0.005448002841314548
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0004614498261979477,0.5520446510271704,0.00020254953203324035,0.00440509382886134
