,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24929523741947532,0.24929523741947532,0.004471659543115636,0.004471659543115636
0,sett_cutoff,,,,,,,,,0.2126204442161081,0.2126204442161081,0.003925667314325809,0.003925667314325809
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10576948161537207,0.3700131154765066,0.004401881816382559,0.00804842611125233
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08335440282674672,0.5452700844623302,0.0018724512626049066,0.005754035058792351
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.028324563972499335,0.6997133454253417,0.001885020031932949,0.0101077728421018
36,sett_model,sett_preprocess_income,,,,,,,,0.017280022887882204,0.03765235125833351,0.0009595738611932294,0.0015507463097455588
4,sett_model,,,,,,,,,0.016499071649458085,0.016499071649458085,0.0011560368640259997,0.0011560368640259997
2,sett_exclude_features,,,,,,,,,0.01494839644165925,0.01494839644165925,0.0010530289817021865,0.0010530289817021865
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014095236351202845,0.2798895454201362,0.0009703130782101918,0.004212290882569819
16,sett_cutoff,sett_stratify_split,,,,,,,,0.00974970677152934,0.2282016977242744,0.0009467907221239498,0.004022854699004156
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.009648011186264106,0.06358600300109488,0.0013544598337091646,0.0041995609997699645
42,sett_preprocess_income,sett_scale,,,,,,,,0.007206198798002503,0.01536299555901943,0.0007881296458613077,0.0014681266416619097
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.00673543449127,0.4109713626809699,0.0006720472531739187,0.007156686319352734
8,sett_stratify_split,,,,,,,,,0.005831546736636934,0.005831546736636934,0.0005381371023089421,0.0005381371023089421
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005400818933480914,0.23296965959124827,0.0008724044823593811,0.004323266090533549
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005072168539725384,0.25970579822202244,0.0007657320517131624,0.004543791893894393
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004885038147938025,0.2579216900909016,0.0005126219009481046,0.003925895091560875
37,sett_model,sett_scale,,,,,,,,0.004795901718471059,0.025578513407952842,0.0006308313852818975,0.002076541605586287
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004513033828378355,0.7546227421139599,0.0006122527256339196,0.008230992475835395
7,sett_scale,,,,,,,,,0.004283540040023704,0.004283540040023704,0.0006984909624417599,0.0006984909624417599
6,sett_preprocess_income,,,,,,,,,0.0038732567209932246,0.0038732567209932246,0.0005995678558256503,0.0005995678558256503
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0038152511054339727,0.2552407396912045,0.0003777439867401431,0.004307442625326872
25,sett_exclude_features,sett_model,,,,,,,,0.0036285047125323056,0.03507597280364964,0.0003998765411622507,0.001647079244883138
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0033678533207026195,0.061795934551905615,0.0005810475808126997,0.002026152380410748
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0032856262431182155,0.23701760861524604,0.00047070303889737745,0.004096275012051037
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0031561885783558423,0.04228153389026916,0.0008494570777540155,0.0017681580965433926
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0031508947424104335,0.2977861855983297,0.000516094371190034,0.005112842259190101
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0028745754863559454,0.023654518664652128,0.0003877014112562079,0.001189397901165053
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0028295533869928157,0.5802303395790422,0.0004361492082172044,0.00460567962650196
