,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2547147188776922,0.2547147188776922,0.004308272030392513,0.004308272030392513
0,sett_cutoff,,,,,,,,,0.20677562401520647,0.20677562401520647,0.0025814175287931103,0.0025814175287931103
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11099853989498136,0.3804853709993775,0.00310992238354874,0.006313725733987106
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08147555193435232,0.5429658948272511,0.002100457103234397,0.005014605382525422
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02673299808291332,0.6999185736558714,0.001238798778515162,0.006753406515687709
36,sett_model,sett_preprocess_income,,,,,,,,0.01738936031144675,0.03725523063372391,0.0012744904945364505,0.0014419176527663829
4,sett_model,,,,,,,,,0.01573857471268912,0.01573857471268912,0.0006700414207338993,0.0006700414207338993
2,sett_exclude_features,,,,,,,,,0.014772112226703916,0.014772112226703916,0.0008144065823861065,0.0008144065823861065
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014232956989150208,0.2846862505795315,0.0007337447703792952,0.004047815415099903
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.009124282714713923,0.06303897443659574,0.0009061605842729608,0.002682049022274599
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008651829062200222,0.2214536975663996,0.00042326212951484946,0.002721849411878194
42,sett_preprocess_income,sett_scale,,,,,,,,0.008046554053844218,0.01620567287407408,0.0005955145675704964,0.0011020938861529509
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007792193286691427,0.42233512100313053,0.000740943777587075,0.006211388018761629
8,sett_stratify_split,,,,,,,,,0.006026244488992881,0.006026244488992881,0.0005155018243865839,0.0005155018243865839
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005248948370926185,0.252802408924256,0.0006465016399762793,0.003143820364698815
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005242420835014437,0.25268666810025564,0.000366675413157055,0.003177037669819433
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004752688432013063,0.756845758567019,0.0005820904138425069,0.006237959410774051
37,sett_model,sett_scale,,,,,,,,0.004581083823671863,0.024351481747002825,0.00044080910678535726,0.001013420598537187
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004449028624021837,0.22599676486593223,0.0002854076854759264,0.0026843243257020566
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004337020783750468,0.24839419297097126,0.0003381580711055232,0.0026789198851304456
6,sett_preprocess_income,,,,,,,,,0.004127295609588027,0.004127295609588027,0.00041608676277234596,0.00041608676277234596
25,sett_exclude_features,sett_model,,,,,,,,0.004086025015222246,0.034596711954615285,0.0003167267444692734,0.001040492371693449
7,sett_scale,,,,,,,,,0.004031823210641838,0.004031823210641838,0.0003164539205643249,0.0003164539205643249
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.003901762822860063,0.062320721926480166,0.0006240428802025438,0.002089789039666081
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0037911661853996526,0.29343195683987344,0.0004756925534841676,0.0036130947564852645
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0036498937779107996,0.042980191633674544,0.0005242824621613919,0.0013171193310486105
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.00345944296896943,0.5780197521694574,0.0005580338599360643,0.004496188405909102
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0033823337700954643,0.024180690485792265,0.0004778068000135738,0.001040505357577167
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.003354001182535007,0.23107802811268185,0.0005360662705498694,0.003079994601995985
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.002740920714917254,0.20980229872124453,0.00039867692913955055,0.0025584096569568103
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0024836027334111913,0.23247706970348492,0.0005844672662078804,0.002827995950999824
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0023055912279700383,0.021204999064261983,0.0004065661711423475,0.001125758499356176
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.002081440978425284,0.23641081591491736,0.0003823670983142551,0.002396078200113702
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0019286376035721083,0.017749838528128017,0.0003252573014923751,0.0009228304435151116
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.001901397390609327,0.2607434118778896,0.0005518257666352456,0.003951718089046143
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0018997232330017588,0.21280264285779626,0.0005085878740115653,0.002484003125704404
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.00185147241998469,0.26059801450831876,0.00026986154961597815,0.004243559392812331
19,sett_encode_categorical,sett_model,,,,,,,,0.0017608146731025575,0.017785143376912484,0.00030704149931991406,0.0008514856852125272
35,sett_model,sett_preprocess_age,,,,,,,,0.0017558595997243607,0.018543523010265472,0.0003010555265656477,0.0006032279408392828
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.001674030084752262,0.29682466011858216,0.00025079415774185326,0.0039936215558916
12,sett_cutoff,sett_model,,,,,,,,0.0016228826713976146,0.22413708139929323,0.0002584476246220415,0.0029023403673059905
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0015743271966403068,0.23049889797507414,0.0003245126438201655,0.002950070701480834
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0015372631491686322,0.26768755582673515,0.0002255346449380002,0.0031455930758762917
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0014805380262956813,0.38790143705889474,0.00037089441544220226,0.006116864377703715
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0014257991642047459,0.04163948964887121,0.00034081436737253126,0.001464586810705822
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0014184656051997994,0.437559477595507,0.00036913812034497506,0.00574118496600451
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0014071173412537603,0.5883326053397351,0.00025593023686630123,0.004610513693665617
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.001397069929849051,0.28856047174260385,0.0002966144042469676,0.004040523651764518
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.001363414820664132,0.6119390558667669,0.0004273319616135621,0.004442551445934873
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0013397559364574877,0.8464218064556885,0.0003069251208564548,0.0064500545326601445
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0013171000243795063,0.39013675525192437,0.0003485306038024265,0.005958278145332136
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.0013086885920404723,0.26487594352239296,0.00031923402874313347,0.003387389626466188
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.00123173190528169,0.8067910034760706,0.0002566961967001799,0.006527931885436726
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0011207972164399926,0.55201510827689,0.0003607094840264883,0.0047540131840839855
74,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,,0.0010651401228013338,0.0386784481397434,0.00019548728231613932,0.0010341150819111163
5,sett_preprocess_age,,,,,,,,,0.001049088697851988,0.001049088697851988,0.00028108306718711124,0.00028108306718711124
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0010352464823083795,0.26273494993400026,0.00021053130964480559,0.003245083402631024
