,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2518944747403568,0.2518944747403568,0.003397100812111156,0.003397100812111156
0,sett_cutoff,,,,,,,,,0.2113819062226454,0.2113819062226454,0.003259133209886993,0.003259133209886993
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10949476596210239,0.37491528779106537,0.0020847400907866354,0.004539067050777447
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08008760566124318,0.5433639866242455,0.002022365213655666,0.005614788819983489
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02592004076356565,0.6965116537813869,0.0011089901059794572,0.006457899753182632
36,sett_model,sett_preprocess_income,,,,,,,,0.01890834009007169,0.04036823132814006,0.0008982008064725138,0.0015580556246215758
4,sett_model,,,,,,,,,0.01678937473559758,0.01678937473559758,0.0007728710624737407,0.0007728710624737407
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014919894950846828,0.28360374442680125,0.0012195095289073941,0.002998749556542514
2,sett_exclude_features,,,,,,,,,0.013526047088606136,0.013526047088606136,0.0007011832109429162,0.0007011832109429162
16,sett_cutoff,sett_stratify_split,,,,,,,,0.010663193495322089,0.22833538721771923,0.0006944552438693646,0.00357376330338201
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.010591944895372494,0.06970691368775386,0.0008576955981294516,0.002938180789530956
42,sett_preprocess_income,sett_scale,,,,,,,,0.00883262155535412,0.01811722701927872,0.0007667743373104329,0.0015203680815166632
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007805435353644897,0.41836303596164304,0.0006962339421464742,0.004732958473425002
8,sett_stratify_split,,,,,,,,,0.006290287499751748,0.006290287499751748,0.0005621972585333588,0.0005621972585333588
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00530429615301636,0.26024801712994705,0.0006130754125899604,0.0031704045047383908
37,sett_model,sett_scale,,,,,,,,0.005300026947433371,0.026703490644484768,0.0004380126256599413,0.0011966690888637087
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005220306388600858,0.25661261772248284,0.00036459680699500567,0.0041316562889741545
6,sett_preprocess_income,,,,,,,,,0.004670516502470785,0.004670516502470785,0.0005530873096980366,0.0005530873096980366
7,sett_scale,,,,,,,,,0.00461408896145382,0.00461408896145382,0.00040511343087618897,0.00040511343087618897
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004569492033217349,0.754798596251693,0.0004064394709157595,0.006236711176440021
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.004401263063474763,0.06458533167726875,0.0006525341863210841,0.0023793782209313354
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004206813342867329,0.22911476665411884,0.0005178886103303965,0.0036675762142838325
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004049728071040579,0.25356300142016025,0.0005044228494051278,0.0039501435378386796
25,sett_exclude_features,sett_model,,,,,,,,0.003933043130488367,0.03424846495469208,0.0003454302861158597,0.0014708048327343587
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.003932823155168117,0.04231636128927854,0.0006061347741542636,0.002094664434352213
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0037241705634258188,0.29980068479050276,0.00033721819377813673,0.0044575161294293526
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.003687045543903961,0.23674801873265333,0.0004855670537374038,0.0035632446555492903
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.003494269064232987,0.5801226521885999,0.00045668321072286444,0.004684985774106423
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0034450256999269636,0.02326136028828485,0.00044837615155726165,0.0009530729292850191
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0028321610251437314,0.2144910987572704,0.000381925870646505,0.003370947413404659
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.00243633613730925,0.2983077531683185,0.0003973623574938741,0.00307728378360887
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.002356747066559423,0.020553310657636346,0.0004529231432831422,0.0010145511048746951
