,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25277915646958904,0.25277915646958904,0.002848615881548851,0.002848615881548851
0,sett_cutoff,,,,,,,,,0.2114055661636858,0.2114055661636858,0.0029936798411958794,0.0029936798411958794
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10613409826972436,0.37336835661754303,0.001901966229061075,0.0038232034364684532
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08165025051977973,0.5458349731530546,0.0023156933870221237,0.005489953364491677
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02636559843499492,0.6973576010652439,0.0013787975979013063,0.007425559482382744
36,sett_model,sett_preprocess_income,,,,,,,,0.01868897792706764,0.03927827828466837,0.0012338534695012617,0.0015435907960484846
4,sett_model,,,,,,,,,0.01615096126971946,0.01615096126971946,0.0006701313247077324,0.0006701313247077324
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014764818730131968,0.2836949364694405,0.0010622113365205024,0.002832139437573334
2,sett_exclude_features,,,,,,,,,0.014455101878229588,0.014455101878229588,0.0008464537060787258,0.0008464537060787258
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.010271180188497243,0.06687820980918183,0.0008358909658107781,0.002599563580496712
16,sett_cutoff,sett_stratify_split,,,,,,,,0.010013551386358583,0.22771110956735574,0.0006706518118653089,0.0028510289391992264
42,sett_preprocess_income,sett_scale,,,,,,,,0.008248223281405764,0.01677608159469817,0.0006398654373324468,0.0013663314702770364
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007515942959712149,0.41561463797726383,0.0007564811695868836,0.003467331050037966
8,sett_stratify_split,,,,,,,,,0.006291992017311383,0.006291992017311383,0.0005344765023121838,0.0005344765023121838
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0050728200701245715,0.7547952920716878,0.0006799226387632234,0.0061256076560429855
37,sett_model,sett_scale,,,,,,,,0.004991008829199317,0.02523148932432991,0.00040385159645032874,0.0010771628211265524
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004936074379905062,0.2587760581864382,0.0007168852211695673,0.0035570695665198483
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004824155613162188,0.25671828842874345,0.00038899179711103206,0.0031205145777435626
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004567829329240493,0.2304284973711559,0.0004557197233542465,0.0030820954890718793
6,sett_preprocess_income,,,,,,,,,0.004438339087881273,0.004438339087881273,0.0006063376966289687,0.0006063376966289687
7,sett_scale,,,,,,,,,0.004089519225411132,0.004089519225411132,0.00041129673864508684,0.00041129673864508684
25,sett_exclude_features,sett_model,,,,,,,,0.003814558400157198,0.034420621548106246,0.000452698114265546,0.001023267389059866
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.003794318188887661,0.5820451871163423,0.0007290071162290603,0.005037707514567187
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0037470916740136168,0.23636427269410362,0.0004704488553114087,0.003119482622409269
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0036289385842157708,0.2976152808574303,0.0005040994708443155,0.003696321010506375
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0036171746776510316,0.06307921112500439,0.0006734426013600326,0.0016271393747042471
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0036169572141466523,0.25289192749651435,0.0003927127964461369,0.0031320671535471165
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0034828899848028064,0.04216118318287902,0.0005701794661070401,0.0015282998846457665
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0030327317493560007,0.21472546682101404,0.00035527237607388683,0.0028899793835577784
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002540929507541828,0.023288023403082798,0.00032659561606273604,0.0010431024984534727
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0021994138383631084,0.29693500238361886,0.00036933065070073143,0.003068661743446432
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.00215254985199146,0.23679958183349414,0.00037304276561617915,0.002982647716860828
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0020518342838148945,0.25926932984128526,0.0005850613772605009,0.0025973215889186193
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.002017366304037628,0.2404543242310032,0.0003117014738295469,0.0029604585910241155
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.001960124021204797,0.258828799716205,0.0003853611897555592,0.0025575866871517354
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0019140978842982028,0.020807538850409063,0.0004433962103461136,0.0009753407565758428
19,sett_encode_categorical,sett_model,,,,,,,,0.001785411362272565,0.018223541539964274,0.0002837524642244529,0.0008378716403301287
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0017425953464249842,0.43239420954408325,0.0002910102668877004,0.0036664092367962382
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0016560235836302444,0.2174999288351973,0.00032095774908237536,0.002936123586739759
35,sett_model,sett_preprocess_age,,,,,,,,0.0016558476689639344,0.018806135986509286,0.0002762260143309188,0.0008622810846166393
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.001602496933180152,0.017056925859235624,0.0003124944700571435,0.0010906475395144905
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0015950584725183369,0.2715442416363526,0.00033532539302044906,0.0035230758956540484
12,sett_cutoff,sett_model,,,,,,,,0.0015001157745487001,0.22905664320795396,0.00022952779753807886,0.003040423915695646
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0014952574192170442,0.2356572126467718,0.00018790369005837105,0.002985393904196558
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0014905886580985114,0.38100670007695897,0.0002712727608051542,0.0033749607783079174
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0014817734785546215,0.617445623203394,0.0003684149485042946,0.005014749731172023
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0013371372076707087,0.28747905193267775,0.00035558159371193996,0.002732016398830092
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0012754337970811267,0.8448594863644576,0.00025740320350446655,0.005073206744568368
243,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0012741837931636438,0.3438852429756737,0.00036480009669236167,0.004002244604302786
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0012635070838305379,0.043367111060281766,0.0004367760969186471,0.0017703101893082659
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.0012543563902420716,0.2684875376473712,0.0003504791818883372,0.0028736546757055564
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0012246394199641178,0.3829972672935015,0.0003846989076593662,0.0033674923440783393
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0012023707692281047,0.6563160081376798,0.00046398454051784356,0.00574789659192069
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0011918602014596071,0.2690994346308462,0.00022851389306539156,0.0036940549137735508
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0011815782860617227,0.8052053945685138,0.00024538450211479117,0.005379064258240463
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0011264929261498775,0.5551076630345309,0.0004530125235291242,0.004684502136883097
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0011212527087238605,0.5922662723385574,0.0002237461128377225,0.0049274862163316575
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0010556368843847243,0.6418677075401702,0.00024216429605216781,0.004594821228221718
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0010504449511747663,0.7854723792753755,0.0001889069637542841,0.005686141933720069
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0010259831270061053,0.6315871562121524,0.0004751585848467964,0.005150326165883256
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.001020920420048072,0.3098950081882524,0.0002822558804998546,0.003100806090426725
5,sett_preprocess_age,,,,,,,,,0.0009993270478258877,0.0009993270478258877,0.00025528313927393784,0.00025528313927393784
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0009665077376730122,0.8855527674255048,0.0002177905732085779,0.005057379202289245
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0009565816101762886,0.27452377797948324,0.00041027913061226286,0.0026807618014070083
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0009313406796465028,0.8328045781916433,0.0003882620760880839,0.005783877861994885
