,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2536667314197406,0.2536667314197406,0.002789376415956702,0.002789376415956702
0,sett_cutoff,,,,,,,,,0.20758455109659973,0.20758455109659973,0.004290625856077486,0.004290625856077486
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10777609023697722,0.37554350784363455,0.0027871494613607595,0.004508685323177171
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0824129081147296,0.54366419063107,0.002079129032776526,0.004704313334805508
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02754452290241113,0.6977511465133981,0.001687084536265861,0.007455831034265978
36,sett_model,sett_preprocess_income,,,,,,,,0.01843373881016081,0.039006991648741066,0.0011256390741444017,0.0018764079455949178
4,sett_model,,,,,,,,,0.01591694221701212,0.01591694221701212,0.0010090970670044495,0.0010090970670044495
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014517280999536121,0.28410095463628887,0.0008325741806708195,0.00255107745206652
2,sett_exclude_features,,,,,,,,,0.01410068618691673,0.01410068618691673,0.0008479962111680127,0.0008479962111680127
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009794461779441776,0.22408024739177845,0.0007932475689962275,0.004216847421256319
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.009505455773207522,0.06652822921600424,0.0009057134900247761,0.0034088477221593154
42,sett_preprocess_income,sett_scale,,,,,,,,0.008656768785105691,0.01770705079909974,0.0007424209455360269,0.0014266358784228717
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0072040890108074854,0.4172498489314473,0.0007971252869253479,0.0032513789584725805
8,sett_stratify_split,,,,,,,,,0.006701234515736928,0.006701234515736928,0.0005103148483580094,0.0005103148483580094
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005414208223496317,0.2551500712661008,0.0006920416149932552,0.004655741363029843
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005363604287394232,0.2531954800988757,0.0004752992154285373,0.004706944369731058
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005177986013520144,0.7545540785672812,0.0005710387883314656,0.005544635795108064
37,sett_model,sett_scale,,,,,,,,0.004965041616524048,0.025275955225962075,0.00046300032871481847,0.0015522741198510115
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004665656556023074,0.22635089383953955,0.0005780679839171921,0.004544902540154348
6,sett_preprocess_income,,,,,,,,,0.004656310621568141,0.004656310621568141,0.0005612124189798516,0.0005612124189798516
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.004452937720766546,0.0633029771669433,0.0005137613301199174,0.002233216919755167
7,sett_scale,,,,,,,,,0.004393971392425908,0.004393971392425908,0.00038028635642986357,0.00038028635642986357
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0041328544916563615,0.24966242294245053,0.00035190320155705754,0.004456426726550347
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0041048496530616515,0.295391014284552,0.0005410010599372816,0.005360054131934982
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.004068981580068501,0.04271315577188742,0.0005063054917735876,0.0017235859680471758
25,sett_exclude_features,sett_model,,,,,,,,0.004068028860457009,0.03408565726438586,0.0005168963751699472,0.001424084024172053
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.003506031358569265,0.23208970767083312,0.00033683730129468754,0.004284558634475606
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0030589897706831404,0.5786534145127742,0.0004761689732165654,0.00388522918124394
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0029469490493799124,0.21071004829753398,0.0002659089612111227,0.004202775468690278
