,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25343421499681196,0.25343421499681196,0.0026180194975686404,0.0026180194975686404
0,sett_cutoff,,,,,,,,,0.2074127845588851,0.2074127845588851,0.0027476212230920726,0.0027476212230920726
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10789940674112244,0.3756863011898006,0.0022672223100262436,0.0036046732473239847
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08219957894105312,0.5430465784967502,0.0022593261597481863,0.0052204497160628725
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027222232798472926,0.6974301819850903,0.001357885322849794,0.006509221366420759
36,sett_model,sett_preprocess_income,,,,,,,,0.01648131039950341,0.03634460071656279,0.0015424473245995024,0.0026796790373961117
4,sett_model,,,,,,,,,0.015491250006426177,0.015491250006426177,0.001251644534362739,0.001251644534362739
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014614975390301894,0.28354044039354004,0.0012234049569572422,0.0028628816575210552
2,sett_exclude_features,,,,,,,,,0.0143526794518662,0.0143526794518662,0.000676457928229575,0.000676457928229575
16,sett_cutoff,sett_stratify_split,,,,,,,,0.00963032206347759,0.22332863011261836,0.0007226542244629021,0.0031160661225958087
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.008936810114100574,0.06276850621872167,0.001342635460381996,0.0051419536370851905
42,sett_preprocess_income,sett_scale,,,,,,,,0.00848209138161371,0.01699168355307297,0.0010153006208659496,0.0019075601368958805
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007766801093414339,0.41720964599377824,0.0009688805675313304,0.0037138054082189466
8,sett_stratify_split,,,,,,,,,0.006285523490255679,0.006285523490255679,0.000616709892003995,0.000616709892003995
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005301301327485233,0.252534274918157,0.0004200536457169913,0.0027691984446808426
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005090853939918068,0.25201635426874774,0.0008419535031782318,0.003966811779760795
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004909284496878604,0.2266747485076299,0.0005194557073126263,0.003121588191453396
37,sett_model,sett_scale,,,,,,,,0.004867452145618538,0.02449625401287077,0.00047321857826942043,0.001734133664706915
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00485629448892751,0.7540309532473625,0.0005164970665508821,0.004584043064137095
6,sett_preprocess_income,,,,,,,,,0.004372040310633208,0.004372040310633208,0.0005770962419676467,0.0005770962419676467
7,sett_scale,,,,,,,,,0.004137551860826054,0.004137551860826054,0.0005035307993076329,0.0005035307993076329
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0037938890475187267,0.2494768444000835,0.00032716064440667673,0.0034567708463687833
25,sett_exclude_features,sett_model,,,,,,,,0.0036503183138352244,0.0334942477721276,0.0005311644810959726,0.001632405687585273
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.003618851129407546,0.04157494290444111,0.0006638936123119978,0.0024745760179849946
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0036165398705771826,0.0602544704796342,0.0006392614859153821,0.0031616537670886504
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.003503173879101318,0.5780726345353601,0.0007471224220983232,0.004264601553178347
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0034787383233324852,0.29163480000187575,0.0007246741587099255,0.004796374078828694
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0034250948781646006,0.2111604474245618,0.00028602594243235294,0.0027293886492030807
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0032209302654608064,0.231154606211533,0.0006147528161265188,0.002791643297548768
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0030923612912016002,0.023730564233323478,0.0003038895226716854,0.0009268719654331214
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0022903321267927898,0.0210150518892922,0.000494039174181575,0.0006884628377105753
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.002262953408464154,0.23374012775918715,0.0003484452056569033,0.003118240484332111
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.002232177233932713,0.29667671877708135,0.00037410126627842656,0.0028869535183806195
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0020421244059025184,0.4343413996602628,0.0004003659404876398,0.0035236500983144366
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0020192518223602456,0.23710783105801747,0.0005032208065069004,0.0030481707917758534
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0018990971431640225,0.259470864000802,0.00027427159032761077,0.0024520259183792637
19,sett_encode_categorical,sett_model,,,,,,,,0.0018044030166907764,0.01761822101062907,0.0003186401998186678,0.0013221568562779094
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0017573971317622443,0.2595636524392074,0.00044894618542683614,0.002270178164101431
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.001751458290601329,0.21353628316011963,0.00033448882942752533,0.0026982706287733485
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0017510019902672934,0.01709383214028691,0.00030441153166398593,0.0008177785267823458
35,sett_model,sett_preprocess_age,,,,,,,,0.0017206913144852485,0.018202092019064847,0.00029658710136892975,0.0014785720502068739
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.00165931300277397,0.2675320738059595,0.0003193439391475827,0.003437353286750982
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0016160025114518534,0.2314887597219111,0.0002938264958202285,0.002652169569678606
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.001609255933415335,0.38343386103526234,0.00030049389056240603,0.003335946789529958
12,sett_cutoff,sett_model,,,,,,,,0.0014166567627804747,0.22432069132809174,0.0002574211905796447,0.0025989636306878467
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0013224764507404657,0.8423768587595715,0.00020389690009979324,0.004414059713915042
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.001317011859294994,0.6109084304300632,0.0003539146519537581,0.004765153151307284
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.0013058120662314,0.26536198397219757,0.00026608736093822844,0.002787039396026546
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0013034942857291965,0.385409565044718,0.00040586977779882096,0.0028935309416411484
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0012481205923559528,0.27533051341716713,0.0004445145856688289,0.0024350096640657305
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.001240825345187075,0.2616590094089408,0.00014235902066277745,0.004378798773021749
243,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0011990905207439934,0.34024551121723123,0.0005181312765472291,0.005883009974180045
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0011649144782199749,0.8022264828904749,0.00026097755451395176,0.004647849262767778
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0011347178819124174,0.2314527616833048,0.0002313419600344041,0.002964314532057768
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0011129646805110682,0.5883609254539169,0.00017174694561885976,0.004441181604917025
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0011025992363492226,0.7853002514466036,0.00020605613290742636,0.004803801917522231
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0011001524712337635,0.0402888510909576,0.00028343801377597977,0.0030103146386489693
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.001091931989436799,0.30724312022487565,0.00043437147272246286,0.003612283017216678
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0010659234651110227,0.2870695497836394,0.00031943087024116043,0.003056558121459346
17,sett_encode_categorical,sett_exclude_features,,,,,,,,0.0010547629774163769,0.0157300104167947,0.0002216812098476864,0.0006241290403923443
74,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,,0.0010361122081092614,0.03771209396185613,0.00026660144678945205,0.0016986142243977235
5,sett_preprocess_age,,,,,,,,,0.0009901506981534196,0.0009901506981534196,0.0002633399971804785,0.0002633399971804785
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0009737919735530385,0.5519012662033,0.00027567223166137116,0.00477958977794579
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0009535398751045248,0.5982487990765865,0.00018947309182606876,0.004523698424642476
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0009436858328493188,0.6348562406350349,0.00017626249305752412,0.004812995597246923
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0009037758663690153,0.6484155656387701,0.00030064931405712357,0.0068193164530943595
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.000902797535894826,0.8823160762722019,0.00015461516721440008,0.004411941426685067
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0009021426053418017,0.20930507786238034,0.00014173549902558738,0.002719015202425277
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0008787322917158146,0.2418026133108981,0.00021453205900293147,0.003006459575604156
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0008763128276212558,0.8104132823673381,0.0002156207690825391,0.0053027236330682615
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0008506960726508204,0.32066685995866406,0.0001969940044126867,0.005149517149444967
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0008428329571910829,0.723067804499727,0.00022205180158022022,0.0068405009434077445
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0008190085058205952,0.4489417006140336,0.00024041686022178627,0.004314834552789686
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0008011444194333493,0.5603097378014643,0.00022945194834579792,0.005580032993809915
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0008010314959523378,0.5697101100096433,0.0003440031861871657,0.004305367420783608
230,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0007910876535183707,0.07063508751092792,0.0001711673428054867,0.004311749270439414
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0007889915749241641,0.8294425826293729,0.00014903085950544802,0.006079174845793082
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0007822854361666529,0.2502493048159956,0.0001336113071847729,0.00332620260932921
363,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0007764321215741808,0.48763808088495786,0.00025923884661049727,0.006399488100951684
300,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0007764039165985815,0.3115977123143566,0.00012044397694105994,0.006296842130236532
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.0007540395799454324,0.8484147242216786,0.00024883541721891234,0.006143342979626671
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0007530561515534962,0.7726859430275647,0.00019339203009182814,0.005343839291992741
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0007344020902946638,0.7412663641031434,0.00023488369473665578,0.00606155006216892
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0007172660547930227,0.6536834651049567,0.0001535985993253757,0.004647013739573204
82,sett_encode_categorical,sett_exclude_subgroups,sett_scale,,,,,,,0.000708964402838265,0.26084940364849035,0.0001725778266732869,0.002571896983301451
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0006955496888044928,0.5866217747182372,0.0002155877683139405,0.004502375990598558
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0006890134500778325,0.46460399673378766,0.0001525529751037924,0.0037754278488733414
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0006874982018506763,0.5928530195316251,0.0002056504689692671,0.004170872156693127
38,sett_model,sett_stratify_split,,,,,,,,0.0006873441373572914,0.022464117634039146,0.00010615349618511471,0.0013722209094463899
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0006744208178001746,0.27796531987950646,0.00018548443109061758,0.0031992920399966564
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0006674543355768484,0.7125654022620993,0.00014424616363301377,0.005696802519000745
220,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.000659928423869946,0.42686567679338533,0.00018104261439540225,0.004505624131154354
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0006579193508797958,0.2710886043807243,0.000218109385865412,0.004138226988987532
227,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0006510501854918695,0.40360819885370525,0.0002793733812594589,0.002524574649300058
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0006501291541787296,0.6238852193087101,0.0001706069138622894,0.00510942147518188
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0006455220145594133,0.6098673472883039,0.0002019935321392121,0.004645811115188743
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0006453799140111441,0.38625573521681655,0.00021465887066432197,0.003782588189813433
489,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.0006312772261803841,0.8950630935376696,0.0002052030190058799,0.005135581212916114
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0006160071755244561,0.2270333703230406,0.0002223505754288972,0.002999426905957419
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.0006051194583299746,0.5477355757415423,0.0001792423378606551,0.005244702918132287
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0005978909745468315,0.29595853245179726,0.0001349712199617232,0.003956990489654554
469,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,0.0005919720125737455,0.8716916639704368,9.125656682101539e-05,0.004952481873269224
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0005722357837319137,0.34604102044845897,0.00014330501776911025,0.006254059386934089
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0005531985719202624,0.42980146348442894,0.00013266007679387445,0.0035313707936280355
