,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25509961493476285,0.25509961493476285,0.003596453699553647,0.003596453699553647
0,sett_cutoff,,,,,,,,,0.20939834842913502,0.20939834842913502,0.004091778499803737,0.004091778499803737
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11071919524370223,0.37862734021012184,0.0021083787407626896,0.005015923689459562
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08240462381189335,0.5469025871757912,0.0017400174769955932,0.005047539126014805
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027485279939392072,0.7016717842931222,0.0011556860102663478,0.006618617690634371
36,sett_model,sett_preprocess_income,,,,,,,,0.018184689457038453,0.03935448611286027,0.0014365291133821058,0.002324033273405542
4,sett_model,,,,,,,,,0.016156827429477914,0.016156827429477914,0.001052884581003978,0.001052884581003978
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014074919330767077,0.28533136169500783,0.001137090709683824,0.004020351541177389
2,sett_exclude_features,,,,,,,,,0.01280853003165679,0.01280853003165679,0.0005067023398832129,0.0005067023398832129
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.01046265932999563,0.06863549634284785,0.0007985565994012948,0.003548260028444558
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009645018781630994,0.2253820875577982,0.0006389760811952575,0.0039999886439411846
42,sett_preprocess_income,sett_scale,,,,,,,,0.008720993271373201,0.018361612987933974,0.0006653544813992076,0.0013727003450849768
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006983531736646476,0.41959603649606614,0.0006774102365291906,0.005209036488297652
8,sett_stratify_split,,,,,,,,,0.006338720347032216,0.006338720347032216,0.000455911562072198,0.000455911562072198
37,sett_model,sett_scale,,,,,,,,0.00546970713840187,0.026254185058096655,0.0004788131605564733,0.0014782858893152273
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0053502093530856595,0.25712899080258955,0.0007163039872558983,0.004006709323101041
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005125841400808569,0.25228858540165344,0.00046941589055815233,0.0042120229133906445
6,sett_preprocess_income,,,,,,,,,0.005012969226343901,0.005012969226343901,0.0006610803383804801,0.0006610803383804801
7,sett_scale,,,,,,,,,0.004627650490216871,0.004627650490216871,0.000428941477677043,0.000428941477677043
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.004372029347944182,0.06243777694703593,0.0008610854905379601,0.0032758862515978714
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004354888982363654,0.756390609934019,0.00048532200494488126,0.005513848077744128
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003913605822272715,0.24874727192970558,0.0003277283624089269,0.004130955351658187
10,sett_cutoff,sett_exclude_features,,,,,,,,0.003756191902579931,0.2259630703633717,0.0003910251007312003,0.004257677650883657
25,sett_exclude_features,sett_model,,,,,,,,0.0037534177890527973,0.0327187752501875,0.00047662752369620075,0.0016469946843911433
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.00372697062503186,0.2947097049213875,0.0006431351987602185,0.004569292254051164
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0034409325871539026,0.04020628773266266,0.0007790789094314378,0.0024998823148094074
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0031064346565433075,0.2127466105964047,0.0003635216393236565,0.0040945348503957195
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0030870397484687715,0.232955258012248,0.0006433152039161349,0.003844718090150627
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.002979970552837793,0.5814037329078166,0.0005642510372374479,0.004568227472695044
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0028868566153979597,0.022034106994086967,0.0002906808286726707,0.0007088480431540506
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0025196104117741016,0.23280743375665552,0.0003147780548620415,0.004103870399362037
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0021916491501043967,0.26191891457508415,0.00038922242808930906,0.003171928963028114
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.002149313665521892,0.019970812923522582,0.00041501853349111166,0.0006576143607188598
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.001970639405856051,0.29959100787958703,0.00037545952675622834,0.003920669383568957
19,sett_encode_categorical,sett_model,,,,,,,,0.0018902442828499042,0.01828889922305422,0.00032750944161552114,0.0010904260215906976
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0018884193562018713,0.23675029110000556,0.000308436640767166,0.003898816994789588
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0017365184885661683,0.21614783614404506,0.00034360852735149875,0.003831812546841524
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0017354180388145536,0.01532895391821586,0.00032713314549527746,0.0007215844464298391
