,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2528149514326385,0.2528149514326385,0.003180584726650697,0.003180584726650697
0,sett_cutoff,,,,,,,,,0.2107058268387485,0.2107058268387485,0.003618981143927246,0.003618981143927246
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10711562707825745,0.3743403506086485,0.0019291793323936884,0.0048911645568865385
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08376276869273941,0.5472835469641264,0.0012193063371964857,0.0024804091396151487
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.026940512188134678,0.7002232286233846,0.0012035370556559453,0.00463148465782487
36,sett_model,sett_preprocess_income,,,,,,,,0.017678662191255162,0.03780507363942223,0.0014760904018085573,0.002086441662962065
4,sett_model,,,,,,,,,0.015863964112175874,0.015863964112175874,0.0009017840618827258,0.0009017840618827258
2,sett_exclude_features,,,,,,,,,0.014409772097752585,0.014409772097752585,0.0008328232034487006,0.0008328232034487006
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014039958809360731,0.2827188743541751,0.001369965365660735,0.003819524545564852
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.009896014138621258,0.06513916893414519,0.001363101405435971,0.004132564715711154
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009744945537613238,0.22705799098060447,0.0007609377841406238,0.0034909396322378456
42,sett_preprocess_income,sett_scale,,,,,,,,0.008042309455806118,0.016660050065908406,0.0006718172484367503,0.0011276661840420536
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007173948774428328,0.4151563822621147,0.0006180672013349623,0.005398910137982965
8,sett_stratify_split,,,,,,,,,0.006607218604242718,0.006607218604242718,0.00037626668446222306,0.00037626668446222306
37,sett_model,sett_scale,,,,,,,,0.005040478426184481,0.025259735812471446,0.0005906572441773493,0.0014849692263792394
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0049339410632169975,0.25546385223173484,0.0004106677107887552,0.004042924474294165
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004621396735035861,0.25613866573991734,0.0007063107223306003,0.003661827302223637
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0044737702951135,0.22958936923161455,0.00040710534559413,0.00384586081649878
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0044351590487463274,0.7552879338079428,0.0006689120426401947,0.004806400207279725
7,sett_scale,,,,,,,,,0.004355293274111094,0.004355293274111094,0.0003818145656925295,0.0003818145656925295
6,sett_preprocess_income,,,,,,,,,0.004262447335991196,0.004262447335991196,0.0006949501297693815,0.0006949501297693815
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.003841747221629647,0.04220437097225784,0.0006799249903356012,0.0018854925484882137
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003805066012016067,0.252806123244964,0.00045223156269634496,0.0036599797522082517
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.003768117502579463,0.061769183167613866,0.0007364720421291035,0.0027007857705723093
25,sett_exclude_features,sett_model,,,,,,,,0.003738159957501227,0.03401189616742969,0.0005224332233798668,0.0015844409093172314
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0036232179072837947,0.29524657863717224,0.0006221828781492642,0.004320034777456124
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0035411555519025417,0.5820670433047916,0.0007609207408988577,0.002627038772245334
