,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25558221269373066,0.25558221269373066,0.003949053285765783,0.003949053285765783
0,sett_cutoff,,,,,,,,,0.2097831014554225,0.2097831014554225,0.0024540001033218645,0.0024540001033218645
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10982333297534558,0.37942901346770974,0.0021138320268226894,0.005535033502190082
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08296626259579179,0.548331576744945,0.001934223123132463,0.00535678127683156
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027615722071120775,0.7045637226185599,0.0011302339559269047,0.0067859175846598195
36,sett_model,sett_preprocess_income,,,,,,,,0.016540251943853432,0.035298502204438795,0.0009311291426180439,0.0020182692280398193
4,sett_model,,,,,,,,,0.014920594299264435,0.014920594299264435,0.0009441932857169002,0.0009441932857169002
2,sett_exclude_features,,,,,,,,,0.014023467798633536,0.014023467798633536,0.0010300027611717067,0.0010300027611717067
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013996982266038597,0.2844997892590337,0.000823832926748449,0.003393151513844531
16,sett_cutoff,sett_stratify_split,,,,,,,,0.010462614417961938,0.226542332516861,0.0010224083432960182,0.003358783236462915
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.009436620130191805,0.06072179074505088,0.0012058438015266496,0.004064061301646859
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007405062569449091,0.4193741029424705,0.000582090963038507,0.005021374891890345
42,sett_preprocess_income,sett_scale,,,,,,,,0.00729557678576063,0.015037212417137982,0.0006464938198726437,0.0013822396876519425
8,sett_stratify_split,,,,,,,,,0.006296616643476558,0.006296616643476558,0.0008201414328448868,0.0008201414328448868
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005078362439739146,0.25347811260510356,0.00046554547689306344,0.0026847970434849375
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004814530912423787,0.7588217557141139,0.0005576804400201533,0.005665249382778134
37,sett_model,sett_scale,,,,,,,,0.0047871119546032265,0.023611685923924083,0.0005645738845942457,0.0015184819324882389
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004769623028515187,0.2285761922825712,0.000613373863137845,0.0024332187210588736
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004736445294833495,0.25267522133980524,0.0005296303846931457,0.003611915597495974
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0039278761369993965,0.25242667128733726,0.00033670102458217615,0.002779686110360443
7,sett_scale,,,,,,,,,0.0039039796700564198,0.0039039796700564198,0.0005079223084235091,0.0005079223084235091
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.003850521706865326,0.04098282495657959,0.0006959530913457122,0.0022464660210318177
6,sett_preprocess_income,,,,,,,,,0.00383765596132093,0.00383765596132093,0.0005887676436963234,0.0005887676436963234
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0037484680959474774,0.059191350526884595,0.0008030369062309787,0.002895631444777188
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.003659246546211559,0.23344091949496848,0.00040205926134677497,0.0028255619919769722
25,sett_exclude_features,sett_model,,,,,,,,0.003622450340008662,0.03256651243790663,0.00039611861513496666,0.0013918361813266842
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.003487641870977329,0.29199538355447896,0.0003928071184985854,0.004265473262257942
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.00316337180632814,0.023483456248438235,0.0003580996397429346,0.001209159840391638
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0031395370251101275,0.5816692035788782,0.0006579365483854976,0.004734103466525994
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.002885410593190812,0.21301653102482063,0.00031392873888724896,0.0025648850293923295
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.002677887561872887,0.2354470233407157,0.00035962141918923917,0.0026192025037915915
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0024984620878561216,0.02035958584781059,0.0005216494897680371,0.0011794165433844737
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.002091686552996239,0.23858065602633483,0.000281353752498605,0.0024006767836354703
35,sett_model,sett_preprocess_age,,,,,,,,0.0018901754255957104,0.017772723396855046,0.000262900387376205,0.0010773961000932362
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.001864626272910467,0.296604879749512,0.000611172775117614,0.0032635135645919335
19,sett_encode_categorical,sett_model,,,,,,,,0.0017145098045382684,0.01698312308001003,0.00031342155368914237,0.0010753031694057749
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0017136617142170204,0.016699083184845455,0.0003245111704634147,0.0013407405993746146
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0016964187962533325,0.26911854904839044,0.0002719597566509544,0.003290009026882419
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.001576659141590349,0.21519741655833377,0.00034686040092427983,0.002557151607613818
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0015493725929082056,0.2610355649566952,0.00031265989756298565,0.0036866415656306635
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0014779652335591435,0.2608978338886107,0.0005372889002585865,0.0033536007050362984
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0014573790893815885,0.4344888648497453,0.0004183740228387143,0.004616044335264715
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0014165093937756783,0.03977017502586714,0.00042861644812148164,0.002332152149386959
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0013876272653936365,0.8461140251420315,0.0003038977556776979,0.00523028016457638
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.001349814805634395,0.2322819631777778,0.00022874470459988307,0.0030026268021234926
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.001345482579182634,0.2656629337656343,0.00028265704097376,0.00308148504601047
12,sett_cutoff,sett_model,,,,,,,,0.0012805132435200737,0.22598420899820698,0.0002026281304241317,0.00270607886831561
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0012728542293191053,0.28832554587719544,0.00032488575033400827,0.003291840715625946
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0012143728406693603,0.38617186661125946,0.0002983797262908004,0.005192067664942077
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.001179468382151105,0.8049489867992263,0.00024625242313300425,0.006459170754217454
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0011767417272696907,0.5916011897295926,0.0003148398463952253,0.004448507999231218
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.00117538135059,0.6126089235081035,0.00043652909592591793,0.00486116940667252
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0011139455855916141,0.7908739716342785,0.00026011151989308674,0.004490432986042804
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001041051513898141,0.6376668681041113,0.00017274824072556935,0.004542503733034747
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0010407867960948382,0.2631353433500093,0.00020579255768342968,0.003988323700612189
