,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25511195226749883,0.25511195226749883,0.0037230673705894546,0.0037230673705894546
0,sett_cutoff,,,,,,,,,0.2112586153224478,0.2112586153224478,0.003191320576725372,0.003191320576725372
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10931428818151878,0.3778964982012389,0.001840688737312002,0.005024267406258025
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08068994873046322,0.5470605163204099,0.002041515447641707,0.005380798269191343
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.026610318464616662,0.7009188280578127,0.0017795946599294516,0.007432137355750668
36,sett_model,sett_preprocess_income,,,,,,,,0.01662791193251691,0.036262366564676796,0.0015022513765506765,0.002208030995764355
4,sett_model,,,,,,,,,0.01548311391811378,0.01548311391811378,0.0009536732981473698,0.0009536732981473698
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014220367667033672,0.2848154338526463,0.0011405390108486253,0.0035318285763005597
2,sett_exclude_features,,,,,,,,,0.013470257752221222,0.013470257752221222,0.0005085998695241004,0.0005085998695241004
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.010161364897023692,0.06385664200439012,0.00152910993668962,0.004608205785347535
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009856983060205736,0.22790756769324166,0.0010368839400200708,0.003249776701551755
42,sett_preprocess_income,sett_scale,,,,,,,,0.008025090983098906,0.016385107192764634,0.0011044598317442346,0.0016853120582293333
8,sett_stratify_split,,,,,,,,,0.006791969310588106,0.006791969310588106,0.000653611355686795,0.000653611355686795
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006728431636088224,0.41828741702079003,0.0006876845169019447,0.004727172451885001
37,sett_model,sett_scale,,,,,,,,0.0051991440639711055,0.024890933477704505,0.000642478975799315,0.00145157442142482
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005162448451897,0.25530629979947905,0.0006943290138584161,0.004284631604692054
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004944112735759676,0.7560319052359485,0.0006983307935389809,0.007040751711794362
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004463447339046126,0.22919232041371515,0.0004664055402341387,0.0035880199172848674
