,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2550398313317466,0.2550398313317466,0.00438397381997627,0.00438397381997627
0,sett_cutoff,,,,,,,,,0.209623201174754,0.209623201174754,0.003607083353825343,0.003607083353825343
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.1087519471783581,0.3773061547886657,0.003559350358218167,0.006990003365802587
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0826099061741176,0.5472729386806182,0.0026619740345053848,0.00719747407809189
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.026163838121380983,0.6995494495078585,0.0015125255774049821,0.009460216512822507
36,sett_model,sett_preprocess_income,,,,,,,,0.015921063821436328,0.03499779031619078,0.0020119933048249094,0.0029162796852355436
4,sett_model,,,,,,,,,0.015393313760966355,0.015393313760966355,0.0008032595868187223,0.0008032595868187223
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013698395782455672,0.2841315408751687,0.001134903393942431,0.004036922319789874
2,sett_exclude_features,,,,,,,,,0.013514376278560964,0.013514376278560964,0.0005122983873969541,0.0005122983873969541
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009483109453714235,0.22570811204329239,0.0008375513501213246,0.003712900545293502
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.008636808231250133,0.05930269248890768,0.0013292210014898157,0.005806190177776685
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007673644799903879,0.4180680912187304,0.0010029146798359232,0.0068603216509761965
42,sett_preprocess_income,sett_scale,,,,,,,,0.0069888218679873305,0.014679796534551925,0.0011735516382106964,0.0021827560914864227
8,sett_stratify_split,,,,,,,,,0.006601801414824176,0.006601801414824176,0.0005208530359435358,0.0005208530359435358
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0052136179102691815,0.7555425073895217,0.000663421047090904,0.00855142744028713
