,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2543460487079437,0.2543460487079437,0.0025607499992455077,0.0025607499992455077
0,sett_cutoff,,,,,,,,,0.20699667267961352,0.20699667267961352,0.002548926562219807,0.002548926562219807
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11123095456211615,0.38056420203238217,0.0024721666528769214,0.003359604443377787
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08116065857474394,0.5425033799623011,0.0014700397992238534,0.0034765898462650576
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.026771022767100125,0.6999506810110803,0.0011496233123856222,0.003904520980830487
36,sett_model,sett_preprocess_income,,,,,,,,0.017593615847159773,0.03845653182686692,0.0015229159983732342,0.0018285738410367574
4,sett_model,,,,,,,,,0.016361742744079914,0.016361742744079914,0.0006668905498838981,0.0006668905498838981
2,sett_exclude_features,,,,,,,,,0.014987198762322303,0.014987198762322303,0.00063260161057417,0.00063260161057417
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01474504237935939,0.285452833831383,0.0009499337193312629,0.0026117967538735725
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.00982200900673929,0.06637278647215593,0.0009686676803580872,0.0036884795927826586
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009762981901826243,0.22345972008379938,0.0005332956535291319,0.0032594578354717733
42,sett_preprocess_income,sett_scale,,,,,,,,0.008550936690820032,0.017442900750603296,0.000952287046115257,0.0018297011354827155
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007259099313028467,0.42261567332687483,0.0008040159261406754,0.003744200900739449
8,sett_stratify_split,,,,,,,,,0.006700065502359638,0.006700065502359638,0.0006475151451443207,0.0006475151451443207
37,sett_model,sett_scale,,,,,,,,0.005152518123573644,0.025905051691809605,0.0004896440514504382,0.0012245389038296971
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004964289479791821,0.2533370450041127,0.0008981212787147434,0.0034271276016913086
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004848207895030078,0.25261386633151356,0.00036743135278641357,0.0030853159434940025
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00474832518963603,0.7560265242571105,0.0005858466711984626,0.004452104577069902
6,sett_preprocess_income,,,,,,,,,0.004501173235627223,0.004501173235627223,0.0006206993958096902,0.0006206993958096902
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004458124957240496,0.2264419963991763,0.00043356384399323254,0.0028243459509783462
7,sett_scale,,,,,,,,,0.004390790824156044,0.004390790824156044,0.000519749604513433,0.000519749604513433
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004206470583839949,0.25037099260273493,0.00042000991552988546,0.003440684290483024
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.003874564369576432,0.04321156652176152,0.0007162002851892957,0.001972321421112923
25,sett_exclude_features,sett_model,,,,,,,,0.0036855868580249413,0.03503452836442716,0.0003411116823902555,0.001022598745465399
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0036748249117615032,0.06320341402173417,0.0007148626197304093,0.0027222168974349137
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.003470519829600902,0.2928566358247008,0.0007295966985241991,0.00513810900309922
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003259478215532792,0.02494674248021473,0.00042873939047036066,0.0009666797379757391
