,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2522578409973308,0.2522578409973308,0.004229057212836629,0.004229057212836629
0,sett_cutoff,,,,,,,,,0.21205567912024625,0.21205567912024625,0.0030622541796483833,0.0030622541796483833
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10733971799038694,0.37312579904546084,0.0027304090334239147,0.005854643504488673
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08190862747707453,0.5462221475946516,0.0022386888334829137,0.005949981435957525
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.026399286447662228,0.6979212910008357,0.0011919028625125626,0.006663969162020821
36,sett_model,sett_preprocess_income,,,,,,,,0.01829752501811655,0.039317080594920624,0.0011440859377530377,0.0016655443852189855
4,sett_model,,,,,,,,,0.01660527490888386,0.01660527490888386,0.000717754899200359,0.000717754899200359
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014357219389500193,0.2832203352957149,0.0009075101465874826,0.003914197572294989
2,sett_exclude_features,,,,,,,,,0.013528240057743106,0.013528240057743106,0.0007484420516239129,0.0007484420516239129
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.010339416153149244,0.06672547277762708,0.0008674000878194704,0.0034583171695727606
16,sett_cutoff,sett_stratify_split,,,,,,,,0.010181008062339018,0.22832491816638983,0.0007089565191874074,0.0031130770878572593
42,sett_preprocess_income,sett_scale,,,,,,,,0.007823778330070958,0.016352038155053275,0.0008390181384322318,0.001290253285876454
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007318021523418313,0.41541148399296396,0.0006608752133429487,0.005723425655277427
8,sett_stratify_split,,,,,,,,,0.00608823098380453,0.00608823098380453,0.0006090315627687283,0.0006090315627687283
37,sett_model,sett_scale,,,,,,,,0.005131218542424152,0.025850472608370104,0.0004121936670550443,0.0011086444284947854
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005090628805462976,0.2591928996702809,0.000618233670364794,0.004066770448095845
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004923014340429937,0.7551804434642757,0.0005532543876636364,0.006031555701122724
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004907073989305485,0.25701900866344607,0.00043835866758333195,0.003602927457049733
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004431898910391853,0.23001581808838123,0.0005294945633586958,0.003074282237490099
6,sett_preprocess_income,,,,,,,,,0.004414280667920222,0.004414280667920222,0.0004331990922586476,0.0004331990922586476
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004220764426473452,0.25380875645434975,0.0003995309893693032,0.003186714351199696
7,sett_scale,,,,,,,,,0.004113979157062094,0.004113979157062094,0.0002991470722654807,0.0002991470722654807
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.004082630616363516,0.06271839791682135,0.0006100919342582541,0.0021056103676246403
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.004036093759405239,0.042706898328083324,0.0006289522741241176,0.0013934639210865193
25,sett_exclude_features,sett_model,,,,,,,,0.004005169125700722,0.03413868409232768,0.0004731960188523009,0.0011269044339842482
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0036577066350266772,0.5823280210792371,0.00045635837124735986,0.005634595420333681
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0035956026855048693,0.29729968147547015,0.000505576156775438,0.0046541453962997996
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0035129712552537497,0.23753641084534038,0.000419287507664523,0.003671056414450219
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0033029348933515156,0.02291940593489915,0.00029332901544640825,0.0009394381427198234
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0028528782974003037,0.21512610607339666,0.00039224722456086277,0.003114753846513449
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0024630888290082566,0.2591352104942593,0.000506249422416952,0.003877515442835379
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0022047384068869915,0.2585765585612799,0.0004305232061947807,0.003885402932932772
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.002186333864833596,0.23616706660758374,0.0004112239724094779,0.003113303986356081
19,sett_encode_categorical,sett_model,,,,,,,,0.00217827850486509,0.019001102069499058,0.0002732344997084501,0.0008816064749882569
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0021112186723670646,0.2967814900744552,0.00039388380760834607,0.003482987083086392
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0017852775220933794,0.01972779824775671,0.0003583986528833642,0.0008650515847329197
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0017708888980862265,0.2392301037749574,0.0002120847392624856,0.003151835183389138
35,sett_model,sett_preprocess_age,,,,,,,,0.00176024551168933,0.019529347395732533,0.00029711359527216766,0.0008752202388211343
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0016852101449159522,0.27270443887150914,0.0002231983159909677,0.004163821899270084
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.001627736830002407,0.432398705336341,0.00033140590562333837,0.005169931194769533
