,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2540067992244347,0.2540067992244347,0.004033138542755267,0.004033138542755267
0,sett_cutoff,,,,,,,,,0.2101561093962257,0.2101561093962257,0.002924183553684454,0.002924183553684454
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11075552795990991,0.3802688551990405,0.002545323160441492,0.005976148769554234
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08210021653753316,0.5462631251581935,0.002753218880973797,0.006902639658420989
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027654847455856835,0.7051182953327568,0.0014352484259115927,0.009630857559946556
36,sett_model,sett_preprocess_income,,,,,,,,0.0174936725832573,0.03769404224583188,0.001651564147537543,0.0023805583328249504
4,sett_model,,,,,,,,,0.01611827368417101,0.01611827368417101,0.00098607426110827,0.00098607426110827
2,sett_exclude_features,,,,,,,,,0.015506528014695929,0.015506528014695929,0.0010319139838428492,0.0010319139838428492
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013519852523634353,0.28364492543224007,0.0009673693083999088,0.0034467565438281384
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.009700870971184078,0.06473163543886706,0.001316888906244307,0.004970730868435119
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009456566620451202,0.22583259305757353,0.0008025738460631594,0.0035489145331587158
42,sett_preprocess_income,sett_scale,,,,,,,,0.008116676014496843,0.01651303650004487,0.0008212805724597858,0.001498336027134466
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007038175047997302,0.4203939261018609,0.000820669161910146,0.0049750581571367716
8,sett_stratify_split,,,,,,,,,0.006219917040896632,0.006219917040896632,0.0006393892562614499,0.0006393892562614499
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005458647761074646,0.25709180664123854,0.0003180834637260056,0.0034511660774120914
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004938266744100672,0.2306009041550223,0.0004429520258014937,0.0036767631431114116
37,sett_model,sett_scale,,,,,,,,0.004905781700209825,0.025338319891525296,0.0006289466683802584,0.0016843517944109187
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0047112300459209765,0.2557699899699184,0.000726460078247706,0.003276711658819723
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004486021650666616,0.759699883625867,0.0005427111041078335,0.00794638741343721
7,sett_scale,,,,,,,,,0.004314264507144461,0.004314264507144461,0.0006425232022123355,0.0006425232022123355
6,sett_preprocess_income,,,,,,,,,0.004082095978403566,0.004082095978403566,0.00035331013607076367,0.00035331013607076367
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.003637545870712463,0.29687290780577724,0.0005286311210377994,0.00448498889501952
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0036265499203144537,0.2529419448579017,0.000362959397491948,0.004345416167107648
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0035431080248797403,0.043286942490094744,0.0005597096662013885,0.0017502580854262372
25,sett_exclude_features,sett_model,,,,,,,,0.003448769647017698,0.03507357134588464,0.0005040381754014694,0.0012997454413237854
