,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2550237771754298,0.2550237771754298,0.0043707564890501675,0.0043707564890501675
0,sett_cutoff,,,,,,,,,0.20789397103295554,0.20789397103295554,0.0038366236781390197,0.0038366236781390197
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10796966220031128,0.3769583961940888,0.0018942305558007253,0.004705837252232547
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0818179765866418,0.5447357247950271,0.0021969541007966623,0.004968461029728491
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02727349043311418,0.6976946669246673,0.0012418088835229495,0.0056737690697002685
36,sett_model,sett_preprocess_income,,,,,,,,0.018020827875581,0.038913573044158704,0.0015562881359865138,0.0019359476859041728
4,sett_model,,,,,,,,,0.016464222152828403,0.016464222152828403,0.0008567132030425274,0.0008567132030425274
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014716110923673677,0.2862041102519318,0.0005594478507301057,0.003853437277448737
2,sett_exclude_features,,,,,,,,,0.013964956818347685,0.013964956818347685,0.000936588172884617,0.000936588172884617
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.010415281054764495,0.06696831473195272,0.0008107007392284258,0.002912981585878846
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009113172951789289,0.22326510704201946,0.0008360429466386802,0.0034343087462968295
42,sett_preprocess_income,sett_scale,,,,,,,,0.008222522429216318,0.01672465597807641,0.0005212495563284177,0.0011015312303086528
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007552639540265692,0.41938767043657876,0.0005399890331219853,0.00422699782434359
8,sett_stratify_split,,,,,,,,,0.006257963057274659,0.006257963057274659,0.0006672808194125806,0.0006672808194125806
37,sett_model,sett_scale,,,,,,,,0.00534332767070241,0.025881160356641605,0.00045102369021728697,0.001206752183433937
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005122550229466018,0.25224194964295904,0.0005648598815103636,0.0037976481220883024
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004706856329509141,0.2545592520062307,0.0005964441861859507,0.004368303935496632
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004454426039823679,0.7543398988442762,0.0004247983395552262,0.004816338865769751
6,sett_preprocess_income,,,,,,,,,0.0044285230157493,0.0044285230157493,0.0006648857502248068,0.0006648857502248068
7,sett_scale,,,,,,,,,0.0040736105331107934,0.0040736105331107934,0.00030136814817243726,0.00030136814817243726
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.00399863621186094,0.042561787656331895,0.0006744661004949345,0.001756723543205692
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003927681670840072,0.24800491503760808,0.00030602500352643254,0.003476212034092159
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0037678035942612003,0.23302492229714228,0.000401688262897558,0.0037622414726287655
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0037508326778671356,0.22560976052917034,0.0004518039422288623,0.003987004458650209
25,sett_exclude_features,sett_model,,,,,,,,0.003696301625722271,0.034125480596898364,0.0004090106979493508,0.0015940861643837234
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0036318926850723607,0.2923296164813042,0.00045436494901801827,0.004969293092776792
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0035009886444909715,0.06202917467367618,0.0006618233095225517,0.0023921224573147854
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0032898663020569925,0.5805550392793581,0.0005228655258302643,0.004163097106580205
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.00309633682853373,0.023319256704156077,0.00037079281636227693,0.0013733451454280984
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0027935644897764474,0.21094584079981482,0.00041933224243023525,0.0038531792618537453
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0025532544947839556,0.23230465298171726,0.00042084547639188274,0.003930434463863363
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0022140598527039135,0.26131144756124447,0.0004424051174978897,0.004464643447437334
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0022001502947540707,0.2616524504859332,0.0005473021969115601,0.004119388416216214
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0021670818075512966,0.30000219011600027,0.00025153498707488725,0.004281722122802656
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.00214948725315052,0.23583686183286204,0.00036024927349400044,0.0037372288381381695
19,sett_encode_categorical,sett_model,,,,,,,,0.001987882042836213,0.018710409472747463,0.0003004921312137355,0.0008269139122943914
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0019533545409565344,0.02034683437505352,0.0003711489068324627,0.001134237732006821
35,sett_model,sett_preprocess_age,,,,,,,,0.0018192403491187799,0.019302166679259256,0.00031944472313085256,0.0009667087872123924
