,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2552340225566062,0.2552340225566062,0.004251973432185978,0.004251973432185978
0,sett_cutoff,,,,,,,,,0.20699983098457697,0.20699983098457697,0.0029014876046994475,0.0029014876046994475
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.107907414853989,0.37743446303871264,0.003194406497569393,0.007381832899995189
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08050826937431492,0.5427421229154981,0.002065087336929438,0.005912446051490435
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02681695504620327,0.6961525212268918,0.0015207286430899418,0.009665256688291612
36,sett_model,sett_preprocess_income,,,,,,,,0.017739471939238305,0.03759963514576897,0.0012191223654742815,0.002768814209319716
4,sett_model,,,,,,,,,0.015966091852172612,0.015966091852172612,0.001240549630989537,0.001240549630989537
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014724155626609604,0.28592427003538845,0.0009021008944092343,0.0034685793054352048
2,sett_exclude_features,,,,,,,,,0.014293025628117417,0.014293025628117417,0.0007451013980466146,0.0007451013980466146
16,sett_cutoff,sett_stratify_split,,,,,,,,0.010060841100712929,0.2233540791338024,0.0005180404805040443,0.0031731328216521863
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.009684415891675931,0.06495764861593081,0.0010293212352846066,0.0047172794524934746
42,sett_preprocess_income,sett_scale,,,,,,,,0.008257642597281584,0.0165440283929501,0.0008216067153365005,0.0018068935843183983
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.00767200777212962,0.41988161028369453,0.0006723731169467501,0.006022974252595168
8,sett_stratify_split,,,,,,,,,0.006293407048512488,0.006293407048512488,0.0006389567405676374,0.0006389567405676374
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005701678634174149,0.2538544631068323,0.0006668937558467026,0.0031712222058735647
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005048013102598212,0.25257923502198193,0.0004957770148557037,0.0034236000472542844
37,sett_model,sett_scale,,,,,,,,0.005023640539893876,0.02538204683337695,0.0004421182485683475,0.0019713927553868743
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0049239273655157356,0.7537253573551302,0.00045983060472381057,0.008177337615252892
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004393002783083944,0.22568585939577834,0.0004913184979990502,0.0032898041698382016
7,sett_scale,,,,,,,,,0.004392314441310463,0.004392314441310463,0.0006327419933140415,0.0006327419933140415
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.004161239864095671,0.06290744502549243,0.0006056590081318216,0.0029748054307631015
25,sett_exclude_features,sett_model,,,,,,,,0.004084891994070082,0.034344009474360115,0.0005308535406782292,0.0013407579220273758
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.004005752531703157,0.2946577060139422,0.0007255812739267201,0.004077040379234404
6,sett_preprocess_income,,,,,,,,,0.003894071354358053,0.003894071354358053,0.0006845643712183016,0.0006845643712183016
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0038828172143687226,0.04274366345890387,0.0007017996165710634,0.002297875596814078
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0037909193292744855,0.24884962603767488,0.0004090173415927562,0.003455688985346985
