,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25658984343348773,0.25658984343348773,0.0038834409350894266,0.0038834409350894266
0,sett_cutoff,,,,,,,,,0.2092393147701455,0.2092393147701455,0.003556756481677627,0.003556756481677627
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10914115071773245,0.3805926422100405,0.0025110578511754007,0.005454511144002628
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08232949806088669,0.54815865626452,0.0020099517933499247,0.006455916643353153
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.028307276878117807,0.7051895450069403,0.000999475717052933,0.007425980070412343
36,sett_model,sett_preprocess_income,,,,,,,,0.01680310884086054,0.03653588635463625,0.0016286408839054187,0.0025658304598015296
4,sett_model,,,,,,,,,0.015606747897719393,0.015606747897719393,0.0009102787409358509,0.0009102787409358509
2,sett_exclude_features,,,,,,,,,0.014861648058820355,0.014861648058820355,0.0009011054748880609,0.0009011054748880609
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014547582599574126,0.2867441739307812,0.0011647396321726627,0.00360555434874049
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.009722353945826372,0.06240762802833397,0.001199117073130034,0.005079691624095239
16,sett_cutoff,sett_stratify_split,,,,,,,,0.00961876619136142,0.22568101670264842,0.0009861510449522893,0.004049819127941505
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007728032777723099,0.422726389375631,0.0007853248799447478,0.005006359326495092
42,sett_preprocess_income,sett_scale,,,,,,,,0.007493641326100205,0.015392511424234966,0.0008561311782046042,0.0015811614763373393
8,sett_stratify_split,,,,,,,,,0.00682293574114147,0.00682293574114147,0.0006010262970348265,0.0006010262970348265
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0050421761317208545,0.2553219687862829,0.00036521513110853864,0.004287082071879883
37,sett_model,sett_scale,,,,,,,,0.004882905919692694,0.024262494299490532,0.0005917055376786097,0.0015624850576209475
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004865228541031202,0.2538127824296672,0.0006364542293989072,0.003635049576918394
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004805968042830363,0.7622567506153837,0.0005105479703568049,0.006408234437568214
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004720813087749786,0.22882177591671565,0.0005085222694952842,0.003981677208332871
25,sett_exclude_features,sett_model,,,,,,,,0.004251383890573893,0.03471977984711364,0.00036342814137619873,0.001489613794601088
6,sett_preprocess_income,,,,,,,,,0.0041260296160563125,0.0041260296160563125,0.0006869593545497565,0.0006869593545497565
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.00391493627326028,0.2524011315686703,0.0003771527407902855,0.004229478739066608
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.003850425344499493,0.04348215007989919,0.0006573605893897457,0.0017146423564254492
7,sett_scale,,,,,,,,,0.003772840482078448,0.003772840482078448,0.0003457639925995729,0.0003457639925995729
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0034854293187485475,0.5833983010301151,0.000691188015779972,0.005522570694939355
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.003405310291404186,0.061638730828537276,0.0006759552730831938,0.003162207536358221
