,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2522869764021909,0.2522869764021909,0.005167676177218754,0.005167676177218754
0,sett_cutoff,,,,,,,,,0.20892702102479363,0.20892702102479363,0.003944595349358355,0.003944595349358355
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10915071522670036,0.37577857670285764,0.0026375072241355546,0.006824897685817302
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08198857383390257,0.5432025712608871,0.0026606568208841497,0.007185328648482277
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027492747802023793,0.698726537689492,0.0007383176517538637,0.00837468310026751
36,sett_model,sett_preprocess_income,,,,,,,,0.016844604383366032,0.03624423806475377,0.0015953273227116262,0.0023288884000677228
4,sett_model,,,,,,,,,0.015591369213436516,0.015591369213436516,0.0009157069699799639,0.0009157069699799639
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014788419267344149,0.28266676488297154,0.0013166773185762902,0.004629818770204676
2,sett_exclude_features,,,,,,,,,0.01434088507396639,0.01434088507396639,0.0007098713178717153,0.0007098713178717153
16,sett_cutoff,sett_stratify_split,,,,,,,,0.010621104408389504,0.2263581387029438,0.0007067991149187255,0.004471028989274038
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.009993439486852818,0.06250862663535073,0.001351753744196119,0.004344829349077796
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007313220837637664,0.41761680642515214,0.0005878535768434723,0.00599755166691027
42,sett_preprocess_income,sett_scale,,,,,,,,0.007220794165447707,0.014985857528899733,0.0009260198790176842,0.0013270473093602072
8,sett_stratify_split,,,,,,,,,0.006810013269760641,0.006810013269760641,0.0004515810392600209,0.0004515810392600209
37,sett_model,sett_scale,,,,,,,,0.00509335602279563,0.024641524131732952,0.0005666754344523476,0.0014644526174618082
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004974480759941587,0.25404672815623364,0.00045788554614277575,0.004498220658386642
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004815837382758714,0.7551212182433072,0.0005773363220075151,0.006113115005670355
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004573846792035449,0.25321635433232403,0.0007474693660198741,0.004179066763527242
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004539618325914388,0.22780752442467442,0.0006977835753318614,0.0047215236880184825
25,sett_exclude_features,sett_model,,,,,,,,0.004145220403876202,0.034077474691279114,0.0006575903207494757,0.0013866165892831197
7,sett_scale,,,,,,,,,0.003956798895500805,0.003956798895500805,0.00042992206315482247,0.00042992206315482247
6,sett_preprocess_income,,,,,,,,,0.0038082644679512207,0.0038082644679512207,0.000395023913427588,0.000395023913427588
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0037202503367906956,0.23301994808592885,0.000559317728757541,0.00415565708960057
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0036987591255135035,0.25159995936618773,0.0003941300879423932,0.005220193842975952
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0035100975741643283,0.04160478097837027,0.000393250407480679,0.0017451650551738671
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0034270878081986856,0.060479728030276014,0.0006334998643138966,0.0032117603369934303
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.00339192472976589,0.29229464160661645,0.0004107750451612845,0.005835951780268408
