,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2471339730520201,0.2471339730520201,0.00411384443890658,0.00411384443890658
0,sett_cutoff,,,,,,,,,0.21146164405792378,0.21146164405792378,0.002589224615726168,0.002589224615726168
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10729142592922146,0.3688626055425724,0.003190081759486211,0.006437378713352746
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08047213501119083,0.5390677521211347,0.0016394858618586404,0.0038986119323771375
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027348249340385128,0.6927694348216671,0.0014515493880617452,0.006910965344103724
36,sett_model,sett_preprocess_income,,,,,,,,0.01692774427202452,0.03709669904934537,0.0015720297420531543,0.0024663626728277112
4,sett_model,,,,,,,,,0.016377829153348428,0.016377829153348428,0.0009765232494963811,0.0009765232494963811
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014722414266985746,0.27823421647235425,0.001270940452006458,0.003913664687267935
2,sett_exclude_features,,,,,,,,,0.014437206561330854,0.014437206561330854,0.0009244882686348002,0.0009244882686348002
16,sett_cutoff,sett_stratify_split,,,,,,,,0.010291709954465956,0.22853418001860154,0.0007353236311230302,0.002856193939311876
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.009044380768459617,0.062477302155487274,0.0008401754053410402,0.0037544697511640106
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007443269323648345,0.4116045065384838,0.0008728471050522715,0.00602641825885769
42,sett_preprocess_income,sett_scale,,,,,,,,0.007378059279911428,0.015225385315867231,0.0005976558939390277,0.0010759021347938533
8,sett_stratify_split,,,,,,,,,0.006780826006211832,0.006780826006211832,0.0005030054875040621,0.0005030054875040621
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005251322792072926,0.751184786547284,0.0006302777047228404,0.005742496955899784
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00515550874321393,0.25770188688469775,0.000441263259319621,0.0036710575578001864
37,sett_model,sett_scale,,,,,,,,0.004901962645787471,0.02533599221111928,0.0003988200407626067,0.0011207483150781385
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004624800869594997,0.23052365148884962,0.0006401734113657428,0.0028632228591041605
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0043944463578554,0.2559171749933454,0.0006083894812420901,0.003952083676967246
25,sett_exclude_features,sett_model,,,,,,,,0.004198388251928884,0.03501342396660817,0.000622221030794886,0.0017562495510678928
7,sett_scale,,,,,,,,,0.004056200411983379,0.004056200411983379,0.00037814790843201284,0.00037814790843201284
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0038201099470617818,0.5754346147358875,0.0005222219693497447,0.003569500262243461
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0038104838759185364,0.04364321375509886,0.0007547441633590348,0.0021340042772313443
6,sett_preprocess_income,,,,,,,,,0.0037911256239724226,0.0037911256239724226,0.000516039205567368,0.000516039205567368
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003788154099960709,0.254568962413536,0.00028210672468435345,0.002962030854746176
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0035962590284820367,0.06141776761178751,0.0005892022991068701,0.0032168020165893522
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0033716760911030033,0.2955088040023624,0.0004615725823928153,0.004755510447498699
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0033576509289794543,0.23673503378570132,0.00034337360301289776,0.0033810140117373644
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0031846208640479174,0.024402653431590603,0.0003114443268294764,0.0009505697710514424
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.002774858170753871,0.21444735259025877,0.00030202241557146335,0.002778137333732431
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0023302149525047866,0.25352038841650826,0.00021091731718235856,0.004217533925519214
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0022473919162574667,0.25317249059225,0.0005888769056811119,0.0038194612539817784
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0021185747426629674,0.24004044285704934,0.00029314940490951394,0.0030216379161478405
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0020963284792346873,0.29161892296186454,0.0004718494852488374,0.004357124435969325
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0020892147207003647,0.02031754690600364,0.0004866402614288009,0.0013718112326813199
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0020850079880673435,0.23642277718447124,0.0003269089630327476,0.003085753176198071
35,sett_model,sett_preprocess_age,,,,,,,,0.002000910663447592,0.01949237252817785,0.0003074532900103487,0.0011182858849811926
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0019551737396124235,0.4291042193044219,0.0003470499805841155,0.006435543642381963
19,sett_encode_categorical,sett_model,,,,,,,,0.0019034241235078037,0.018492103638437347,0.0002805627082469675,0.0010163549633322175
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.001803365063277212,0.3771301568782659,0.000314905730222278,0.006392659136919682
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0017047625377427373,0.01725560181045542,0.000284648384442131,0.0010043289482057863
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.001663490185517938,0.27333893958743327,0.0001972143323895721,0.004506746226927137
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0015532775336031166,0.235728392648075,0.00024036319440643401,0.0033339397935404696
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.001544908878863226,0.6084477421847743,0.00032239856020273804,0.004197341340159552
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0015178762808639849,0.2167706459627602,0.00017338604327735938,0.002799022650511849
12,sett_cutoff,sett_model,,,,,,,,0.0014465092473568827,0.22928598245862908,0.0002705373997809024,0.0030990355263270336
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0014165897190618476,0.2683535549557114,0.00048696935841888097,0.004073628508232052
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0014043870279625858,0.30260486531257125,0.0003163358340570393,0.0037877228326740025
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0013742987651252307,0.28214791372435066,0.0003537330773811379,0.0040915652915913805
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.001365100763641241,0.5857647641970862,0.0003034432393487084,0.004016259129028417
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0013530799976527478,0.8416266431183228,0.0003083896303178768,0.004255300368981275
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.001265523294542509,0.37825586109804515,0.0005071390201440723,0.006195272227457962
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0012627638506444486,0.7996596321827564,0.0003832036790880791,0.0059972249651058145
243,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0012129771546651722,0.33504157872417967,0.000319719739424682,0.005383494444045802
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0011969781716338799,0.2662845098240156,0.00029148214783105374,0.0044453144922315365
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0011852470910871324,0.5478093930333157,0.0002628573060552711,0.0037969884777949814
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0011474068756078734,0.0415008138541933,0.00026886937425307333,0.0027708832569931963
5,sett_preprocess_age,,,,,,,,,0.0011136327113818276,0.0011136327113818276,0.00020041353124346855,0.00020041353124346855
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0011023593040428506,0.7838365407868315,0.00023777038144976532,0.005004161295632124
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001101734240655199,0.6342097333839505,0.0003011156876832479,0.0036790257232215493
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0010925363518459043,0.4440186887742716,0.00047120943097397525,0.005854713683400457
363,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0010682379274076616,0.4825154130379008,0.00025841691678254737,0.007365098470992029
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0010628811320005772,0.6461054967079833,0.00024902203495056106,0.005471179827873611
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0010269981806943608,0.8836864323882977,0.00015294301893444259,0.003819701831223805
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0010182632096051925,0.5654626168922162,0.0003270930056088478,0.0038777683713926373
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0010092647764841018,0.23532816853772165,0.0001916642077641709,0.0030535987462293386
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0009880459993586894,0.5970316201088431,0.00020942968718775396,0.003511824860991673
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0009768570232633542,0.21355213379256893,0.00021104939477648032,0.002725359438136358
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.0009708069027069162,0.2688555188756885,0.00022020676946538537,0.004051035289436438
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0009335079598872789,0.8098244873388207,0.00017525911940527908,0.0041649347896648824
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0009230178697650451,0.24813473343386516,0.0001856116738470348,0.0033931504499746376
230,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0008838643295319716,0.07246955377977193,0.00023287614430776813,0.003990388134231372
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008683008803460928,0.6546562546517752,0.00013697161980798857,0.003983702567389725
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0008655545196562039,0.3262438793651892,0.0001544876467844507,0.00437264727094588
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0008642094437216432,0.8275061970442419,0.0001227950058732747,0.006429939729630388
38,sett_model,sett_stratify_split,,,,,,,,0.0008531971447932622,0.024011852304353522,0.00016268817631315418,0.0010635058505130113
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0008494492570730299,0.25727449460894714,0.0002484389551803371,0.0036717694160956537
17,sett_encode_categorical,sett_exclude_features,,,,,,,,0.0008284091752192956,0.015476466098131263,0.00017092087892839236,0.001010598503134191
74,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,,0.0008269977355513296,0.038783105362467714,0.0001999338245484162,0.0018152206782334984
