,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25448972697070665,0.25448972697070665,0.004594181510440887,0.004594181510440887
0,sett_cutoff,,,,,,,,,0.20805924571190826,0.20805924571190826,0.00265344345279159,0.00265344345279159
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11125410209851966,0.3798083291054442,0.002335324169711319,0.006523117520561822
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08194031703413421,0.544489289716749,0.0023246986023489013,0.00472145521003831
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.026667028609271698,0.7005297165833098,0.0013030003027969265,0.006371867645463193
36,sett_model,sett_preprocess_income,,,,,,,,0.017575430005286944,0.038154793118890536,0.0015400033790142686,0.0020846129804854715
4,sett_model,,,,,,,,,0.015827996685241624,0.015827996685241624,0.0008471595332493374,0.0008471595332493374
2,sett_exclude_features,,,,,,,,,0.014064500036217956,0.014064500036217956,0.0007329565567545506,0.0007329565567545506
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013935062101772885,0.28425278575772117,0.0012036441846178224,0.004835451937428174
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.009729190143850115,0.06550140219073687,0.001610496353122753,0.0049015580548827905
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009278441222257464,0.22376442361170712,0.0006051600587306875,0.00276487430625452
42,sett_preprocess_income,sett_scale,,,,,,,,0.008624741134169847,0.017556339841816412,0.0009730706467986504,0.0016344278239606115
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.00732883803796907,0.4206911133276571,0.00068371812809587,0.006361026782100968
8,sett_stratify_split,,,,,,,,,0.006426736677541402,0.006426736677541402,0.0005184572200859864,0.0005184572200859864
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005439603734671124,0.2525667763045688,0.00041299715365782395,0.002980616498065556
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0049406687166800075,0.2543829480256913,0.0007633961458538819,0.00330836908774883
37,sett_model,sett_scale,,,,,,,,0.004812445514541774,0.024820674479068,0.000643558067810014,0.0016082946450574976
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004779072868916344,0.7561855632263947,0.0007906503674630901,0.005884801775230743
6,sett_preprocess_income,,,,,,,,,0.00475136642836196,0.00475136642836196,0.0006034544940070192,0.0006034544940070192
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.004225682497055305,0.06218705606044511,0.0009513020304649784,0.0032449031095592596
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.004206142946796937,0.042870001002704244,0.0006046474805528467,0.001991928496770584
7,sett_scale,,,,,,,,,0.004180232279284605,0.004180232279284605,0.0004685290849599528,0.0004685290849599528
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004054796122551387,0.2261785418706776,0.0005540787716410065,0.00297613626821164
25,sett_exclude_features,sett_model,,,,,,,,0.003790887397229226,0.033683384118688806,0.00035057029599354914,0.0015372446485952412
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.003784692845537075,0.29362739719855857,0.0004927694294676836,0.004731965746732682
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003685233230662808,0.24832831690028526,0.0005888291291715286,0.0032244309258596276
