,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25314194008100377,0.25314194008100377,0.003299329982810556,0.003299329982810556
0,sett_cutoff,,,,,,,,,0.21317719188644335,0.21317719188644335,0.0035696480592565345,0.0035696480592565345
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.1062734043159786,0.3745321961061527,0.0032019299811182787,0.004502241735928196
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08421985465911112,0.5505389866265582,0.0018631492156306858,0.005114973087816447
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02753800135665696,0.7044985707347144,0.001473573878119408,0.005863483170535837
36,sett_model,sett_preprocess_income,,,,,,,,0.017303918948243922,0.03757395100416936,0.0012630761577859327,0.002025209820734906
4,sett_model,,,,,,,,,0.016106638515045558,0.016106638515045558,0.0007684789685499208,0.0007684789685499208
2,sett_exclude_features,,,,,,,,,0.01511685170917031,0.01511685170917031,0.0010806288012053039,0.0010806288012053039
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01385008495793749,0.28309866355398683,0.0010338079424862677,0.003170440277435327
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0100336552611008,0.06399454615039768,0.0010576568508193034,0.004220119184766839
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009947729335367153,0.22967746583217108,0.0006314098624159182,0.003960082497984345
42,sett_preprocess_income,sett_scale,,,,,,,,0.007649449675453425,0.015702375855839962,0.0008197619411895963,0.0013527191783925829
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006786698668858579,0.41502650110219624,0.0007318559483533013,0.0046258224090404655
8,sett_stratify_split,,,,,,,,,0.006552544610360537,0.006552544610360537,0.0007555888683234438,0.0007555888683234438
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005052379736661894,0.25966761066376776,0.0004635486165780709,0.004062496817528755
