,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2537677835536264,0.2537677835536264,0.0038912792027966697,0.0038912792027966697
0,sett_cutoff,,,,,,,,,0.21042511707666736,0.21042511707666736,0.0025506171252258577,0.0025506171252258577
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10975024926977386,0.3776789838770911,0.002574585111840267,0.005672645217840717
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08240172979572041,0.5465946304260143,0.0026172850839312834,0.005671267198423835
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027433385214790027,0.7022924238506763,0.0012122881963861842,0.0070932741284292075
36,sett_model,sett_preprocess_income,,,,,,,,0.017260655038940774,0.037547773963166275,0.0017047548188889124,0.0024411531337423117
4,sett_model,,,,,,,,,0.015615796247258775,0.015615796247258775,0.001107345098171399,0.001107345098171399
2,sett_exclude_features,,,,,,,,,0.014160951053690822,0.014160951053690822,0.0006503850543965516,0.0006503850543965516
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013706480964963012,0.2830900607658482,0.0012291663549418377,0.00418730512130862
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.010084854528068652,0.06510555253102637,0.001104355952707929,0.004213001704771549
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009551487267556641,0.2259111137426975,0.0005665204493176218,0.0029110442865202943
42,sett_preprocess_income,sett_scale,,,,,,,,0.008581632148822235,0.01735973398125422,0.0008814788855774274,0.0017557606357030966
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007386873739878059,0.417759659877543,0.0007527571202566787,0.00622266464167268
8,sett_stratify_split,,,,,,,,,0.005934509398473523,0.005934509398473523,0.0004092477649420399,0.0004092477649420399
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00520311466308776,0.25462921058390897,0.0005351578270571375,0.0027806678165554323
37,sett_model,sett_scale,,,,,,,,0.004784512735503943,0.024507088138227977,0.0003903905014484148,0.0015280900931693212
6,sett_preprocess_income,,,,,,,,,0.004671322676966725,0.004671322676966725,0.0007355966949207651,0.0007355966949207651
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0045964256589623945,0.25579574301631636,0.0006546959585723558,0.003144444986281491
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004476117121285704,0.7570087384158303,0.0005694976107129634,0.00740998012841331
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004353207886407364,0.22893927601676553,0.00034891443380226286,0.0026730271960521998
7,sett_scale,,,,,,,,,0.00410677915546526,0.00410677915546526,0.0003968375141168066,0.0003968375141168066
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.003916195782837095,0.04141967519772618,0.0006066855073141838,0.0023108592566930958
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0037269450947156847,0.2512093710017508,0.00038304043487912844,0.003100131663898685
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0036973084991620635,0.2933204993992665,0.0007289225003130585,0.004279664069253676
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0034569081718837753,0.5808733144185647,0.0006523317616334671,0.005636210620255463
25,sett_exclude_features,sett_model,,,,,,,,0.0033715250483520327,0.03314827234930163,0.0005985885118658795,0.0015078671321307679
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.003351997899093114,0.23429193617061395,0.0006992346201428618,0.002846787028599149
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0031772515047060654,0.06013280959159516,0.0006336457583492223,0.0031864544062522164
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0030571532242394408,0.023152613676403786,0.0004653139846055619,0.0010013720917435068
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0030182463012412026,0.21367140398671203,0.000482201792617582,0.002610712058391761
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.002245907869981653,0.23517969615598588,0.0003904865930864647,0.0025786213625301753
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0021155105278031746,0.2599900732368948,0.00039559897652869877,0.0034649535927456627
19,sett_encode_categorical,sett_model,,,,,,,,0.0020267999681933477,0.017870636824255607,0.00037703402625938794,0.0011669199543802996
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0019428139290701384,0.2603819201596633,0.000434972404291897,0.0035964344541638232
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0018753080216799636,0.02070758175233751,0.00048407678120311224,0.0008523351908460483
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0017269277090754412,0.21682336746270953,0.00032458157199390943,0.0021084479571648065
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0017175873104141185,0.2958144504950347,0.00041589496221017773,0.004071897050421082
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0016910302050953847,0.38567669200215515,0.00025867270139536447,0.005052786502447152
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0016860897058640673,0.23889892413035174,0.0003521802853102192,0.0023261272232182554
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0016759160428559466,0.017052000509955128,0.00033288038097173904,0.0009169022914971708
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0016575659701116964,0.2696013880025061,0.00034340144981669953,0.0032840327570402904
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0016054085652858706,0.042016371666694356,0.0003928912456627605,0.0029447992367248057
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0015846852189641476,0.4340342525595215,0.0004813030056371202,0.006136236711918571
12,sett_cutoff,sett_model,,,,,,,,0.0014994986084449079,0.22754041193237107,0.0003510084885182741,0.0026484337136485382
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.001482806483338085,0.5912783605677625,0.00025096809014603074,0.0052926483417104694
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0014699616922699053,0.23428346050287896,0.0003081635136173765,0.002869159442383709
35,sett_model,sett_preprocess_age,,,,,,,,0.0014641576093231473,0.01829508726999028,0.00034793491997288974,0.001368799374562444
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0014197085707565863,0.6142677069804755,0.00029841329074435093,0.006477249801882598
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0012288670224976676,0.28695321319392053,0.00022435402376954722,0.004170888210660436
5,sett_preprocess_age,,,,,,,,,0.001215133413408359,0.001215133413408359,0.00022051504784029112,0.00022051504784029112
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0012071483971205495,0.8046114855439207,0.00026927173971335764,0.00893585633804838
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.0012054441865291777,0.26650690728549375,0.00027157342049313255,0.0027997085007771005
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0012038574132789315,0.8436728027483908,0.00025803539835227287,0.007283845033453547
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.001186760105836291,0.3873551886106442,0.00043803715114472196,0.005333745614559053
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001089089195140201,0.6006227659392536,0.00016124580847004782,0.005714318429610952
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0010352587810630194,0.787204509047756,0.00023129794964273128,0.006697425325940569
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.00102169298049882,0.26586175354379626,0.000238114831317166,0.004057714839034501
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0010098472295316922,0.2761956892212856,0.00035084021924270455,0.0030999746529542255
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001008570561546417,0.6380959909075928,0.00017104548420133063,0.0063331078056624475
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0009709753845493886,0.2335215361739975,0.00011793334373408007,0.002409353913061838
74,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,,0.000935070715372008,0.03708640900086447,0.0002579891630986541,0.0014965871007823308
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0009337215516071397,0.8330021399339493,0.0002010296087504233,0.01007697064136049
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0009223739102358149,0.8847202100513485,0.00023070260046115096,0.00678711489764386
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0009138295823294604,0.6521376071845626,0.00035187441529360805,0.007682791124097223
230,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0009111772077880626,0.0714488861472499,0.00021108397400254654,0.004427342962661558
243,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0008975337055785856,0.34115585253991687,0.0003513510502888061,0.006450300724965906
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0008927427879033219,0.30785759519872913,0.00030384631564374143,0.005265942555783752
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0008837961902353894,0.5558194909313618,0.00028847463172879,0.004831083386086571
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0008209180281293193,0.24458542968108088,0.00020345860477782122,0.0030247458916252087
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0008093040566977559,0.8117369791346509,0.00019920924677760358,0.006573347254641543
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008043456479805965,0.6577389732023824,0.00015998696880333468,0.006748045003656711
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0007917533554965541,0.6279707197415136,0.00019856794038121143,0.007498042645000877
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0007854757215654123,0.573809496676562,0.00037193991146826686,0.004014154072032327
