,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3341967464283871,0.3341967464283871,0.027616132248498907,0.027616132248498907
16,sett_cutoff,sett_stratify_split,,,,,,,,0.24239183928503671,0.6541581595629226,0.035312148939104476,0.034154006803317025
0,sett_cutoff,,,,,,,,,0.07756957384949875,0.07756957384949875,0.013794327855617754,0.013794327855617754
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008420627007290498,0.6776946725127626,0.004547142361900936,0.03128968704027718
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0075459983921495385,0.6743283594214168,0.00557074278159855,0.03609039541854175
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006359554812598061,0.6737122484152018,0.003014256959498199,0.03545128499822428
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.005932039010660061,0.6713413583200327,0.005106393562080157,0.03602346893886106
3,sett_exclude_subgroups,,,,,,,,,0.005665976193015197,0.005665976193015197,0.004099489678462398,0.004099489678462398
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.005197610265699995,0.08843316030821394,0.0028948166039528943,0.01410127379523747
12,sett_cutoff,sett_model,,,,,,,,0.005131020957449105,0.08676928930395263,0.004601192280024825,0.014172614145054555
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.004996117167938267,0.710333733431579,0.0027209365022245924,0.035452638460520575
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004863219798047632,0.08694249640962436,0.002620066133991413,0.0158869366685399
2,sett_exclude_features,,,,,,,,,0.004546407042617825,0.004546407042617825,0.002828312545816336,0.002828312545816336
6,sett_preprocess_income,,,,,,,,,0.004509702762077977,0.004509702762077977,0.0027582686391295977,0.0027582686391295977
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0042522994838342645,0.3441150221052366,0.0023893246522128254,0.025410361751719266
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004189539932328065,0.7096923967258302,0.0035587907357454264,0.03431426521822124
4,sett_model,,,,,,,,,0.004068694497004778,0.004068694497004778,0.0035229937896665343,0.0035229937896665343
38,sett_model,sett_stratify_split,,,,,,,,0.003994818585227291,0.34226025951061917,0.002057693744220577,0.02638695240400715
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.003866147505512606,0.6646590837437085,0.004413954293977251,0.03290342627918409
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003771494465851438,0.7070171627224087,0.0025610369194960262,0.04158731028274923
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0033843029660346577,0.10250192617120155,0.002457173435678918,0.018717704434923096
10,sett_cutoff,sett_exclude_features,,,,,,,,0.003361831021273922,0.0854778119133905,0.002328308536997488,0.014312489660228024
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003342921682558471,0.3420860751535634,0.0018080452617564165,0.028085725406816572
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.003338080491662488,0.09771804117726868,0.0023920644636048986,0.013129169096371806
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0032755036052314144,0.10195602313930362,0.0023644274058056552,0.014253952557364514
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0032512789062190328,0.34195772809668407,0.0016829706409393465,0.02717990626847073
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0032474441360623874,0.10273449049765211,0.0026082801800840372,0.01900110201236858
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0031563038892170442,0.6973466478051573,0.002232881296993408,0.03133704302098905
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.003041860934249012,0.6636709310945522,0.001743338202968032,0.032743021732338035
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.003003505675737893,0.3560001581957427,0.0019905405031271054,0.02537146586900608
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0029943818586255257,0.10310411947935968,0.0023558265130885023,0.016767425446614446
