,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3556186078048251,0.3556186078048251,0.02659830694477922,0.02659830694477922
16,sett_cutoff,sett_stratify_split,,,,,,,,0.269940572326138,0.6958163297634206,0.03983446326013214,0.058738505338992116
0,sett_cutoff,,,,,,,,,0.07025714963245747,0.07025714963245747,0.016922288033241816,0.016922288033241816
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00883585076355103,0.7201089580390588,0.004741998528497559,0.053606823471781584
12,sett_cutoff,sett_model,,,,,,,,0.008130781885901786,0.08087133785185333,0.008179480454788165,0.015191160881003696
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006466722549952058,0.7531891133811072,0.0036440993386360116,0.05580677632354852
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.006389371260947763,0.7121057963117241,0.004986313747263789,0.05636803814536954
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.005720489266663376,0.7117451897811066,0.002738093606528293,0.059375742015030784
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.005674792558369881,0.7117239840147684,0.0032170464625368086,0.0572455772698859
38,sett_model,sett_stratify_split,,,,,,,,0.004842589292691331,0.36294460343101054,0.002670896924056763,0.025215057272789616
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004710384536280388,0.07738368761809108,0.004386824165511761,0.01796370875018945
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004699397332060774,0.0944147803637384,0.004937763077665863,0.018891171647366003
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0039617269545292955,0.7060292659569345,0.004057786163662724,0.05798159988126856
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.003946621607291248,0.07691057239275718,0.0028401396674369176,0.0166015512511401
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.00391831113785841,0.3754356060174351,0.00223414873125821,0.025829359109215126
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0038146284538013004,0.09065737115937587,0.0032161267037285257,0.018754759541692076
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0036915564027278705,0.09476413747403883,0.0020806060201992963,0.016460774412997866
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0036239821447075138,0.7401585523387919,0.004403154850649555,0.06268277255204892
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0034864643995099064,0.07701119448045166,0.0024481635156409706,0.016502001343837863
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.003478816844983698,0.36236500509829306,0.0017004572410459727,0.025946757506462973
3,sett_exclude_subgroups,,,,,,,,,0.003267580448484273,0.003267580448484273,0.002161423590749958,0.002161423590749958
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0032466725270560437,0.3615720814848896,0.0022296106036375123,0.026347454522686106
