,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3722902011487151,0.3722902011487151,0.03339057278181376,0.03339057278181376
16,sett_cutoff,sett_stratify_split,,,,,,,,0.28065916018258086,0.731565260634809,0.04633665103255433,0.07317577868037375
0,sett_cutoff,,,,,,,,,0.07861589930351305,0.07861589930351305,0.014080481127997284,0.014080481127997284
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.011727344899331926,0.7583398355725013,0.00902938333505539,0.06451166591789519
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.006522972692368638,0.7490997812015241,0.0038200259384494808,0.07153740232293279
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.006512503307486071,0.3841039678835283,0.006121056950186314,0.03087905467060177
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006116294610902787,0.7455133547015308,0.003063225439804677,0.06971169905450719
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.00597893935594445,0.7500777055608322,0.004692642048780024,0.06917385595912698
3,sett_exclude_subgroups,,,,,,,,,0.005301263427327178,0.005301263427327178,0.004685751162092188,0.004685751162092188
2,sett_exclude_features,,,,,,,,,0.005083395405942602,0.005083395405942602,0.002608102963969029,0.002608102963969029
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004029775030352865,0.08587088121554914,0.0031201378476614764,0.013806065579601186
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00402418464962793,0.398494569675062,0.008689847339437992,0.028563344426736078
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.003819594924722702,0.09815229763883447,0.005277908955512203,0.015097514041824358
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0037646123447064085,0.7886631031443192,0.0030456146113784998,0.05287639152495943
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0037565659623104266,0.37927197399270873,0.0024149820967460964,0.033425491220167136
10,sett_cutoff,sett_exclude_features,,,,,,,,0.003748842217460861,0.08744813692691653,0.0028248202515174913,0.015037083592992358
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003701267946675306,0.381074864501333,0.003037853911070054,0.032866913411616926
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.003631468127290564,0.777300593859539,0.003149446143938152,0.06778532752355247
38,sett_model,sett_stratify_split,,,,,,,,0.0035667453353671326,0.37775910314560185,0.0022652553700320747,0.03171260369157256
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0035498436815074494,0.7409556227562186,0.002747744385157765,0.07068624782965464
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0034680544931405847,0.7766516812255898,0.004211421003742535,0.06394192333400102
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0032862519351270257,0.7774971427731021,0.00468420989886363,0.0613620476835556
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.003233463303547125,0.08715062603438736,0.0018265491182022236,0.015749829254485002
6,sett_preprocess_income,,,,,,,,,0.0032252068816832234,0.0032252068816832234,0.0022008363066593345,0.0022008363066593345
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0029637407883577518,0.7393728248711173,0.003027287169354599,0.07408081335588365
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0028940374216225037,0.7836742340580269,0.001923032802888568,0.06154032783826768
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002813485774329361,0.7795362265316488,0.00221273880134667,0.058689640452662756
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.002792895948364656,0.09505131493903177,0.004244258548980211,0.014284447054720149
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002718720513429151,0.39188199867839224,0.0023294066539790515,0.02952473535342927
25,sett_exclude_features,sett_model,,,,,,,,0.002619511666743344,0.009605063734205598,0.0029013065168143337,0.005990891387084146
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.002440271862172441,0.10000488930925114,0.0013710350997162405,0.01647175124914346
7,sett_scale,,,,,,,,,0.002421748197284212,0.002421748197284212,0.002252738019060824,0.002252738019060824
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0024024111132359173,0.3918763716346627,0.0017229157865870824,0.03352561984461622
12,sett_cutoff,sett_model,,,,,,,,0.002362897458932254,0.08288095342396495,0.0023105601064863967,0.011992269771468108
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.002348073381112846,0.7655530173711818,0.0024528581343494994,0.07085450295828488
