,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.350138230699511,0.350138230699511,0.03756411238702196,0.03756411238702196
16,sett_cutoff,sett_stratify_split,,,,,,,,0.27104832913909177,0.7010148023356397,0.04617696509932912,0.04749384290492952
0,sett_cutoff,,,,,,,,,0.07982824249703693,0.07982824249703693,0.015838400162021832,0.015838400162021832
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008607211402110456,0.7294715575599864,0.005756660416637979,0.041620651037193916
3,sett_exclude_subgroups,,,,,,,,,0.0075935535937187845,0.0075935535937187845,0.0034426764347279303,0.0034426764347279303
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.007184914444962432,0.3649166987381922,0.0044070881222464135,0.03546376086184501
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006610396259097926,0.7181973548269749,0.004005482820854893,0.04700004945092616
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.006094828371803484,0.717256726138346,0.003518404291608676,0.045271473467241585
12,sett_cutoff,sett_model,,,,,,,,0.005115783581936682,0.08616751614780443,0.003490696888825836,0.015850427107376847
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.005071075783555104,0.09249287187431082,0.0028003688345911424,0.015494309054793789
2,sett_exclude_features,,,,,,,,,0.004955475508286922,0.004955475508286922,0.0027453985972718947,0.0027453985972718947
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004830976916317283,0.7607136204896998,0.0036472344439650198,0.04089488200749693
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0043180541722887475,0.7596158917640727,0.0034453757857924954,0.03873420101292495
38,sett_model,sett_stratify_split,,,,,,,,0.004232882581469729,0.3555946033498115,0.0025823667328088214,0.036314627299024724
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004229056712341299,0.10038654793276147,0.003789441796061063,0.014500917016584102
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00397006342646393,0.7478636222316573,0.002650088279676372,0.04758146220594628
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0039540254807942056,0.713728911097266,0.002975292286630589,0.047835024213059706
6,sett_preprocess_income,,,,,,,,,0.0038370975330899617,0.0038370975330899617,0.003914359321572731,0.003914359321572731
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.003737166675763669,0.08740250670589056,0.0026776112075273827,0.013918390924439963
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0034343919418413395,0.10664821041586534,0.002828327004415483,0.017338125410766063
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0033888335713754747,0.7526436809608903,0.0026038198207916125,0.04274813177360202
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0033705003529414575,0.7108924321488413,0.002938038841345523,0.048055790332876394
30,sett_exclude_subgroups,sett_model,,,,,,,,0.003198907672788108,0.01201595133533772,0.0023816651851953103,0.0049667528052969746
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.003159102836302055,0.10519015603416851,0.0014921786483132165,0.017514337228048307
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.003146682390859557,0.014577333517668304,0.0034010187775646112,0.009295485429965672
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.003003281896390232,0.37747659178058124,0.0022645855990261225,0.03550632834282886
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.00290549920379324,0.7486232375424147,0.00161637775822942,0.040388513412694046
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0028833449053054508,0.1043315583656862,0.001970058040297238,0.016293406117093703
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.002880460533531191,0.10143485485231436,0.002007863073364239,0.01473380736590918
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.002870523012970739,0.37644250207425156,0.001564229414177916,0.033701795330976954
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0028095125994086314,0.36722975556812154,0.0020887130981802607,0.03653048838056997
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.002587645729919111,0.7382883832649489,0.0029059652143543628,0.04848401163780482
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.002572831222049293,0.35654815945465024,0.0018985967922105008,0.037172688041751535
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.002474055178623833,0.7079637175589792,0.0027865145506844546,0.05025404648267466
36,sett_model,sett_preprocess_income,,,,,,,,0.0024157108637620924,0.007476298465682881,0.0019538990766622437,0.004795114379257874
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002318908885233347,0.13007241803721098,0.0015676514813617415,0.0227609678855387
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0022483363918544908,0.3545598100842118,0.0014121812874200777,0.036568879756447584
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0022068511727371225,0.014755880274742828,0.0013684429392925755,0.004190103952608893
5,sett_preprocess_age,,,,,,,,,0.00217324299284627,0.00217324299284627,0.0017770723319116932,0.0017770723319116932
