,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3224133573263944,0.3224133573263944,0.02893488846483569,0.02893488846483569
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2742757765407515,0.6686688016267732,0.044576622330953115,0.07017859860324772
0,sett_cutoff,,,,,,,,,0.07197966775962736,0.07197966775962736,0.022366875794030374,0.022366875794030374
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.011893120176713111,0.7089896600145713,0.008803180347940153,0.05993546860141461
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0116108435435725,0.3429794730856743,0.00780679731784855,0.03083576102250394
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.01001448340299199,0.6895807346305318,0.005582500256065064,0.07298720430307615
3,sett_exclude_subgroups,,,,,,,,,0.008955272215707393,0.008955272215707393,0.0055619320203613345,0.0055619320203613345
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.007861622451804972,0.08879656242713972,0.006660022229290157,0.019264800645615688
2,sett_exclude_features,,,,,,,,,0.006469794909297952,0.006469794909297952,0.003913658991200085,0.003913658991200085
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.005926448962070327,0.6864788355333495,0.004645890818038058,0.07077170022347916
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.005428887446637526,0.7431764722677778,0.003926490129768077,0.06085784713284988
12,sett_cutoff,sett_model,,,,,,,,0.0053093707081930085,0.07935304380117549,0.005160159113069631,0.022874586932225157
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.005184085662860779,0.7366804839544324,0.006141557278301501,0.05439870056386832
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.00501425814913509,0.6846200531302962,0.002852098325492052,0.06692278446284179
7,sett_scale,,,,,,,,,0.004974202007072665,0.004974202007072665,0.004484122898140273,0.004484122898140273
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.004680481135738715,0.6826531275994596,0.004156281505436769,0.06346766519878246
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004299279531069836,0.7176908504285419,0.0037508330898942265,0.06996217447159588
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004284671228009566,0.3607511599290986,0.002960519159518323,0.03144760722539916
6,sett_preprocess_income,,,,,,,,,0.0041015650571020424,0.0041015650571020424,0.002494007959559908,0.002494007959559908
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.003963082294063784,0.6786581357929011,0.0037680520165424528,0.06989899053234049
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003613767750632125,0.01903883487563747,0.0035127267434624217,0.010251696720037156
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0036120962839509595,0.3301270186674474,0.0032397165122438234,0.028369678494345636
38,sett_model,sett_stratify_split,,,,,,,,0.0035240735592184623,0.32800143621896793,0.0017620155957084073,0.028944703608855517
