,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3519472889556363,0.3519472889556363,0.0269246421437439,0.0269246421437439
16,sett_cutoff,sett_stratify_split,,,,,,,,0.27945847428440956,0.739889403487682,0.02116046869413496,0.042989682899768136
0,sett_cutoff,,,,,,,,,0.10848364024763602,0.10848364024763602,0.011315964861758634,0.011315964861758634
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00960244955985983,0.7608143307172748,0.004185309331261754,0.03968980837650366
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0073954294524285445,0.757568217148217,0.004711435131494946,0.04489737635928964
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004914095730484725,0.7546166449850835,0.0032031126051315674,0.04074217409172566
12,sett_cutoff,sett_model,,,,,,,,0.004630128655882451,0.11602884521885251,0.0035799551084002654,0.010021946990201137
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.004593899102865924,0.7871196036277419,0.0033613537183458174,0.04386386990570508
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.003946005129565147,0.3583611090028921,0.0021543981174768703,0.026423759818053692
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003917915601937017,0.7895264464860839,0.0026481059714594493,0.04055178905335363
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.003869564160850834,0.11482101932617744,0.0028216537568862467,0.010999684033713888
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.003802138837071142,0.12770647113191766,0.004347968248535353,0.0112673822774442
38,sett_model,sett_stratify_split,,,,,,,,0.0037772726985165223,0.35863963796948695,0.0022968165534827246,0.026126506216332872
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.003752782007446948,0.7490630360960348,0.0038389697217064366,0.04237240085666768
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0037109872134244047,0.7510511666124953,0.0027736530080195686,0.04293233056315638
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0036914387001025684,0.7856248625423786,0.0016266892347140784,0.03537815747618464
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0035990955136090096,0.37187484546306265,0.0035845672931687656,0.02751773358669971
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003558844326825035,0.3590329183736206,0.002237566823121706,0.026883461962313608
2,sett_exclude_features,,,,,,,,,0.0035267850911592483,0.0035267850911592483,0.0022387005060254942,0.0022387005060254942
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003077355313523338,0.12698085326956585,0.0034848159732906512,0.013315589367826773
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003039248010629953,0.7827664210843074,0.0031378940259490814,0.036899838698035016
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.003013951764163199,0.7769517349636141,0.0022506933581230688,0.0453464752205756
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0029921847202622536,0.12713272682990268,0.0024350150411988633,0.01138516375195875
4,sett_model,,,,,,,,,0.0029150763153340396,0.0029150763153340396,0.003273787548992513,0.003273787548992513
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0028290115285772447,0.008823611537427084,0.0021884178030721455,0.0038967560695791583
10,sett_cutoff,sett_exclude_features,,,,,,,,0.002727516348932598,0.11473794168772787,0.0015411268713198297,0.01063678384740295
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.002712417421421196,0.11369953640004285,0.001933048578996811,0.01161863897149525
36,sett_model,sett_preprocess_income,,,,,,,,0.002658756584783164,0.008077311631102837,0.003997244193335429,0.006030090130810017
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0026096162202427224,0.7772286040047076,0.001785350002764957,0.03755108856590126
6,sett_preprocess_income,,,,,,,,,0.002503478730985633,0.002503478730985633,0.0017645280463390392,0.0017645280463390392
3,sett_exclude_subgroups,,,,,,,,,0.002467814917690591,0.002467814917690591,0.0013066772440044432,0.0013066772440044432
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.00236237835446434,0.35566996877532925,0.002256205172225016,0.026317098054001776
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.00234888397382833,0.36917665980281744,0.0015153319031126079,0.024649995997343584
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.002321090630273726,0.12350297934072735,0.0016941271780582707,0.011680039900640418
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0022983572275098512,0.1265888286385109,0.0014633654698325124,0.008832594935815473
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0022796151009386615,0.7711210776373053,0.002300739015013646,0.04095269875455526
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0022386980331130808,0.7725887864905936,0.0023285885810376303,0.04235504079304966
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.002234879758982085,0.35668564744560405,0.0013472807287063934,0.026474901289255868
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0020861696480330484,0.36981876178756096,0.0012242736227116204,0.02606894853294517
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.002082029750256018,0.3670170118569085,0.0028894472227307864,0.02826702011519808
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0020500718595543436,0.7734771672918703,0.0020795198649436798,0.04330140139540692
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.002014967333282846,0.36805172037752065,0.00220059269847767,0.02331442303039112
25,sett_exclude_features,sett_model,,,,,,,,0.002007324752056715,0.008449186158550004,0.001478653109511882,0.0044889011482459355
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002001930690561765,0.8351514112691385,0.001188813029318308,0.035729743139338375
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.00184650060385544,0.12123313758047377,0.002160040514757325,0.011479328274070886
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0017743178122464726,0.007157209045271102,0.0014103130524482517,0.00465470302006076
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0017417390642775095,0.36598617978900666,0.001198386594876111,0.02612414491797617
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0017250068229060435,0.14704736413380776,0.001559883100398772,0.011095599896043954
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0017123875645501468,0.12221074133811136,0.0014799984449308298,0.011310321214975223
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0016981707812129304,0.11154211249407753,0.00158217229234706,0.011694363324148048
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.0016144612966259078,0.36596028253238844,0.0017313473299718433,0.027303714786181484
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0016066075180285796,0.36526159675013764,0.0013239402089823547,0.023851358872654025
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.001590223042448974,0.006477309598836792,0.001952147153386061,0.004029633061976275
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.001571200409524065,0.005399316792443225,0.0023114372894807405,0.0030223966593284197
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0015362592079136844,0.7650196247939363,0.0009461039772881621,0.04035247426952843
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0015275646704700611,0.7641547050479143,0.0016667465157335203,0.04559528457320533
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0015136771457197585,0.14422139525018496,0.0018504838675989612,0.017609760165918645
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.0015076005860199344,0.365280954683467,0.001030243473503709,0.02436649364986546
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.001507437748193497,0.12095812973033651,0.001497095460912727,0.011510588069351783
35,sett_model,sett_preprocess_age,,,,,,,,0.001411036308267211,0.00568641408882982,0.0018432724914042276,0.004248782251611674
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0013990131559239198,0.14137873837826587,0.0018620910606836575,0.013346110715779971
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.001367338828453382,0.8136718476334568,0.0015783310317950261,0.031765950869288614
5,sett_preprocess_age,,,,,,,,,0.0013603014652285696,0.0013603014652285696,0.0012937438881205105,0.0012937438881205105
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0013259453542634318,0.12244348843746228,0.0017785799173585957,0.011946519762935173
109,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,,0.0013081115029343763,0.012807858731225325,0.0020163499779519193,0.008942302219139924
