,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.34928570954292354,0.34928570954292354,0.03785736872072503,0.03785736872072503
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2599290189933966,0.6899739214845997,0.03501977168872508,0.04766958920252344
0,sett_cutoff,,,,,,,,,0.08075919294827952,0.08075919294827952,0.01982233860261056,0.01982233860261056
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.010597483228630421,0.7172012480064293,0.008023144080744095,0.04885566650435694
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008153582334834977,0.7109051779067385,0.005133508968810103,0.048720454339930344
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.007581189180159049,0.09248253694184573,0.00459027420257412,0.019043593222149324
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.006042711755117374,0.7081152911088925,0.0030056022545669357,0.04756743386884943
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.005886489104863123,0.7028378038556404,0.004533071974407649,0.04383152882436245
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.005787456863533281,0.7024260115893388,0.002495915302377238,0.04676829713798189
2,sett_exclude_features,,,,,,,,,0.005393296979319343,0.005393296979319343,0.0034071193503643145,0.0034071193503643145
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.004906499299632926,0.3583343636559636,0.003447694273019877,0.037812529385449246
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004675848620002056,0.3577908737291878,0.0028230234162757227,0.038086171751154696
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004272509901039541,0.08886101841558128,0.0018195307183902125,0.019418812686855132
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0042223529715067765,0.7476863063776183,0.002918406494845746,0.04332232599018284
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.004148636408014503,0.7402732725127956,0.0026424520514933773,0.05153228551046437
6,sett_preprocess_income,,,,,,,,,0.00414215481340716,0.00414215481340716,0.003463773028156871,0.003463773028156871
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.003863230029193292,0.7494771079868519,0.002077821762369651,0.04811419658379418
3,sett_exclude_subgroups,,,,,,,,,0.003829315566262201,0.003829315566262201,0.0017739692045623345,0.0017739692045623345
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0036712141837409963,0.7392832164349094,0.0031704067989998747,0.04316834414314192
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0036082784141126035,0.7331237086288578,0.002328967360390184,0.045133561401152086
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0035088542499889888,0.35818786077223186,0.0021100270753082826,0.03885917302343366
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003480380140992723,0.7409869947837748,0.002793381497245976,0.04942712621958458
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0034251376447767042,0.37267822717627863,0.0026995473084384593,0.037989329186449934
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00328722725946094,0.10228063152970805,0.0022573363214012437,0.019669362945707935
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0032634540606596065,0.3685284164441263,0.0034242589419303847,0.03779951313197393
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.003217256626762626,0.3535295637661432,0.0032550860266701617,0.03537472535662193
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.003213647808190767,0.09810946635754203,0.0022619321112600376,0.021090128324620608
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0031994010209442903,0.7341732495298368,0.0016599432223297313,0.04837536605696944
10,sett_cutoff,sett_exclude_features,,,,,,,,0.003196506639867107,0.08934899656746598,0.003108791826011352,0.020973028184292215
25,sett_exclude_features,sett_model,,,,,,,,0.003161483094115197,0.009836871764923745,0.0036357992141409804,0.005691899714320881
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.002994256262138598,0.10568193861594875,0.002653989504370726,0.017438694611301018
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.002781885001048514,0.7314889094869477,0.0022508308249527586,0.046167867772200714
12,sett_cutoff,sett_model,,,,,,,,0.002749014724086182,0.0847902993638549,0.0010808815990366349,0.01998772761925905
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0027335390429580717,0.0845193295876946,0.0019430286803452834,0.01925927774566483
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0027141746387987354,0.7283756088436661,0.0018229321392773678,0.040227412942123814
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.002679623484382816,0.10576853869164496,0.002058116548936054,0.01972263401069897
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0026718869202873976,0.10202570481781152,0.002355631742338771,0.02080975541872073
38,sett_model,sett_stratify_split,,,,,,,,0.002633526825630437,0.35320132806004323,0.0011399208467648874,0.03720039606686989
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0025231118463387605,0.09906469792349532,0.0026097480708949356,0.022363661250534492
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0025032057907061187,0.3710992266119587,0.002094121498256268,0.039897268223150074
36,sett_model,sett_preprocess_income,,,,,,,,0.0024797609128259985,0.007904007417722361,0.001894576957751355,0.00435670941033729
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.002432103360219075,0.722324151504814,0.0018780806201383266,0.040820929306334075
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0023992389710295143,0.36610942493553156,0.0016093596806777634,0.03696904419871414
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.002383797322289288,0.37132664510917984,0.0013018944796635101,0.038268541214735094
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0021698153627066003,0.09982116083555906,0.0017904325351448442,0.018646420008705478
