,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3754043899564806,0.3754043899564806,0.026043297583585513,0.026043297583585513
16,sett_cutoff,sett_stratify_split,,,,,,,,0.26081491379407973,0.7145474355676915,0.022012234481371136,0.04123049262035269
0,sett_cutoff,,,,,,,,,0.07832813181713108,0.07832813181713108,0.013248859212029028,0.013248859212029028
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.010288391934139668,0.7429372914972874,0.007635004230227569,0.04110691985098
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00791250783918525,0.7313742174152779,0.003344102775732367,0.041327412992484186
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.007788619879877925,0.7340502231931649,0.004074007245344504,0.03783485516866341
3,sett_exclude_subgroups,,,,,,,,,0.007331964415602847,0.007331964415602847,0.003410748139275888,0.003410748139275888
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.006426627657527852,0.38916298202961136,0.0032202705312328085,0.026064794063504093
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.005734687456198208,0.7319006671018463,0.006273048863400805,0.04417078850603341
7,sett_scale,,,,,,,,,0.00565250590855546,0.00565250590855546,0.005626325543570694,0.005626325543570694
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0049326863454934484,0.08493631999206629,0.0030182587633932377,0.014240035343702136
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004639558293194913,0.7281995632619407,0.0032020552368229585,0.04023247799920137
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0044800092959283305,0.7723631047879951,0.0029207257019712753,0.04042476013361836
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004342871922325535,0.09000296815505945,0.003170357119552961,0.01423561783501639
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.00418876190413551,0.7615498096849413,0.004694071118058469,0.037599695736976774
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004131878629433672,0.08617793252296546,0.002258751444384828,0.012406527352395124
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.004054055020988342,0.7746277550646976,0.003453762552396445,0.03608692437286878
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003864367039761129,0.3829866790726425,0.0016939821933123155,0.023796461355293553
12,sett_cutoff,sett_model,,,,,,,,0.0037655569956539857,0.08393099481659462,0.0022368252003132504,0.013898122466722177
2,sett_exclude_features,,,,,,,,,0.0037179220764007002,0.0037179220764007002,0.0030133799806016746,0.0030133799806016746
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.003499865023412477,0.10332674765082328,0.0032660586852230693,0.01300386306298731
44,sett_scale,sett_stratify_split,,,,,,,,0.0033599157256324398,0.38441681159066854,0.0029489084236612373,0.02848890219648138
38,sett_model,sett_stratify_split,,,,,,,,0.00331141100893765,0.38055310696922784,0.0018156561074563061,0.026342365460628382
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0030927543147758023,0.10090198906225682,0.0022628470774912032,0.015242302784228546
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0030607682883465335,0.7539057119285878,0.0022944963152652415,0.043464224838591914
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0028228642394591353,0.39933796687477574,0.0019340067084947282,0.025637609325406967
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0027443055568571496,0.7685240372103307,0.002376074105421399,0.04353570448258156
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002659642131018954,0.4013790270433091,0.0018874121557768296,0.02363881309503014
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.002641646635110316,0.09479348963766321,0.0024489641975105857,0.016293946778866714
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.0026409027722565717,0.7585146272340049,0.003974890800550064,0.04497498993251039
15,sett_cutoff,sett_scale,,,,,,,,0.002606122443768737,0.08658676016945527,0.003942052003680058,0.017016902807924367
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0026056476694546293,0.7213293192594774,0.0018005885603546716,0.03978098804793281
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.002488641096867192,0.7638051740108855,0.0017227023536598054,0.04135787593032998
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0024043812261191023,0.37948427301204146,0.0014934671604922578,0.025884293001395404
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0023816783037152152,0.09611140491963091,0.002293440954613107,0.012252067934540322
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0023717364729945595,0.7521585745456225,0.0023594643578737718,0.04128101888386001
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0022726648512351247,0.7573921801447547,0.0018562888121166539,0.03820975038487781
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0022603215109701434,0.7539023285425757,0.0012730984476980272,0.036206274451077346
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0022178146360698927,0.10206251524911225,0.0016988759303191285,0.01716052898865271
30,sett_exclude_subgroups,sett_model,,,,,,,,0.002203403592958026,0.011372674012370422,0.002082322535835961,0.004890089182459429
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.002178263071248732,0.12211463761403873,0.0023627167324405613,0.016022174183016494
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0021534333428526106,0.392237760521729,0.0020126930072472122,0.023871858643167963
108,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,,0.002112286423908591,0.39517595388514104,0.002989419158165195,0.02726315774428895
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0021003278518233045,0.09674758185540748,0.0018229626916538295,0.013756828787561242
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002079148144188188,0.821567887148803,0.0019324910022923438,0.03526750513376862
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0019741137665169805,0.013024000258520527,0.0010323938463694614,0.004909017834787598
25,sett_exclude_features,sett_model,,,,,,,,0.0019489310934867076,0.007504159173696956,0.0018529753037284998,0.004576571239969072
4,sett_model,,,,,,,,,0.0018373060038095485,0.0018373060038095485,0.0016127647366618772,0.0016127647366618772
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0018323620614613956,0.09967817729728787,0.001410445389654702,0.016578687253557944
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0017371094784535952,0.010619270514601126,0.0014393931095828469,0.004592880515337327
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0016975431870188138,0.1148275969727371,0.0023472186246752407,0.014881293231642714
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0016882898803026842,0.40144679764976066,0.0015934593588373327,0.029084150296869348
6,sett_preprocess_income,,,,,,,,,0.0016755018294417633,0.0016755018294417633,0.0011189647042335864,0.0011189647042335864
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0016600927551885375,0.3961376167461925,0.001846568466941832,0.025821392158445235
36,sett_model,sett_preprocess_income,,,,,,,,0.001612660011023074,0.005125467844274386,0.001427500308930659,0.00272428310749454
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0015831041056586967,0.014567574429817005,0.001358595154991951,0.005024980101410443
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0015642918845808365,0.3878099419203926,0.0012946940432511651,0.02697360675366659
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0015629027741693455,0.3952822505550392,0.001197816259474071,0.025226868290220663
5,sett_preprocess_age,,,,,,,,,0.0015501966205446816,0.0015501966205446816,0.001387469751743191,0.001387469751743191
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0015068389006262606,0.09596184561969713,0.0012410950321246929,0.017446441681836417
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0014851869357499817,0.7531051673702868,0.0014482988024648962,0.04462982892264411
128,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,,0.0014671460012258247,0.3912238990221356,0.0011513437964772513,0.0281447727365864
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0014477565988229156,0.09532635937033543,0.0014189334472618884,0.013725764320225386
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0013994174717567266,0.3895584616735719,0.0009660428527777916,0.022508796565494118
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.001379996587567424,0.020393637536342234,0.0013980837405219346,0.008417101999132023
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0013569797495264378,0.08123530818720219,0.0009147256272148675,0.012704646088118336
56,sett_cutoff,sett_exclude_features,sett_scale,,,,,,,0.001293416556117888,0.09679454418580963,0.0012131266739322968,0.016381871780202853
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0012755256468974909,0.7448976801515218,0.0010432403588474574,0.03562387450699459
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0012690596522602266,0.3782236462292855,0.0008202847573131665,0.026006762404657623
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0012628688413275188,0.7419458296598785,0.0010059416642054177,0.038772278673353366
42,sett_preprocess_income,sett_scale,,,,,,,,0.00126005837468038,0.008588066112677605,0.0010051528608971628,0.005740073421529584
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.0012420183044687895,0.11993060342142181,0.0011373119387053663,0.014553918125903429
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.001234658905831792,0.010242125150876403,0.0016573358669742235,0.004323025062702769
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.001219850221907794,0.09104339418932728,0.0013407586379236176,0.011115877347081467
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001204106346203425,0.41824047925858365,0.0008862007390124537,0.023348016549522236
124,sett_model,sett_scale,sett_stratify_split,,,,,,,0.001168221146280165,0.39180666100837136,0.0008579519974401189,0.029510567319611263
319,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0011005995297058697,0.7994827672211547,0.0009801098303843531,0.0419133142373811
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0011004071382562882,0.018150148570157995,0.0011450377061580348,0.007134065925876855
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.001098686216702664,0.11624869611142513,0.00127681643955584,0.019531723596834194
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0010924820736118372,0.006485905979454301,0.0010506556610089732,0.003815786613714261
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.001083457055228237,0.08848261207871295,0.0010852973932683565,0.01254276677907267
37,sett_model,sett_scale,,,,,,,,0.0010729112586754701,0.00856272317104048,0.0009366788092576705,0.006474875180204475
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0010708347141486242,0.8052402008208095,0.001051144514112628,0.04587575833222411
28,sett_exclude_features,sett_scale,,,,,,,,0.0010645667544020984,0.010434994739358258,0.0012859402661724256,0.006132268371654787
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0010240562160377966,0.7930246210017227,0.0006777030789978342,0.04095137543171372
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0009463195224597555,0.11644514675613352,0.0013153514022230472,0.018119605402758483
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0009443070615569606,0.022268484088693745,0.0009022409150343927,0.005582114999492552
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.000928767990015746,0.11088365203102114,0.0009133114725781558,0.015146790611188047
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0009141801656541348,0.7974965011014301,0.0008766774891209145,0.033582973378008786
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.000882418819439976,0.3848157658982917,0.0008016571006935722,0.026399327386268007
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0008778463694041456,0.11625094464031789,0.0009344467468990669,0.019957384177798645
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0008630204887636697,0.8045982270192565,0.0006430417693583216,0.03467847144021504
183,sett_cutoff,sett_preprocess_age,sett_scale,sett_stratify_split,,,,,,0.0008614505126976,0.7410130588317989,0.0011179504201073622,0.0445792651065163
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0008524408377764706,0.7374456171004959,0.0008705144626632359,0.03926264558355727
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0008471623244109425,0.11695924008374545,0.0010289753905721364,0.01607077133460543
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0008384195613894402,0.8111496630327759,0.0006051526126139245,0.04135263627526098
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.0008317623233827067,0.387376132743213,0.0006704067361245695,0.023890054010475493
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0008241177069675201,0.7935843814903052,0.00042439735971381854,0.03620630942164901
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0008129807385401997,0.02049417602380025,0.0011849329882313198,0.0063032639306872034
