,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3783677023671359,0.3783677023671359,0.03415099991367729,0.03415099991367729
16,sett_cutoff,sett_stratify_split,,,,,,,,0.25940942803454736,0.7221208792642592,0.029264896618732675,0.054143351653972924
0,sett_cutoff,,,,,,,,,0.08434374886257599,0.08434374886257599,0.01878563032291898,0.01878563032291898
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008311425838511641,0.742742523358398,0.005772296358742361,0.05388902126995764
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007935640977171875,0.739952248219167,0.003599429314659327,0.053658240704050376
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0075148897952399315,0.7431978735847992,0.004154208791504833,0.05148125398742985
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.005436057612924799,0.7365320175542324,0.006365313483883073,0.039985029248680345
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.005122389858725245,0.3886081262418504,0.0027794948839539473,0.0327856552050754
2,sett_exclude_features,,,,,,,,,0.005118034015989287,0.005118034015989287,0.0037232229017295244,0.0037232229017295244
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004891654350143224,0.09271400122450665,0.0034202974605465988,0.01768087244352098
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004736720887591504,0.7362927349767106,0.0018207649215630263,0.055608626023958656
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004637384672626896,0.10731580339430391,0.004537252624875595,0.01686557546051882
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004552860616938286,0.7756870996762091,0.003491145008361182,0.05180285944740654
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.004463067869361736,0.09078316006736006,0.0071863979974131145,0.0144876956895948
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004169172276961451,0.7731152689344801,0.002285633255360134,0.05123830835973466
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.004078840546516055,0.7771799805157031,0.0019291331075744328,0.05266778781277956
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.003939965893696486,0.3857862662726198,0.002758203764186675,0.03322947446314674
12,sett_cutoff,sett_model,,,,,,,,0.003792851958621722,0.09103080385176336,0.001916692360192745,0.018212716219009946
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0037663306405308523,0.10815136881264531,0.002089230806192892,0.01903785709812429
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0037662873688540394,0.38412256024233254,0.0023774274650501174,0.034113892208453234
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.003680276949663294,0.09001259631858186,0.0023024620118152184,0.018448541960415194
3,sett_exclude_subgroups,,,,,,,,,0.003478598011787428,0.003478598011787428,0.0019952414265288674,0.0019952414265288674
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0033216806505855165,0.09278346352915079,0.0015167285353821962,0.018916118517120363
30,sett_exclude_subgroups,sett_model,,,,,,,,0.003277362507983001,0.009650163550336075,0.003316130231277104,0.005127237991587128
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0032313222810330068,0.011827954308809722,0.0022954577971478567,0.0055610714003184805
38,sett_model,sett_stratify_split,,,,,,,,0.0032086729885485977,0.3844705783862501,0.0022100161881887224,0.03457977816103357
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.003126388204647028,0.10469377856265397,0.0018590724355693632,0.01863801445590304
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.003093375245458977,0.7653916801126561,0.002031518663112968,0.056211702436497306
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0030381178023075753,0.10400563610070543,0.004586220417874829,0.014862233864071631
4,sett_model,,,,,,,,,0.002894203030565646,0.002894203030565646,0.0025288801362265503,0.0025288801362265503
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0027821622589295036,0.7663330494083642,0.0028140359463634653,0.03314384649234638
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0026965256103791205,0.7625421560183271,0.0015170493195301817,0.05535992549823823
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0026935940734958094,0.3995014681741293,0.001794237293759638,0.03410600631499588
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0026857957683306946,0.7647702243504192,0.0019559751401309203,0.053015932395064386
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.002645599565355019,0.3978121043650721,0.001929048162582719,0.03328786873849983
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.002577125403254192,0.7577812252996171,0.0028309497995510366,0.042415656110564706
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0025356694722642502,0.3828797151748225,0.002997978299537813,0.0322221968882859
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.002462958449056157,0.10097772459815887,0.0027796814470348917,0.014427322727241195
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0024589928185825252,0.10227583082490907,0.002727901642418023,0.017089324748999313
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0022839693686853373,0.4015419817970527,0.0009943205041873775,0.03202518448984692
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002205237739693238,0.8293411463790177,0.0018685413119257288,0.049747851786652565
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0021897966045283175,0.10175276381589549,0.0017355167361378292,0.018063215087071087
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.002189331246598688,0.7612712115263902,0.0022045614316658683,0.03755892121426733
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0021513835999559337,0.10053075702959519,0.0013659016360687507,0.017595979489594245
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.002113605646746805,0.13148472102977815,0.0017591136231333146,0.01879596009982531
25,sett_exclude_features,sett_model,,,,,,,,0.0020968718396687713,0.010109108886223704,0.0012783044424343997,0.005323727128105412
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.00206632411188329,0.09965695428002055,0.0020893841087469543,0.014092903591752548
6,sett_preprocess_income,,,,,,,,,0.0019885705063425753,0.0019885705063425753,0.001506532366463807,0.001506532366463807
5,sett_preprocess_age,,,,,,,,,0.001976343335422342,0.001976343335422342,0.003797460507265848,0.003797460507265848
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018904207545035869,0.3937955791378204,0.0011900522578867582,0.034899019601754414
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.001814105869107133,0.0072690472163169035,0.0026168062365531453,0.006043855916628003
36,sett_model,sett_preprocess_income,,,,,,,,0.0016797221218700256,0.006562495658778247,0.0023327800463034585,0.003155835642256153
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0015667560133484906,0.7615657876429316,0.0016896174956978487,0.03712992043215707
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0015450018296489225,0.3936573867790625,0.001464159258260091,0.029771852561254954
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0014909436519512905,0.39446605712558175,0.0010314916073389014,0.03350497563184965
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0014339893258140347,0.0069011578439440386,0.0015549036734227553,0.002945214913037871
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0014170354080172895,0.4211700055669598,0.0011031592356615487,0.032645238031506714
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0014142464540991462,0.39688788679735676,0.0012126661868877518,0.03257584499768242
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0014034586428858227,0.12330228570128943,0.001516767375351459,0.019548246856372478
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0013963964438835903,0.8116543545999395,0.0009251309381497591,0.05535702160090759
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0013946843562729792,0.02149107604330012,0.001247288893373273,0.00842723648519384
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0013902474710147479,0.8081190633893843,0.001093977133156705,0.053525292298500136
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.001365184555328227,0.12290050483809833,0.0015429399669429004,0.01665709318301593
