,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.35495340289513266,0.35495340289513266,0.03844181905670845,0.03844181905670845
16,sett_cutoff,sett_stratify_split,,,,,,,,0.23671780412441712,0.6661771221806296,0.037424489005324746,0.059949238396019365
0,sett_cutoff,,,,,,,,,0.07450591516107974,0.07450591516107974,0.0162175491220841,0.0162175491220841
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008492845374637133,0.689648163940165,0.004643376128573902,0.06062394284436679
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.007397134125497385,0.6874712192567871,0.004582949438683318,0.06217299241281787
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.006241163982100763,0.08532355679062645,0.004325636528414428,0.012905727527927818
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.005996120731881178,0.6799590333318031,0.004007436073868589,0.05544107868107737
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005765935565097717,0.08529863622904249,0.003949255158202417,0.016638803984594278
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.005271293967543988,0.6820288140184985,0.0039269586426300745,0.059752839842580584
6,sett_preprocess_income,,,,,,,,,0.005026785502865033,0.005026785502865033,0.002248022748176708,0.002248022748176708
2,sett_exclude_features,,,,,,,,,0.00480591108239198,0.00480591108239198,0.00325977401345144,0.00325977401345144
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.004795112156455747,0.10174255146060263,0.0047663296512803184,0.018179161844494078
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.004692956834102344,0.6775056798883847,0.0036486405204673245,0.0608068840380939
3,sett_exclude_subgroups,,,,,,,,,0.004576477647445938,0.004576477647445938,0.00343008948735078,0.00343008948735078
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004160554755351651,0.36369043529793027,0.0026978894490499576,0.0384148416233304
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.003969457922715837,0.7221675203703539,0.002278663399096306,0.06463778053294045
12,sett_cutoff,sett_model,,,,,,,,0.003548811770795274,0.07968263465126721,0.0027169080912389674,0.01587498701175661
10,sett_cutoff,sett_exclude_features,,,,,,,,0.003525774087256504,0.08283760033072822,0.002794094197600584,0.019179463406353472
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0033519517759386607,0.7190054752257797,0.002215095186854944,0.0634893685997077
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.003305397095836507,0.09581693331234842,0.002823073768627546,0.012722928222265834
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0033046479371090344,0.7142578313211003,0.001831231642564513,0.055101181277207895
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0032921973438719606,0.012674586073709877,0.002643242041532256,0.006188489127226912
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.003260001778934522,0.708806646482265,0.0014293884437575513,0.06402851603000802
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0031510999362393045,0.7030905219866463,0.00326939942285658,0.0631105176242381
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0031042418826974756,0.36308443028069515,0.0016963025451105437,0.038783362587101376
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.003082091659664459,0.09450690388415461,0.0024121060231327633,0.017877513897005263
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.002975798234683485,0.09585156218337437,0.0024769135766453646,0.017300725885030763
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.002971957996754755,0.7110698619599266,0.0030008181245947917,0.06357952312878344
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0028998177450209836,0.07885571272953393,0.0022053856640672728,0.016782387580027914
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.002850012706496666,0.711374772795675,0.0014134618219033234,0.05609802740833484
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0027308819231561783,0.09405371141466985,0.002018670669776395,0.011777756235375934
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.002664193528586885,0.09160128441119142,0.002964493972680244,0.0204248917295257
38,sett_model,sett_stratify_split,,,,,,,,0.0026090709291048935,0.35919038154362976,0.0022638339551957188,0.037356506997847906
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.002543194842046259,0.7042505608139186,0.0026237737967159244,0.053670329213033434
7,sett_scale,,,,,,,,,0.0025223313123539405,0.0025223313123539405,0.0035342805610050934,0.0035342805610050934
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0025131002011501836,0.3766458709798921,0.0014542823160048912,0.04005954564677891
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0024387696873762015,0.709336109459827,0.0014932460143497542,0.06022935381403081
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0024313931349159838,0.10085897908875438,0.001817698980087052,0.013752206957541938
36,sett_model,sett_preprocess_income,,,,,,,,0.0024004082294609604,0.009055101451718176,0.0019208271605291962,0.004023614718042753
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0023113080952492076,0.011914571245560177,0.0018829042729452546,0.0043775431080702604
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.002285803305198613,0.3586891860237645,0.0016849921291186122,0.03856948143114208
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.002268761351171036,0.09220505639988971,0.001674813648011327,0.021433151111269783
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0022487127006764586,0.3620080266782011,0.0014290913080389793,0.036596603571845535
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0022064512611181543,0.3721451251432435,0.0012910913602696527,0.03732340876104021
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.0021681638121444262,0.36966166660239946,0.0023846175434279783,0.03665621277801281
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.002138178232003262,0.09298390818999817,0.004452895766884829,0.023468419335208428
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0020679186409186616,0.6981869414073036,0.0015050794887780336,0.05474960330803662
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0020663581714793593,0.37610361459635,0.0011724737939560945,0.036535484328956425
30,sett_exclude_subgroups,sett_model,,,,,,,,0.002011259935698015,0.008215645302536136,0.0012966805183129192,0.004840146395131134
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0019240189127145233,0.11794965566151729,0.0023487312751074513,0.01972555539531945
25,sett_exclude_features,sett_model,,,,,,,,0.001921975227802999,0.008355794029587162,0.0019696747028245514,0.0049958967835527284
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0019060353055357498,0.11993204345788794,0.0019523482347881776,0.01544979591757071
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018954232170732231,0.3716172403757264,0.0011723350150694624,0.037230947666933044
126,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,,0.001888397652130275,0.37048498948845077,0.0011743909373783435,0.039083903981652894
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0018324414866550595,0.6728254457258197,0.00246095329016658,0.057460779170855215
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0017822699417647215,0.09669057334798864,0.0015565694344495168,0.019851190512523764
39,sett_preprocess_age,sett_preprocess_income,,,,,,,,0.001776378426993469,0.008253143753291704,0.0017166822765117972,0.003215428272102267
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0017496929834221195,0.008005583889247301,0.0015863161629312132,0.0038695387722176957
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.001740041891667195,0.08934856315571504,0.001974711005399236,0.011748202226707215
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0017147409192181402,0.3731317769905147,0.0013611770033976499,0.036914083407403736
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0017059042232262787,0.36987288477772745,0.001787956995627751,0.03391419219506296
35,sett_model,sett_preprocess_age,,,,,,,,0.0016689853245509365,0.004746872867376322,0.001671524481363822,0.003407809151531331
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0016494751324330403,0.00767593260331218,0.0010526019082207807,0.003802249684150285
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.001648630572108819,0.11911366405441255,0.0014995673564704548,0.02136352411888446
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0016463984391666216,0.08734781598343894,0.0012660556192289852,0.015940394500825062
4,sett_model,,,,,,,,,0.001627907719392183,0.001627907719392183,0.001971665646526509,0.001971665646526509
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0016158051693512295,0.015566250196047012,0.002207177387108722,0.0067605991092517855
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0015883631704633745,0.11046822809042747,0.0019468704742667327,0.01241728119552128
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0015402610689413884,0.3706159546279365,0.0008615334144192677,0.038359943588171644
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001536032998811074,0.7628115252124592,0.0011340499162778512,0.05668365490491988
15,sett_cutoff,sett_scale,,,,,,,,0.0015303837804934563,0.07855863025392715,0.0018754278561847817,0.017927801844028805
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.0015160479631092418,0.36611119795992175,0.0016943529487750402,0.03714513895345487
139,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0015135804829456475,0.6975690105047325,0.0024489381706401746,0.05948078425576072
42,sett_preprocess_income,sett_scale,,,,,,,,0.0014943786361050313,0.009043495451324005,0.002236038595123278,0.006899676839241935
5,sett_preprocess_age,,,,,,,,,0.0014499798234332024,0.0014499798234332024,0.0008594806231318588,0.0008594806231318588
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.001398862772990179,0.11692558766805328,0.0016561636033140474,0.01192206665957597
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0013824119239788024,0.12275272347577174,0.0021581377479411314,0.020374576247843324
251,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.001351455507525019,0.3851700935480184,0.0018132854541011258,0.03732806725832293
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0013048709432689938,0.7567498085815871,0.001257418537293388,0.06388418319918707
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0013006701163598019,0.756877785325729,0.0010792317234499782,0.05545725550491026
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.001297446077731394,0.01925159320784273,0.0012610842915981098,0.0072083352015757
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0012779820075329504,0.011110678592789962,0.0010604599614554159,0.004002856193051856
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0012731595481468249,0.7535460340220905,0.0015536880309680978,0.06650021267517306
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0012042454158935477,0.7463289975040277,0.0012152838858363777,0.06932162704252867
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001203797969200239,0.7637993983950473,0.001267239021085999,0.06934693138620907
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.001173180691377612,0.39186701904084864,0.0009009320831537179,0.03921421349770145
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011683134029710236,0.7448751721041722,0.0007211486534816593,0.05551341774152105
159,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,,,,,,0.0011654521184804667,0.11246665810167085,0.0014219727208346826,0.022824289211132734
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0011546126891031107,0.6995286471186615,0.0013376537833321232,0.060140981413215895
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0011543482444754736,0.6998249454641124,0.001196722391008969,0.058000699938810935
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0011390441521477172,0.018662778165145957,0.0014392997163870556,0.007281999848535907
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0011300476354265706,0.11112106640698186,0.0010399513611298718,0.018756158730907094
242,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0011224952743453295,0.38439556625510996,0.0009965643486856662,0.037025890731820374
247,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.001104618361982078,0.3894199058466117,0.0012089055813231718,0.0400073579940846
51,sett_cutoff,sett_encode_categorical,sett_stratify_split,,,,,,,0.0010819693995008793,0.6690957085460056,0.0008944892823786239,0.05941095340345453
113,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0010791210956073993,0.017869525724027287,0.0010774725637262659,0.004868593184226846
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0010652699659232713,0.7456386488390944,0.0007205137519298847,0.05273065002700802
136,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0010554782839113167,0.10131147888549477,0.0015787991858084711,0.01099275266568439
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0010383689210050895,0.019274097877608164,0.0008004543229851702,0.007469001360129073
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.001032085843764686,0.02232274752312175,0.0011970112285509872,0.006609728448938475
37,sett_model,sett_scale,,,,,,,,0.0010320733462029375,0.005182312377949061,0.001224642019737469,0.0045652457519267655
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0010283164883862746,0.0857957395787038,0.0014669911834369956,0.018519119325055493
109,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,,0.0010173932198547092,0.014001478802808024,0.0009526422910078226,0.006872896972832486
