,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37867238170984735,0.37867238170984735,0.02414637882359849,0.02414637882359849
16,sett_cutoff,sett_stratify_split,,,,,,,,0.24047689916502496,0.703008957696255,0.036993354059514864,0.0562361467128995
0,sett_cutoff,,,,,,,,,0.08385967682138266,0.08385967682138266,0.017102165766674584,0.017102165766674584
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008028853346598103,0.7213545827280874,0.006060354272883232,0.05715597968313957
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.007405834459504239,0.724632659902918,0.00502713210032581,0.0514356169878012
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.006582758470475295,0.09462389877075406,0.005042302119963312,0.01568646160689223
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.005599729530023462,0.7208008609154434,0.0036863303812988348,0.05480150495468138
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005085664094503258,0.10375786050658437,0.004762052569450904,0.016958556373747952
2,sett_exclude_features,,,,,,,,,0.00460566343982011,0.00460566343982011,0.006169521047124171,0.006169521047124171
3,sett_exclude_subgroups,,,,,,,,,0.004181463478896105,0.004181463478896105,0.002457542943081264,0.002457542943081264
38,sett_model,sett_stratify_split,,,,,,,,0.004099978834486963,0.38499949745049145,0.003533074787287915,0.02437618936911796
12,sett_cutoff,sett_model,,,,,,,,0.0039896559445903035,0.0900764696721301,0.0028966986345181503,0.015895988761993916
10,sett_cutoff,sett_exclude_features,,,,,,,,0.003968106221030937,0.0924334464822337,0.002848187582290269,0.01714816231329869
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0038352141769948172,0.7158203437663027,0.002205670601259828,0.056781941920433295
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003690122600498994,0.7472368558442777,0.0036294964319347916,0.06290243449161632
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003618404028313888,0.3868964491779813,0.0025434791039996574,0.023915670319555778
