,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37135643464960466,0.37135643464960466,0.025878780193243273,0.025878780193243273
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2859253718161858,0.7386427567052707,0.03524326359578162,0.04199470230538432
0,sett_cutoff,,,,,,,,,0.08136095023948026,0.08136095023948026,0.014670199294067333,0.014670199294067333
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.009290493600020534,0.7612549130322033,0.0073874617817605145,0.04261074330313561
2,sett_exclude_features,,,,,,,,,0.008821189263137685,0.008821189263137685,0.005460064533294261,0.005460064533294261
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.007095297976575236,0.7550346211665871,0.005106173528297733,0.041433878769973884
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.006088138524283505,0.7628049545760057,0.003173000152067185,0.04029190429579223
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0059908632396961725,0.7514177725082819,0.003831571991826035,0.04032286695327807
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005765373090368876,0.09038272925786313,0.0053614631133771275,0.014849618426433675
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.005237061045200091,0.749267557919759,0.00580667344486141,0.041054870297129654
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.005003183189527724,0.38518080710227,0.003221929125276471,0.02400931298762097
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.004417902478994017,0.10807423398313898,0.0045525737850361835,0.016737264389534687
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.004416660622547799,0.7936658248774615,0.0028310685382779595,0.038292490115074816
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0042998837085291095,0.37891272428614775,0.003084334285584672,0.026606052005281256
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004249686893786157,0.0944318263964041,0.0038169788110435495,0.014826439515191928
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0038889650921621966,0.7961867240693861,0.0032469140947133986,0.04505050773957348
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003726542660808843,0.7841258889731404,0.0031210072181593177,0.04245474591125514
