,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3606189083934104,0.3606189083934104,0.04098874969214472,0.04098874969214472
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2689388022974919,0.7048791064855771,0.040035561095874736,0.05064864269395675
0,sett_cutoff,,,,,,,,,0.07532139579467471,0.07532139579467471,0.00805995858864896,0.00805995858864896
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00884552012010974,0.7289410069103921,0.006208129414987805,0.049033435678722495
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.008508774509591446,0.7282191125102524,0.007677804895233103,0.05477851081951748
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007800821280905756,0.7221869663787758,0.006280118583985533,0.04733882025197361
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.007783907464427462,0.0873779900248489,0.006258607289496728,0.009322499266153304
3,sett_exclude_subgroups,,,,,,,,,0.005617896146663935,0.005617896146663935,0.00365633906939721,0.00365633906939721
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.005243003763275399,0.7611238914791036,0.004977573698069336,0.04800320531265277
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.005163284464193006,0.37140008900426735,0.002908712052577053,0.03924888356431372
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.004881019605163456,0.7178142026453297,0.0020555261577671763,0.049254008678261525
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004730093964914928,0.7168663478158173,0.0021999972961055207,0.04911284181092284
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0044351996938484725,0.08537449163518712,0.0027553539930840368,0.009714046770672852
6,sett_preprocess_income,,,,,,,,,0.004272686765746709,0.004272686765746709,0.004827039576530178,0.004827039576530178
12,sett_cutoff,sett_model,,,,,,,,0.0042390579106311825,0.08146003216344204,0.002251217139904841,0.008134648767182319
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.003967608471339394,0.753154818065735,0.002183594502995921,0.04699978348576809
