,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3369996468253416,0.3369996468253416,0.03033124279637085,0.03033124279637085
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2567288236366338,0.6737307911397342,0.043604075794742826,0.06255125877524188
0,sett_cutoff,,,,,,,,,0.08000232067775884,0.08000232067775884,0.0209091980081138,0.0209091980081138
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.010348522639753825,0.7006554113878293,0.008047977940508964,0.05710988027422353
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00876419956302508,0.0929500237565571,0.007372373554246242,0.019695719241235452
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008287140339020194,0.6954336644965373,0.0076090709377765854,0.0636199868522476
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008235712205351641,0.6924369158652397,0.005604435626887632,0.0639456705660607
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.007427718169390947,0.7398969332295592,0.0060320659175383306,0.05698695086882305
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.006384632604224052,0.6881100524765476,0.0052117498143639555,0.057357004289705645
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.00590337143702128,0.6906695496539299,0.00421594774591764,0.06159867400881763
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.005083219668994376,0.34628517674047266,0.003990421021211398,0.029045754051084675
12,sett_cutoff,sett_model,,,,,,,,0.004628264310773832,0.0864233753641408,0.0038114253595016288,0.019373796347067526
2,sett_exclude_features,,,,,,,,,0.004313500090574734,0.004313500090574734,0.004354325930463497,0.004354325930463497
3,sett_exclude_subgroups,,,,,,,,,0.0042023102461366925,0.0042023102461366925,0.0031301528972664705,0.0031301528972664705
6,sett_preprocess_income,,,,,,,,,0.0041835035157731905,0.0041835035157731905,0.0031167003355348647,0.0031167003355348647
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004130203102651792,0.08833483402654732,0.0023669027393548475,0.021514419922178358
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004105530686473433,0.7331330409871339,0.0032955831860460305,0.058739011324985435
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0040793978498191805,0.7283726356725798,0.003284819030798791,0.05801625633370564
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.004073842368803385,0.10747751450585027,0.0026385030410993344,0.020610778505210467
38,sett_model,sett_stratify_split,,,,,,,,0.0040493578337718935,0.3428417950347217,0.003090903802179158,0.03144813074232779
10,sett_cutoff,sett_exclude_features,,,,,,,,0.003980726886310896,0.08829654765464447,0.00209891749629206,0.023635587403146262
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.00391595291503116,0.3601341627325213,0.003065567044711973,0.024819010220378083
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0038162704214072937,0.721791760973054,0.0022490003457908336,0.06203204641405045
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.003807294753202174,0.7240480727842693,0.0023347014144661817,0.06683133168811224
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.003628394529542947,0.34481154487065774,0.0022269915527614974,0.028269934061446487
36,sett_model,sett_preprocess_income,,,,,,,,0.003293099546451538,0.009269393437832854,0.00388346703150437,0.004716250233469125
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.003251110829657143,0.7147368613548191,0.0028430724848195685,0.05612202717394371
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.003203269077971636,0.35715006170446095,0.0029152902421537893,0.03184409821771797
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00316960556290257,0.10583378355229317,0.003416572762047118,0.017060581942913308
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0030500239902682604,0.10070393978772953,0.0022076321168891366,0.021916737807263394
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0030310349630428748,0.08535838016821842,0.0024354865475723565,0.021703389873609636
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0030304509677237432,0.7233523801270918,0.0017502529527126764,0.0642394635774038
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.002939384498839609,0.10245198939013589,0.006549660278139705,0.02399477977127121
25,sett_exclude_features,sett_model,,,,,,,,0.002936313456434836,0.009042603922617697,0.002390352041219792,0.005021652911858167
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.002932487615180778,0.10189118853308633,0.0019838563831436206,0.025383323918306458
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0028929839549716022,0.7239099310982836,0.0041247262815158085,0.04942473490088779
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0027656553962134203,0.1295245647308721,0.002970087857270078,0.020616759446102813
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.00275690109837441,0.10561104202369302,0.0031940642322933503,0.022417167247520457
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0027411601002887732,0.3440543070162051,0.0013679500197880915,0.027658369204462484
