,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3671276048522423,0.3671276048522423,0.031812396696936064,0.031812396696936064
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2730348469411141,0.7017186468960135,0.037825371209777386,0.061276327740073924
0,sett_cutoff,,,,,,,,,0.061556195102657175,0.061556195102657175,0.016455059541837798,0.016455059541837798
3,sett_exclude_subgroups,,,,,,,,,0.009746989582524736,0.009746989582524736,0.006495098318014696,0.006495098318014696
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.009046489745372876,0.7264185758450715,0.005371285187984681,0.06035104132379816
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00816412037183214,0.730370137783943,0.003937033268045725,0.05800516632609516
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006713344875427115,0.718126357284686,0.002934346557248409,0.05202349043207385
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.006162184357640011,0.38303677879240705,0.0033652485909461812,0.02958089608402099
6,sett_preprocess_income,,,,,,,,,0.005945408994688692,0.005945408994688692,0.0033894464929822834,0.0033894464929822834
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005746850416573737,0.07324845451391959,0.0031338103302331333,0.01654718873208474
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004945821855626594,0.7600154888773398,0.003476961261067592,0.048393626085871555
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.004633234378039125,0.7140577983654696,0.002626112634191971,0.057172558569571874
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0045923078572951154,0.7151888206243302,0.0026275955841646714,0.059414172192832855
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004578196575932572,0.07588138126111449,0.004566877646068338,0.021677318963113867
12,sett_cutoff,sett_model,,,,,,,,0.004396904072884414,0.06731049982488604,0.004175652404838338,0.014924259856867347
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004361257069047593,0.754504012105477,0.00413915639860417,0.04660700679197654
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0041837730403980825,0.7656333299386292,0.002388169167758188,0.05538911857863028
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.003961179792422598,0.37703419363935353,0.0025148705780726394,0.031179202265727738
38,sett_model,sett_stratify_split,,,,,,,,0.003940060791016414,0.37242506629260314,0.005839056235021296,0.028379214568372595
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.003737192812585243,0.7537180390224107,0.0022748461722723228,0.05135943669453598
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0036131535717973144,0.08867036915283326,0.00239906094903874,0.025097963494796476
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003579455077015155,0.08413248606070986,0.005125590887420513,0.013435027932627257
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0035689296097056295,0.756634530062835,0.001842275762180043,0.0578958178217283
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.003397558753116165,0.0667907250466514,0.002549888002287761,0.016840550538738022
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0033303724047230366,0.08705865950226539,0.0027057470225500973,0.021843277263262437
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0032520874035780255,0.08209773031691792,0.0038890280238208386,0.020429568964771314
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0030639452250018364,0.06767596568047826,0.0017158943216432298,0.016038123206168948
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003056063742100377,0.01585887867744435,0.002271176576689762,0.009047312730718873
2,sett_exclude_features,,,,,,,,,0.003055825352819239,0.003055825352819239,0.0019203796745319638,0.0019203796745319638
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.002868845330175732,0.39329568667714265,0.0021906549272373526,0.02658626750579509
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0027734999617245694,0.0857885551873036,0.0024500501566279867,0.02396742526367845
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0027580952932004374,0.3729415254982619,0.0017805709940781434,0.03102913577404911
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.00272094914976396,0.07674456596765089,0.003013973049323561,0.01784514977412181
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.002682358080805484,0.7395161177899008,0.0019931850002751343,0.05013066937357634
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0025989129742316104,0.39184319412540963,0.0021181548053294374,0.028125578976120207
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0025560716269720936,0.39446283480749916,0.0014494322726730747,0.029696612152080124
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0025113172915679285,0.7452577565390391,0.0023519695316540617,0.05575620625619925
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0024713871474226065,0.37143596319054295,0.002411748382909091,0.030175113238739025
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.002423408293986218,0.7422102651426441,0.0019628452839272727,0.06400823635283515
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0024201258822731113,0.7464242103483549,0.0019416386745597165,0.05918397392151847
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0023797805235423273,0.39695532524763133,0.0015590555661468839,0.02970351625390317
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.002367532497117226,0.09157335031406483,0.0017125273446774213,0.01982367358914021
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00236610848835653,0.07721551553553863,0.002070386031651601,0.015110042114187223
7,sett_scale,,,,,,,,,0.002268602947585906,0.002268602947585906,0.002440513627049033,0.002440513627049033
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.002186741978124185,0.3860686688053848,0.0019997431411008697,0.026086510531061473
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.002171769791254893,0.7348631147411837,0.0013055226396569406,0.05465454519440714
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0021163237854648176,0.10564627564984863,0.002200872565456017,0.03053430814746171
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0020926011141990013,0.013196991346068197,0.0017443872549340817,0.007771612859272276
42,sett_preprocess_income,sett_scale,,,,,,,,0.001970886566672354,0.010184898508946952,0.0022172050943566504,0.005875867613997186
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0019552770046263645,0.7084436532424194,0.0017018321416866298,0.061521588168419995
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0019250307936264565,0.8126902502306036,0.0014506526510467835,0.039395508918799935
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.001899763348440282,0.08223918071687596,0.00134768945706034,0.015853574346366087
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0018991440204703194,0.013483104793873123,0.002436742648561104,0.00814108578378714
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0018548604655058837,0.015913393057340505,0.004879244656936984,0.01057008675040199
5,sett_preprocess_age,,,,,,,,,0.0018369711908780674,0.0018369711908780674,0.002069042587939399,0.002069042587939399
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0017687985973472166,0.7351833256939883,0.001758599742036479,0.045118669054354486
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0017522429161754244,0.11063868447078698,0.0018077385405371974,0.01817404639559215
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0017404729202149998,0.10627311693691319,0.0014352627960917462,0.02627631245975488
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0017288087989065035,0.08128589863755353,0.0017776007933585096,0.01784925936446466
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0016459538290713714,0.8032074667303435,0.0012255730494779,0.05630538682785835
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0016414068151987308,0.799347048455129,0.000939977460376468,0.050962124543012445
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0016321771445706992,0.017324575721784127,0.0011969342247741329,0.007053125740400598
36,sett_model,sett_preprocess_income,,,,,,,,0.0015502717475462282,0.008853081391579379,0.0015493720441171605,0.0036214513761945936
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0015490721637595687,0.7411929132788534,0.0021154575907237575,0.05751182049593873
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0015489473777496059,0.7930660357782583,0.0010278850734168367,0.05001557902048573
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.001451983563261295,0.3811101071463591,0.0009244462053317914,0.027900256958006006
128,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,,0.0014203006869301735,0.38383741134957355,0.001045726381909234,0.031310678604558995
25,sett_exclude_features,sett_model,,,,,,,,0.001419136644474974,0.005832362646638672,0.0007977239593619982,0.002838510936487399
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.001396507135225929,0.10939535073592546,0.0010847601250856727,0.02260021584962197
15,sett_cutoff,sett_scale,,,,,,,,0.0013576988851620301,0.06518249693540512,0.0013395617094834268,0.016484674690519358
4,sett_model,,,,,,,,,0.0013574006493444592,0.0013574006493444592,0.0012760246624839717,0.0012760246624839717
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.0013293025129642148,0.37969230754294125,0.0010707155542013008,0.02866401232674005
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.001244379267558442,0.3850636858296267,0.0008984513169582232,0.031160248642168462
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.001212300355676005,0.378511568031518,0.0015902614184172602,0.026892510902453627
126,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,,0.0011857977533040996,0.38360245511169155,0.0010471287742847373,0.029515656518236306
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0011731683436080691,0.08123910515502086,0.001964194101676673,0.021672469020261986
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0011730757810214096,0.09786182020148412,0.0013033266909213725,0.021341603540549356
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0011708749418849298,0.07428174775570337,0.001557154983024459,0.01545203375848781
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011593564443658979,0.7990186551383469,0.0009692460432588994,0.046363285447755885
44,sett_scale,sett_stratify_split,,,,,,,,0.0011434275090315697,0.3705396353088598,0.001009909642396274,0.03167869906230316
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0011183384421830395,0.021826453524390225,0.0011835880251735347,0.011559033625134014
