,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3192954921926847,0.3192954921926847,0.05102327664781055,0.05102327664781055
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2831773861544205,0.6785149104616596,0.032567766974950216,0.06828170689339354
0,sett_cutoff,,,,,,,,,0.07604203211455435,0.07604203211455435,0.01623111578010479,0.01623111578010479
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.007835835280140617,0.7005554611625112,0.006968927925097513,0.0564185958502702
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0076429955905692815,0.6963650713363045,0.007272748383007274,0.06613804545528928
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.006256069284932339,0.6990591543337212,0.004640842545712237,0.06761140460386336
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.006251920500714532,0.32911088491791407,0.011525136233751074,0.04226600917029659
3,sett_exclude_subgroups,,,,,,,,,0.005810574775242454,0.005810574775242454,0.0029337945862448,0.0029337945862448
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.005790527686354452,0.6987217068585707,0.0027118893253269163,0.06754888478116983
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005766953853201349,0.08631484766467243,0.004192054062172162,0.01659490042433722
12,sett_cutoff,sett_model,,,,,,,,0.005363486716661098,0.08334041217163571,0.004029769573820444,0.01627819110812593
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.005234536026856484,0.6898520374121256,0.0046427526406237945,0.06770883969486387
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.004625587118452293,0.10258012771852243,0.005737181912374582,0.01740317282244832
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.00456098041174171,0.08641358730153852,0.0027408873072926813,0.014143369028792612
6,sett_preprocess_income,,,,,,,,,0.0045058616969167065,0.0045058616969167065,0.002784580896861619,0.002784580896861619
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004389322695481722,0.08399482703455091,0.004152576909262068,0.015903606865725332
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004324180156066798,0.09809900005931907,0.005742367676398114,0.017870854918203342
