,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36720965201339095,0.36720965201339095,0.034287429283587106,0.034287429283587106
16,sett_cutoff,sett_stratify_split,,,,,,,,0.26539922503200053,0.7238025359217267,0.03881579461022622,0.03577459572622686
0,sett_cutoff,,,,,,,,,0.09119365887633518,0.09119365887633518,0.015756101242551643,0.015756101242551643
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.009421717346314962,0.7448583497832554,0.0062141917098370685,0.037548707978573105
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.007746687085869444,0.7489927662545175,0.0060994206647922615,0.04200904797920954
6,sett_preprocess_income,,,,,,,,,0.006761409539807791,0.006761409539807791,0.004936180286617666,0.004936180286617666
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.006716241407225798,0.10467130982336878,0.004548918114183043,0.01627109290692514
12,sett_cutoff,sett_model,,,,,,,,0.006222808081393314,0.09907672438910164,0.0035579562231539954,0.016257371160861206
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.006106856080452713,0.7886479504961907,0.003595074927693381,0.049875663764094545
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.005243340464231139,0.7385779355082456,0.002347059407533829,0.0340578288541567
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.00524073793889376,0.7371911516569473,0.0033823124544115164,0.03216728671810135
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004866060248756318,0.12133635748506191,0.002637549876644757,0.01956189393661708
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.003965892299887773,0.37793695385308657,0.0033725255452431964,0.037287215894736776
36,sett_model,sett_preprocess_income,,,,,,,,0.0039159219001703455,0.012337588871351291,0.0035358683230536144,0.008104408994898194
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0038912760511987084,0.3734331738875309,0.004998350005227028,0.03584608246325455
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0037857817249222873,0.7719770038586131,0.0017609930008715903,0.03150287494030027
38,sett_model,sett_stratify_split,,,,,,,,0.0037510310024472617,0.3726209404472114,0.0027731905141213787,0.03341942375197595
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0037105321507651507,0.39097469633784243,0.002086573463142429,0.0385703439052975
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0034965550901546174,0.7680509719400361,0.0028887673681753504,0.029785469796966165
2,sett_exclude_features,,,,,,,,,0.003447606019962395,0.003447606019962395,0.003270791740007606,0.003270791740007606
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.003431728626554528,0.7615980693149513,0.0018479855209059565,0.02957970592820649
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.003312794042589025,0.7313624541952417,0.0019499534283959105,0.03635223617080517
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.003308537248147771,0.09683444194742412,0.0016359198999609664,0.015879811139011546
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0032988703495729563,0.3846207347345142,0.0027925235873178804,0.03399961332592184
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.003075427100876044,0.7735779766589456,0.0018373177684532808,0.03960329267836992
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.002940797903015391,0.11517635832060719,0.00280857001223697,0.017357874126694012
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.002781200350753592,0.1099761098745342,0.002039702495139939,0.018254547513252162
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002701435294813932,0.8342403214267285,0.002100541263285808,0.046112730396393097
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0026672865237195222,0.14136528986476687,0.002799818499912629,0.025283767236086635
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.002627012412827248,0.7635810217553811,0.0031888397838704978,0.04748021949422941
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0025198393409120888,0.37317709737426547,0.002597916344217292,0.03418115078659765
30,sett_exclude_subgroups,sett_model,,,,,,,,0.002477402063590025,0.0064699053179043415,0.003593764683179811,0.0043553615382436114
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0023464025689304566,0.10643684963475446,0.0015883688687557108,0.016449971330266454
3,sett_exclude_subgroups,,,,,,,,,0.002332245822941161,0.002332245822941161,0.0017887729794207252,0.0017887729794207252
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0022643531422148998,0.7677622024390978,0.0017734050014025532,0.037312710961908704
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0022254202130151442,0.38325400612440563,0.0016137752255480807,0.03636880263223497
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0021995921919261505,0.7502816221701167,0.0017607957065259754,0.033116352895021975
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0021804324354523534,0.09682169733174993,0.0015814439780025076,0.017098899189380113
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0021724683764301426,0.751387176426189,0.001476772642488109,0.03392698612703534
25,sett_exclude_features,sett_model,,,,,,,,0.002142997526053852,0.007250860977389402,0.002495043823400984,0.005874076888482854
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0021074446012950172,0.10895520497186527,0.0022693707423833004,0.018996183226062505
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002057009204056618,0.38278839253819635,0.0020524396770010825,0.03382027417829847
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0019798372744909546,0.7300924485707242,0.002049243174050975,0.034419072368541324
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0019234675231340993,0.011017122885883052,0.00165533716222995,0.004767109951394298
7,sett_scale,,,,,,,,,0.001898497566198375,0.001898497566198375,0.0020345143965929025,0.0020345143965929025
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0018888558609829265,0.11036565856375921,0.0029230390690602958,0.016214296066723876
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018701182908836956,0.3879540615412442,0.0010489408749598042,0.03816116946064362
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0018267170996193033,0.09384928927610259,0.0017947519382167485,0.015338872807514689
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0017346350584145167,0.7564306652870282,0.0011979847059228625,0.03716593993511997
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.001703811407731031,0.12706868595076648,0.0017097423472939857,0.02200168597056268
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.001697189274334127,0.41006326065790066,0.0010529392624756407,0.03885157219443279
4,sett_model,,,,,,,,,0.0016602574313731551,0.0016602574313731551,0.0008349335158312654,0.0008349335158312654
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0016372217072506017,0.8112924553208904,0.0011177171964652213,0.02477544195504322
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0016279666629851306,0.007407818505888687,0.0013284879579857892,0.003683654228768695
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001614363265207705,0.40179185182052923,0.0018745438799898243,0.03742706683788084
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0015979949444033961,0.020668699225419973,0.001271781228159956,0.010525109236940068
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0015914938311585702,0.36963005914469765,0.00112218364189789,0.03494291326363008
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.001542785300385333,0.7556321661208464,0.001601595709882008,0.036722829797586606
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0015359148538220495,0.01522439038072777,0.0020375544867970267,0.009368907763629294
44,sett_scale,sett_stratify_split,,,,,,,,0.0015011753427992883,0.3706093249223886,0.0019365963297124028,0.03413041851446677
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0014416257155624758,0.10161569470260995,0.0012025893279287074,0.01669856659927282
126,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,,0.0013626064738983831,0.3828698299379317,0.001169418677146802,0.038636231879991906
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0012542907788970817,0.7481068554163774,0.0014544298076642822,0.03398538907355294
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0012336075900583362,0.10141548056629096,0.0008472919930561342,0.01576071889461549
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0012195484320980123,0.8056359962310373,0.0006178826089181242,0.031648706946474106
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0012031748320293584,0.11222922915654349,0.000929250982706718,0.0179400539558018
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0012009699000842013,0.8206046018530077,0.0009140653370500295,0.03841761684882723
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.0011925930766356798,0.3774868388377379,0.0009132545926068043,0.035081028772216014
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0011865864293847785,0.3858176916890764,0.0007434814236151573,0.036701038166691895
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0011678583182182802,0.7584800696210874,0.002125238900103844,0.04077957929692721
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0011514460488990085,0.3776968276967776,0.0007678713616908352,0.03645814236262242
39,sett_preprocess_age,sett_preprocess_income,,,,,,,,0.001149862479640107,0.008740185319596,0.0013680823701070824,0.005355706204405664
51,sett_cutoff,sett_encode_categorical,sett_stratify_split,,,,,,,0.0011437265680106072,0.7263696797489284,0.0008790826998717337,0.03563848388036679
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011398752117045868,0.8102286104272066,0.0010430290845461967,0.05462766886639483
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0010351678013994891,0.749956132756378,0.001274897691907559,0.03773078467631887
124,sett_model,sett_scale,sett_stratify_split,,,,,,,0.0010296733279742964,0.37793844833914897,0.0012788385961990455,0.03341323290025773
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0010232834052683864,0.10379706948104281,0.0009581002833349628,0.01688093989783406
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0009647692832547964,0.12834030873876678,0.0007966555597883942,0.018396343812210874
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.0009490298434774466,0.7538838804667314,0.0013313115205397653,0.04249862028814616
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0009143998871523973,0.7824110091582678,0.0007229621241365028,0.031086382733885684
15,sett_cutoff,sett_scale,,,,,,,,0.0009104024655088181,0.09400255890804238,0.0009265204312967748,0.016138358762352714
37,sett_model,sett_scale,,,,,,,,0.0008881616549655774,0.004446916652537108,0.0009069293558697337,0.0027816603190577633
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.000882802522031993,0.10320056587355819,0.000768783686187219,0.015546841752356426
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0008701290174171459,0.12872168340462925,0.001539170511320284,0.021165506956346666
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0008682102801561057,0.13455586215040236,0.0006138382621403399,0.021362415253993315
5,sett_preprocess_age,,,,,,,,,0.0008289133001481025,0.0008289133001481025,0.0006346720363626483,0.0006346720363626483
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.0008095510871541522,0.3764363072283293,0.0004599549626112808,0.03404768091001376
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0008058550308590461,0.4011609338539079,0.0005218295328001157,0.037783267367705466
128,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,,0.0007847877117182515,0.3826657467886292,0.0012598323444372754,0.03605193419644861
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0007833642905078365,0.7909343271306071,0.0007314265474837788,0.02885627780025634
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0007807037373386691,0.12971363148251286,0.0008107475506958512,0.019229921128775
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0007710956457755136,0.404369469474379,0.0005454116542921227,0.037866344349489295
23,sett_encode_categorical,sett_stratify_split,,,,,,,,0.0007644624737423199,0.3681593844016742,0.0006776840735626558,0.034381060177085025
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0007581738196785341,0.782826674251613,0.001043443590474754,0.028437028906734448
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0007267060457306116,0.010935721605500798,0.0004884262116865132,0.005793696472939757
183,sett_cutoff,sett_preprocess_age,sett_scale,sett_stratify_split,,,,,,0.0007064556170551996,0.7392798697767471,0.0007897086161260316,0.03448522167315137
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0007004123728090374,0.10872495454271176,0.0009000351941119702,0.01660141258448402
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0006967412555301481,0.004973260575640646,0.0006102917896707399,0.004017189705756387
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.000696153703783066,0.7455252586439238,0.0005764012900064756,0.030409423700740228
