,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.35168435208855775,0.35168435208855775,0.024054508484419396,0.024054508484419396
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2352244621914643,0.6629893427053828,0.03439223201394907,0.051692487560963965
0,sett_cutoff,,,,,,,,,0.07608052842536064,0.07608052842536064,0.01857627288710275,0.01857627288710275
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.009177873823971741,0.6870793999348335,0.006595334135544151,0.056770566479690275
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008164568476481334,0.6892548401982899,0.006207545634307217,0.04250903885150539
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.006669337782319377,0.08747174014196542,0.003548758272105792,0.018527291253795663
3,sett_exclude_subgroups,,,,,,,,,0.006447166619841637,0.006447166619841637,0.005765800988437541,0.005765800988437541
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006446470035462833,0.6779034374080501,0.004082112543021727,0.051281740539543735
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.006435198841723107,0.36456671755012254,0.0051014416031347634,0.025787060215727575
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.005709893052283763,0.6803132395106672,0.005144312878608369,0.052305656020265094
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.005399239258785284,0.7147567485537685,0.004897199934242854,0.04115254393551971
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.005218563554861017,0.08774625860006331,0.005879335063037245,0.01592359808899607
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0050989650989722865,0.7315307529340478,0.0034091393646901234,0.04718046492046155
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0049034874088733655,0.1082690775991916,0.004091147889551694,0.016440794290094974
2,sett_exclude_features,,,,,,,,,0.0048752297593562316,0.0048752297593562316,0.003178853877949532,0.003178853877949532
