,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37138141543876646,0.37138141543876646,0.0220897597916598,0.0220897597916598
16,sett_cutoff,sett_stratify_split,,,,,,,,0.26879218312862385,0.7097054538777852,0.03753722341134506,0.056576602721330874
0,sett_cutoff,,,,,,,,,0.06953185531039499,0.06953185531039499,0.017283389999522693,0.017283389999522693
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.009996539481565044,0.7333271671350974,0.007534382503490227,0.055162029461010766
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.00763199283460441,0.7306472195750604,0.004105555585073779,0.05567429818129774
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.007414705758729259,0.7717338992955252,0.005602982380320239,0.058510238208407714
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00731983846048553,0.7267329873643033,0.005035747989211865,0.057313787464864416
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.006975278957653245,0.7280678083359008,0.0030996721098241857,0.05727048454066345
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005807154399448397,0.09426299545343442,0.0051574835985126605,0.02055445302625874
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.005583636331177302,0.07649783035801672,0.004552725501103034,0.014867131544219115
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005573123599644096,0.07909209988917851,0.004012720242120676,0.017113968070915347
12,sett_cutoff,sett_model,,,,,,,,0.005534141575986423,0.07769975184249114,0.003792916647755184,0.01714110515920359
38,sett_model,sett_stratify_split,,,,,,,,0.005457277243650978,0.37947244763852717,0.003973104315189592,0.0200840756252648
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.00485262413887195,0.7214472399736132,0.002994732597699674,0.05587052111602761
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004604684474096325,0.7693423101793697,0.002033917284542399,0.054683823222600875
2,sett_exclude_features,,,,,,,,,0.004576739007372596,0.004576739007372596,0.0027369015886350785,0.0027369015886350785
6,sett_preprocess_income,,,,,,,,,0.003987120979139412,0.003987120979139412,0.002586431685771185,0.002586431685771185
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.00396604906448896,0.37992420351062806,0.002501299063689201,0.02222769342042246
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0038750330739298782,0.7617416502041446,0.0031696744013570504,0.054691326147456865
36,sett_model,sett_preprocess_income,,,,,,,,0.003786565290162661,0.010407441225411793,0.00556881309042285,0.007714640496204586
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0037495282838871935,0.3791180647017931,0.002255048714926342,0.021067775164153906
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.003641257414831892,0.7542281516096965,0.002993885468555289,0.05654059370808328
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0035289675329246853,0.094575529244362,0.0032312028024114084,0.02087840754233875
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0034874547686129164,0.39483775325452325,0.0022848234852710994,0.0208192840200088
25,sett_exclude_features,sett_model,,,,,,,,0.00333506277552163,0.010545556739003946,0.0029756064753307452,0.004643315170086765
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0031531600498134527,0.3941488222415299,0.0018650467944286429,0.018874349826038566
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0028717904965671597,0.7462124494253284,0.0020055568684735165,0.05771621053931153
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0028442874286006546,0.07695288174636825,0.0017699771770735065,0.01809073549628279
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0028220406715580805,0.08970905878221591,0.0019876341754591306,0.013834613328345461
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.002761379959762019,0.3758028924229904,0.001579773051418487,0.02240295226707872
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0027417199784106963,0.3755054741336216,0.0012387833473906673,0.02165167942208849
4,sett_model,,,,,,,,,0.0026337549561097195,0.0026337549561097195,0.0018441528944176094,0.0018441528944176094
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0026005189893954853,0.751940786765809,0.0015290500218785232,0.057228422523119035
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0025487954604436463,0.7538087121629471,0.002165201105313761,0.057305304907588145
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0024685846164962874,0.38828638217042355,0.0016827795745642219,0.018470588678107767
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0024676849727319674,0.07365963730758891,0.001783252404986364,0.017743361243227607
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.002306444760232165,0.7449794070557245,0.0020933575871878904,0.05071236271022977
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0022479659332533186,0.748177204432887,0.002417845656914894,0.05613355637786246
7,sett_scale,,,,,,,,,0.002230230181241615,0.002230230181241615,0.0023148660463830507,0.0023148660463830507
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0022212912205449935,0.006237384893099121,0.0021797865143437637,0.004011944153286728
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0021617608704612434,0.0852342139136068,0.002165811924376029,0.018585848363644096
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.0021112608900174475,0.3872501047162291,0.0017828127604263134,0.02105023815010895
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.002014522951465244,0.3831010179403401,0.0016399255500140482,0.022876713184374096
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.002001017596218091,0.7177088525095574,0.001603139870595874,0.05294275329344267
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.001998152960952325,0.745749176970661,0.0012185068032518293,0.05700627951428454
44,sett_scale,sett_stratify_split,,,,,,,,0.0019910707009481565,0.3756027163209562,0.0018497946351060026,0.020954911556640157
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0017821851519338005,0.7542336688304456,0.0012639130948404872,0.056850578516921005
15,sett_cutoff,sett_scale,,,,,,,,0.0017810801533642566,0.07354316564500088,0.0023058127353317685,0.017020316956130915
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0017591634028749671,0.08584842583108347,0.0020333030528645077,0.018804431951622264
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0017552798596958148,0.7462746617594702,0.0018650669291511704,0.04808590969057309
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0016918186461355135,0.08347697487237546,0.001234634291733314,0.0159963095068768
5,sett_preprocess_age,,,,,,,,,0.0016600970244619422,0.0016600970244619422,0.001492360033947695,0.001492360033947695
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0016380758930332777,0.7399316504892385,0.0019166974428006037,0.0509628001548942
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.001587199964279017,0.38673764519999687,0.0009257757307615272,0.02122079098209823
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.001555542959481126,0.08657658278370581,0.0009547994383605002,0.01535917121122489
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0015528849025813853,0.08554216303901566,0.0024264538851801903,0.018253139970590058
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.0014778081086090449,0.73954343492753,0.002575346110132946,0.052073414411261426
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0014750994393595003,0.38550081133804076,0.0012486764441351113,0.021001828132264953
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.0014291415424665154,0.38690248277005096,0.0011390753429692515,0.02261975594914589
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0013980330867245472,0.10659527991927657,0.0018662425028691117,0.022901669597613007
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0013908354312155997,0.8113347822916512,0.0011520654875804993,0.05578034936477103
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0013846273027810806,0.08359295177907566,0.001150357835782259,0.01935418162803027
3,sett_exclude_subgroups,,,,,,,,,0.0013823387164444082,0.0013823387164444082,0.0013089576527418525,0.0013089576527418525
183,sett_cutoff,sett_preprocess_age,sett_scale,sett_stratify_split,,,,,,0.0013632760979674832,0.7331839276244855,0.0019004615220635185,0.050536234111566776
124,sett_model,sett_scale,sett_stratify_split,,,,,,,0.0013339940597123122,0.38576721828163496,0.002190245203672509,0.01844515778809259
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0013338872079527537,0.3899733459290641,0.001429842869553449,0.02159182022010415
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0013281736998176506,0.7933208710758315,0.0012113166922260686,0.04377757500081531
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0013264756995325325,0.08816813913836588,0.0012408973957187682,0.01499821883286162
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0012819828302742782,0.8028827311971292,0.0012070002370550093,0.06087022647000081
