,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36324620853398315,0.36324620853398315,0.02759557285585469,0.02759557285585469
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2694660645273041,0.7120880562340153,0.04149527229258411,0.044649414506599365
0,sett_cutoff,,,,,,,,,0.07937578317272803,0.07937578317272803,0.011958038780963855,0.011958038780963855
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.011276179404160569,0.7444239902489989,0.006327981277643321,0.04659175922411038
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.01011250980350002,0.0954143568385178,0.006556431955758857,0.01423256389226418
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.006827801595366614,0.778613956791532,0.004455433808373876,0.04201675958589749
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006736511030002535,0.7282932509008884,0.005174593077676348,0.041203592218079406
3,sett_exclude_subgroups,,,,,,,,,0.005926063862289758,0.005926063862289758,0.004499489711195674,0.004499489711195674
38,sett_model,sett_stratify_split,,,,,,,,0.005335725173916041,0.3704024891992092,0.00439767758558994,0.02672593549350951
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.005021180945033228,0.3741934533413061,0.003821298584277119,0.028794425349376443
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004709621014412054,0.7251569370078061,0.0028773912348198814,0.04322753320531733
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.004402839506105155,0.3890419600194628,0.003167125387013333,0.027946989964064018
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.004193349864229923,0.10828507458610545,0.0037491960511599866,0.01635912441181267
10,sett_cutoff,sett_exclude_features,,,,,,,,0.003757524671067816,0.0858143203105046,0.0024785129635370817,0.01254716913317552
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0034737051440335014,0.7209816949518049,0.0021887571294444525,0.04592506940577639
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0034647442673627895,0.1063014460756607,0.0020423875389744086,0.014771061455548323
25,sett_exclude_features,sett_model,,,,,,,,0.0034262637883419093,0.007927831746360706,0.0036292732480350622,0.0058975776885940336
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.003408222839933521,0.7646970358911378,0.002989836036447784,0.05241314708937112
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.003385820985947893,0.7695742176587077,0.002235637072330329,0.04633982169610493
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0032893865068254766,0.011036005860425283,0.002857164496040379,0.005734459450158609
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0031535515746603827,0.10411386965020589,0.0026419582084201464,0.017014248735832474
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0029607171244253523,0.7200750660708253,0.0017817662304414697,0.043164760363318885
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.002796761206126053,0.09617030376792718,0.002058039232161366,0.015145729941393545
51,sett_cutoff,sett_encode_categorical,sett_stratify_split,,,,,,,0.0027008164850769664,0.7163167202385187,0.004229852248873815,0.043171828417564284
2,sett_exclude_features,,,,,,,,,0.0026810124667087493,0.0026810124667087493,0.0023465887279620072,0.0023465887279620072
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0026658038313343005,0.7617070817501718,0.0021615232008942564,0.046178828129195416
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002610837160608067,0.3810413252364703,0.0022759932387898933,0.02807856356567237
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0025766720520656126,0.752772665881821,0.0015962928961679465,0.03697745916292822
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0024137820518539254,0.3825264900199968,0.0017610635240445714,0.026872373928103314
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002403850457901537,0.00956749569449657,0.002213735547045543,0.005064100136611375
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.002365302258978699,0.7394805878336146,0.0027749519195107808,0.03872687836140702
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0023326573660413796,0.7437936990583843,0.0018654940676970837,0.03802477802479045
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0023246404605252414,0.10290200339147343,0.0015819397998115255,0.015475830258980621
12,sett_cutoff,sett_model,,,,,,,,0.0023124029716445763,0.08350874163568264,0.0011978822928846362,0.012404777291801861
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.002277822794629954,0.3667616127029183,0.001913307150910495,0.026608330213190957
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.002275816700097165,0.009038572738444946,0.0024109333613591293,0.005183775008832346
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002263345040158987,0.3832973642153573,0.001744873994664429,0.02960683711015043
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002238830745581159,0.010845907074579667,0.0016142798109376143,0.005513871523581213
