,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3544959856121863,0.3544959856121863,0.031222939874700362,0.031222939874700362
16,sett_cutoff,sett_stratify_split,,,,,,,,0.26236989347211814,0.6846152759778513,0.04032123464059518,0.05618041402825477
0,sett_cutoff,,,,,,,,,0.06774939689354686,0.06774939689354686,0.013116924224948166,0.013116924224948166
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.010316411094538517,0.7067354044026116,0.004129071739106565,0.05278430370906955
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.007440353137531046,0.7058699856559223,0.003972521145410427,0.05751240478459642
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.007019969103993771,0.7027913626523871,0.004224368158047298,0.056096142619349504
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.006595943318072462,0.07743992009257558,0.004527823987888716,0.014586699540094554
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.006127086772095048,0.6990261146371557,0.006306219544001944,0.05178174159349092
2,sett_exclude_features,,,,,,,,,0.005877512139673907,0.005877512139673907,0.0029931605652623165,0.0029931605652623165
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.005762760412645984,0.70262302218653,0.004328066863102585,0.05536122732683908
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.005234002414173869,0.07591214165534269,0.004506076999968449,0.014898377255647272
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004773392215698079,0.7412424292724024,0.002581763167529043,0.05569130088566621
38,sett_model,sett_stratify_split,,,,,,,,0.004576554200335592,0.36179954189004937,0.002451253942508253,0.029513040089606198
12,sett_cutoff,sett_model,,,,,,,,0.004500161052358765,0.07497656002343304,0.002799762265375752,0.012489652000154478
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004495267992991572,0.7387933240937783,0.004746404113125449,0.052543112440897544
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.004123833341511243,0.36171439883465384,0.003105777274549594,0.031256179893546926
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0036780806751434835,0.09042711998994699,0.003433504380307101,0.01447403155631332
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0035770228606714243,0.07347110364675519,0.0025427271798679255,0.01298185319538305
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0033260237109422612,0.36369952146280254,0.0025738023358528378,0.03172501768194661
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.003257472857460292,0.7341597486378479,0.0020524669279933148,0.052413701868850957
