,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3416050560023712,0.3416050560023712,0.03323142382345219,0.03323142382345219
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2645554900651561,0.6954187493423366,0.041305740305906655,0.059951157351532565
0,sett_cutoff,,,,,,,,,0.08925820327480924,0.08925820327480924,0.014608545879244306,0.014608545879244306
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00855709312698634,0.7173469890217146,0.004196963452731519,0.06360091674115544
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00845544709566122,0.7158508270349226,0.010785756073812602,0.05865872105169685
2,sett_exclude_features,,,,,,,,,0.007824138895362579,0.007824138895362579,0.005477384838537868,0.005477384838537868
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0056123165581160395,0.7488790374280454,0.004280186896815303,0.0708381846693872
38,sett_model,sett_stratify_split,,,,,,,,0.005599634002421965,0.34981817450716224,0.0025956242038516477,0.03478243987333538
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.005245173860991449,0.7101319071496996,0.0029635325228674885,0.061162285299745454
12,sett_cutoff,sett_model,,,,,,,,0.005158028047600671,0.09702971582477901,0.0028916822838413432,0.015421480885880244
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005002615884806179,0.11195287754686967,0.00501836183647857,0.01922670771169227
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004785426910760193,0.7145906730747541,0.002794628952707135,0.05580947084862199
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004637181713696795,0.7515369929590809,0.002803269562341765,0.06495102438957147
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0045605137043575805,0.09686628476810634,0.005141941883978415,0.016003223617079936
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.004469593904426271,0.7073612913378641,0.002972395899924568,0.059837790511644756
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004368549103627809,0.3490211728949385,0.004081583224120181,0.03071200087220761
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004354754477674302,0.7495015495470483,0.004176121764660865,0.05704678522340574
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004127752299008215,0.11128217799280812,0.003246305326895935,0.01962769988855048
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.003924934323724977,0.09628632603246359,0.0026040610221436814,0.015168493387740303
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0037356113595072246,0.747972813368033,0.0028958149953747575,0.05202113898340854
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0035542754891309215,0.73896380266991,0.0029511216037647688,0.05920020717994624
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.003440900550180687,0.10694915421122353,0.003357495079291518,0.015806719938400333
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0033363507603982696,0.3665906944820358,0.003783774854550654,0.02411341853681184
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0033115350764152565,0.3615651822858543,0.0022475677004340435,0.037940210786977346
10,sett_cutoff,sett_exclude_features,,,,,,,,0.003291120600787898,0.10037346277095971,0.0029120472024316106,0.01671973656724072
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0032712373255069536,0.35270043222324066,0.0024134276429797763,0.028933105050914665
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003137794605829467,0.014009501290131576,0.0022922366311467915,0.008323146605342346
6,sett_preprocess_income,,,,,,,,,0.003103188433929376,0.003103188433929376,0.003122029826825038,0.003122029826825038
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0030694224215837276,0.36694154948212643,0.003140978180300453,0.029842027252981407
3,sett_exclude_subgroups,,,,,,,,,0.0030475677889395293,0.0030475677889395293,0.0026684382982405195,0.0026684382982405195
25,sett_exclude_features,sett_model,,,,,,,,0.002958576332510941,0.013396199730242623,0.0033965205242137576,0.008223167461918415
36,sett_model,sett_preprocess_income,,,,,,,,0.002892423079630126,0.008609096015928606,0.002761452459789226,0.005078890064931241
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.002740305874957815,0.11385964474504412,0.0021645592189586463,0.020034736755800045
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0026197403335649133,0.34658235006284954,0.002486821247435562,0.03245412664649336
4,sett_model,,,,,,,,,0.002613484502369103,0.002613484502369103,0.0010513696128542959,0.0010513696128542959
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.002599883561147023,0.11370343521458745,0.0033723423115701724,0.02054563740984226
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0025755435405391868,0.7391298727231643,0.0019838762014842783,0.0578480765127465
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.002533399897516967,0.7380031076775042,0.001705082153908871,0.06357208739506617
30,sett_exclude_subgroups,sett_model,,,,,,,,0.002516628375723788,0.00817768066703242,0.0018150488948445443,0.004209335759949739
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.002495654030622918,0.09411141103234558,0.001723867810874483,0.013932763848644227
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.002476363856351459,0.3622272836318048,0.0015694597390299352,0.03251986601251888
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0024620168277339595,0.7335915845364536,0.0014791399640230619,0.05567821844026036
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.002448830498827715,0.7372839241193122,0.0026393432828031465,0.05568488636571697
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0024398611887173393,0.34714810562501786,0.0017285376762263306,0.03354813201006233
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.002386496464748084,0.35817372455556507,0.002304191030448016,0.028999964034822027
5,sett_preprocess_age,,,,,,,,,0.002357553726913403,0.002357553726913403,0.0016038512941119456,0.0016038512941119456
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0023507072365304914,0.10616879511619678,0.0018966977241381211,0.014490856814535472
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.002268536794334225,0.729484641120452,0.002055326604742513,0.06149416506576761
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0022081880335114773,0.10780535950669334,0.0013118092627325709,0.015605824784245255
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.002170503109774718,0.10479145853971285,0.002657525474274472,0.014272411499825652
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0021547767934531293,0.3622290577718832,0.003305595498515351,0.029933221306775903
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.002129677742228075,0.12898162259578067,0.002570703030164727,0.022007999514213457
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0020793923594067455,0.3583463788244131,0.002238024070821019,0.03169602237256048
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0020449963663183865,0.13753765437541046,0.0017449873129346404,0.028217840115456194
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0020168543174061177,0.12489994072580143,0.00533779660483972,0.018330459567331668
35,sett_model,sett_preprocess_age,,,,,,,,0.0019351642973509601,0.006906202526633466,0.002013541941806728,0.002925339000087896
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.001913053783957149,0.3606912121643683,0.001395744116809708,0.027822587086579715
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.0018943052288637307,0.3586249380938552,0.0011686047813717862,0.03394947560264161
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.001830799132542618,0.012758126461834572,0.002816898582352,0.009102899602324768
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0018293764473969129,0.8033486036001252,0.00171575327037591,0.055029593110714085
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.001788761135400167,0.007193882651253099,0.0012614464169290053,0.0035475930985998335
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0017027639474211577,0.007853520170290063,0.0017841981747691565,0.004482210039925886
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0016614961336350086,0.7894131462492049,0.0014377852084460718,0.06694920928226092
